,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00014794,1853
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00014794,1145
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00014794,1116
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00014794,2212
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00014794,6
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00014794,1304
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00014794,1218
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00014794,1116
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00014794,2101
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00014794,948
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00014794,1401
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00014794,1757
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00014794,1446
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00014794,953
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00014794,1346
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00014794,900
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00014794,715
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00014794,1437
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00014794,1541
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00014794,113
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00014794,1548
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00014794,932
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00014794,1314
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00014794,147
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00014794,923
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00014794,1057
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00014794,1044
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00014794,1134
