,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00054780,290
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00054780,290
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00054780,270
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00054780,350
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00054780,360
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00054780,240
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00054780,250
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00054780,50
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00054780,50
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00054780,260
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00054780,280
11,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00054780,280
12,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00054780,260
13,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00054780,60
14,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00054780,340
15,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00054780,280
16,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00054780,300
17,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00054780,310
18,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00054780,320
19,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00054780,340
20,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00054780,50
21,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00054780,320
22,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00054780,200
23,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00054780,340
24,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00054780,150
25,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00054780,300
26,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00054780,300
27,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00054780,220
28,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00054780,210
29,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00054780,330
30,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00054780,170
31,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00054780,210
32,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00054780,330
33,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00054780,310
34,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00054780,50
35,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00054780,40
36,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00054780,20
37,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00054780,270
38,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00054780,300
39,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00054780,290
40,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00054780,310
41,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00054780,310
42,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00054780,100
43,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00054780,170
44,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00054780,260
45,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00054780,320
46,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00054780,20
47,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00054780,200
48,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00054780,230
49,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00054780,360
50,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00054780,60
