,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00094895,270
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00094895,290
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00094895,340
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00094895,320
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00094895,180
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00094895,200
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00094895,190
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00094895,210
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00094895,150
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00094895,300
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00094895,200
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00094895,290
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00094895,230
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00094895,200
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00094895,290
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00094895,300
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00094895,300
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00094895,280
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00094895,280
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00094895,340
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00094895,90
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00094895,60
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00094895,40
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00094895,220
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00094895,190
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00094895,260
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00094895,280
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00094895,270
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00094895,330
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00094895,220
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00094895,190
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00094895,300
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00094895,180
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00094895,270
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00094895,280
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00094895,240
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00094895,250
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00094895,220
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00094895,290
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00094895,280
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00094895,280
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00094895,320
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00094895,310
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00094895,310
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00094895,120
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00094895,160
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00094895,320
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00094895,320
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00094895,160
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00094895,240
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00094895,250
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00094895,20
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00094895,60
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00094895,50
