,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00093985,8.3
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00093985,3.8
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00093985,7.2
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00093985,5.8
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00093985,8.7
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00093985,8.5
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00093985,8.5
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00093985,4.7
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00093985,13.4
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00093985,7.2
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00093985,6.0
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00093985,3.6
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00093985,6.9
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00093985,11.4
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00093985,6.9
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00093985,10.3
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00093985,6.5
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00093985,5.8
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00093985,12.1
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00093985,5.8
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00093985,12.5
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00093985,13.0
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00093985,6.7
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00093985,13.0
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00093985,8.9
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00093985,8.1
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00093985,4.9
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00093985,4.3
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00093985,10.1
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00093985,9.6
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00093985,8.5
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00093985,10.5
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00093985,12.8
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00093985,9.8
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00093985,4.3
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00093985,10.5
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00093985,10.3
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00093985,7.6
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00093985,13.9
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00093985,7.6
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00093985,7.2
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00093985,6.0
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00093985,6.0
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00093985,9.6
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00093985,8.9
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00093985,8.5
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00093985,8.1
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00093985,7.8
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00093985,15.0
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00093985,10.5
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00093985,10.5
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00093985,6.0
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00093985,7.4
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00093985,16.1
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00093985,11.9
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00093985,6.7
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00093985,5.1
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00093985,9.2
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00093985,8.5
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00093985,7.6
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00093985,11.2
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00093985,13.6
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00093985,11.6
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00093985,7.8
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00093985,6.5
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00093985,13.9
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00093985,15.2
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00093985,6.0
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00093985,7.6
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00093985,11.0
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00093985,9.4
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00093985,5.1
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00093985,11.4
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00093985,9.4
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00093985,11.0
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00093985,6.9
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00093985,7.8
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00093985,10.7
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00093985,11.2
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00093985,8.9
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00093985,11.9
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00093985,16.6
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00093985,15.2
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00093985,14.8
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00093985,8.5
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00093985,11.0
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00093985,12.3
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00093985,8.1
88,",,W,",AWND,2016-03-29T00:00:00,GHCND:USW00093985,14.5
89,",,W,",AWND,2016-03-30T00:00:00,GHCND:USW00093985,11.2
90,",,W,",AWND,2016-03-31T00:00:00,GHCND:USW00093985,8.5
91,",,W,",AWND,2016-04-01T00:00:00,GHCND:USW00093985,11.0
92,",,W,",AWND,2016-04-02T00:00:00,GHCND:USW00093985,6.9
93,",,W,",AWND,2016-04-03T00:00:00,GHCND:USW00093985,8.1
94,",,W,",AWND,2016-04-04T00:00:00,GHCND:USW00093985,6.9
95,",,W,",AWND,2016-04-05T00:00:00,GHCND:USW00093985,12.3
96,",,W,",AWND,2016-04-06T00:00:00,GHCND:USW00093985,12.5
97,",,W,",AWND,2016-04-07T00:00:00,GHCND:USW00093985,5.8
98,",,W,",AWND,2016-04-08T00:00:00,GHCND:USW00093985,6.5
99,",,W,",AWND,2016-04-09T00:00:00,GHCND:USW00093985,8.5
100,",,W,",AWND,2016-04-10T00:00:00,GHCND:USW00093985,15.0
101,",,W,",AWND,2016-04-11T00:00:00,GHCND:USW00093985,8.7
102,",,W,",AWND,2016-04-12T00:00:00,GHCND:USW00093985,7.8
103,",,W,",AWND,2016-04-13T00:00:00,GHCND:USW00093985,6.0
104,",,W,",AWND,2016-04-14T00:00:00,GHCND:USW00093985,4.7
105,",,W,",AWND,2016-04-15T00:00:00,GHCND:USW00093985,10.5
106,",,W,",AWND,2016-04-16T00:00:00,GHCND:USW00093985,15.2
107,",,W,",AWND,2016-04-17T00:00:00,GHCND:USW00093985,8.7
108,",,W,",AWND,2016-04-18T00:00:00,GHCND:USW00093985,7.4
109,",,W,",AWND,2016-04-19T00:00:00,GHCND:USW00093985,6.0
110,",,W,",AWND,2016-04-20T00:00:00,GHCND:USW00093985,4.9
111,",,W,",AWND,2016-04-21T00:00:00,GHCND:USW00093985,7.8
112,",,W,",AWND,2016-04-22T00:00:00,GHCND:USW00093985,5.1
113,",,W,",AWND,2016-04-23T00:00:00,GHCND:USW00093985,5.8
114,",,W,",AWND,2016-04-24T00:00:00,GHCND:USW00093985,13.6
115,",,W,",AWND,2016-04-25T00:00:00,GHCND:USW00093985,12.3
116,",,W,",AWND,2016-04-26T00:00:00,GHCND:USW00093985,11.4
117,",,W,",AWND,2016-04-27T00:00:00,GHCND:USW00093985,6.3
118,",,W,",AWND,2016-04-28T00:00:00,GHCND:USW00093985,11.2
119,",,W,",AWND,2016-04-29T00:00:00,GHCND:USW00093985,8.5
120,",,W,",AWND,2016-04-30T00:00:00,GHCND:USW00093985,7.8
121,",,W,",AWND,2016-05-01T00:00:00,GHCND:USW00093985,12.3
122,",,W,",AWND,2016-05-02T00:00:00,GHCND:USW00093985,9.4
123,",,W,",AWND,2016-05-03T00:00:00,GHCND:USW00093985,3.6
124,",,W,",AWND,2016-05-04T00:00:00,GHCND:USW00093985,6.3
125,",,W,",AWND,2016-05-05T00:00:00,GHCND:USW00093985,2.9
126,",,W,",AWND,2016-05-06T00:00:00,GHCND:USW00093985,6.0
127,",,W,",AWND,2016-05-07T00:00:00,GHCND:USW00093985,12.1
128,",,W,",AWND,2016-05-08T00:00:00,GHCND:USW00093985,12.8
129,",,W,",AWND,2016-05-09T00:00:00,GHCND:USW00093985,14.5
130,",,W,",AWND,2016-05-10T00:00:00,GHCND:USW00093985,10.7
131,",,W,",AWND,2016-05-11T00:00:00,GHCND:USW00093985,8.5
132,",,W,",AWND,2016-05-12T00:00:00,GHCND:USW00093985,9.6
