,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00093985,20
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00093985,270
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00093985,300
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00093985,60
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00093985,130
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00093985,140
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00093985,250
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00093985,340
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00093985,320
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00093985,350
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00093985,160
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00093985,190
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00093985,180
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00093985,210
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00093985,290
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00093985,40
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00093985,150
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00093985,20
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00093985,320
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00093985,130
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00093985,320
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00093985,330
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00093985,150
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00093985,180
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00093985,340
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00093985,10
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00093985,360
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00093985,300
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00093985,190
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00093985,200
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00093985,280
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00093985,230
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00093985,240
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00093985,320
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00093985,200
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00093985,160
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00093985,330
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00093985,350
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00093985,330
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00093985,300
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00093985,220
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00093985,250
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00093985,60
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00093985,160
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00093985,190
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00093985,330
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00093985,350
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00093985,150
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00093985,190
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00093985,160
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00093985,200
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00093985,20
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00093985,120
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00093985,10
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00093985,320
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00093985,340
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00093985,220
