,attributes,datatype,date,station,value
0,",,W,",WSF2,2016-01-01T00:00:00,GHCND:USW00013969,6.9
1,",,W,",WSF2,2016-01-02T00:00:00,GHCND:USW00013969,10.1
2,",,W,",WSF2,2016-01-03T00:00:00,GHCND:USW00013969,16.1
3,",,W,",WSF2,2016-01-04T00:00:00,GHCND:USW00013969,12.1
4,",,W,",WSF2,2016-01-05T00:00:00,GHCND:USW00013969,23.0
5,",,W,",WSF2,2016-01-06T00:00:00,GHCND:USW00013969,23.0
6,",,W,",WSF2,2016-01-07T00:00:00,GHCND:USW00013969,17.0
7,",,W,",WSF2,2016-01-08T00:00:00,GHCND:USW00013969,18.1
8,",,W,",WSF2,2016-01-09T00:00:00,GHCND:USW00013969,28.0
9,",,W,",WSF2,2016-01-10T00:00:00,GHCND:USW00013969,4.9
10,",,W,",WSF2,2016-01-11T00:00:00,GHCND:USW00013969,14.1
11,",,W,",WSF2,2016-01-12T00:00:00,GHCND:USW00013969,12.1
12,",,W,",WSF2,2016-01-13T00:00:00,GHCND:USW00013969,8.1
13,",,W,",WSF2,2016-01-14T00:00:00,GHCND:USW00013969,17.0
14,",,W,",WSF2,2016-01-15T00:00:00,GHCND:USW00013969,17.0
15,",,W,",WSF2,2016-01-16T00:00:00,GHCND:USW00013969,13.0
16,",,W,",WSF2,2016-01-18T00:00:00,GHCND:USW00013969,10.1
17,",,W,",WSF2,2016-01-19T00:00:00,GHCND:USW00013969,13.0
18,",,W,",WSF2,2016-01-20T00:00:00,GHCND:USW00013969,12.1
19,",,W,",WSF2,2016-01-21T00:00:00,GHCND:USW00013969,21.0
20,",,W,",WSF2,2016-01-22T00:00:00,GHCND:USW00013969,23.0
21,",,W,",WSF2,2016-01-23T00:00:00,GHCND:USW00013969,16.1
22,",,W,",WSF2,2016-01-24T00:00:00,GHCND:USW00013969,21.9
23,",,W,",WSF2,2016-01-25T00:00:00,GHCND:USW00013969,19.9
24,",,W,",WSF2,2016-01-29T00:00:00,GHCND:USW00013969,6.9
25,",,W,",WSF2,2016-01-30T00:00:00,GHCND:USW00013969,23.9
26,",,W,",WSF2,2016-01-31T00:00:00,GHCND:USW00013969,23.0
27,",,W,",WSF2,2016-02-01T00:00:00,GHCND:USW00013969,23.9
28,",,W,",WSF2,2016-02-02T00:00:00,GHCND:USW00013969,28.0
29,",,W,",WSF2,2016-02-03T00:00:00,GHCND:USW00013969,23.9
30,",,W,",WSF2,2016-02-04T00:00:00,GHCND:USW00013969,16.1
31,",,W,",WSF2,2016-02-05T00:00:00,GHCND:USW00013969,18.1
32,",,W,",WSF2,2016-02-06T00:00:00,GHCND:USW00013969,13.0
33,",,W,",WSF2,2016-02-07T00:00:00,GHCND:USW00013969,25.1
34,",,W,",WSF2,2016-02-08T00:00:00,GHCND:USW00013969,35.1
35,",,W,",WSF2,2016-02-09T00:00:00,GHCND:USW00013969,28.0
36,",,W,",WSF2,2016-02-10T00:00:00,GHCND:USW00013969,19.9
37,",,W,",WSF2,2016-02-11T00:00:00,GHCND:USW00013969,18.1
38,",,W,",WSF2,2016-02-12T00:00:00,GHCND:USW00013969,23.0
39,",,W,",WSF2,2016-02-13T00:00:00,GHCND:USW00013969,21.9
40,",,W,",WSF2,2016-02-14T00:00:00,GHCND:USW00013969,18.1
41,",,W,",WSF2,2016-02-15T00:00:00,GHCND:USW00013969,19.9
42,",,W,",WSF2,2016-02-16T00:00:00,GHCND:USW00013969,33.1
43,",,W,",WSF2,2016-02-17T00:00:00,GHCND:USW00013969,21.9
44,",,W,",WSF2,2016-02-18T00:00:00,GHCND:USW00013969,29.1
45,",,W,",WSF2,2016-02-19T00:00:00,GHCND:USW00013969,25.9
46,",,W,",WSF2,2016-02-20T00:00:00,GHCND:USW00013969,14.1
47,",,W,",WSF2,2016-02-21T00:00:00,GHCND:USW00013969,21.9
48,",,W,",WSF2,2016-02-22T00:00:00,GHCND:USW00013969,17.0
49,",,W,",WSF2,2016-02-23T00:00:00,GHCND:USW00013969,25.1
50,",,W,",WSF2,2016-02-24T00:00:00,GHCND:USW00013969,21.9
51,",,W,",WSF2,2016-02-25T00:00:00,GHCND:USW00013969,25.1
52,",,W,",WSF2,2016-02-26T00:00:00,GHCND:USW00013969,21.9
53,",,W,",WSF2,2016-02-27T00:00:00,GHCND:USW00013969,23.9
