,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00024023,290
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00024023,300
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00024023,90
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00024023,160
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00024023,170
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00024023,160
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00024023,30
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00024023,10
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00024023,350
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00024023,300
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00024023,290
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00024023,280
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00024023,260
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00024023,290
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00024023,330
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00024023,40
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00024023,20
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00024023,170
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00024023,350
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00024023,160
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00024023,330
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00024023,170
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00024023,170
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00024023,360
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00024023,330
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00024023,300
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00024023,330
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00024023,290
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00024023,310
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00024023,160
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00024023,310
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00024023,90
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00024023,360
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00024023,330
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00024023,290
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00024023,350
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00024023,250
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00024023,290
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00024023,330
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00024023,220
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00024023,300
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00024023,180
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00024023,10
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00024023,160
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00024023,290
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00024023,320
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00024023,340
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00024023,130
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00024023,250
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00024023,290
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00024023,320
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00024023,330
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00024023,180
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00024023,330
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00024023,320
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00024023,350
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00024023,320
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00024023,240
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00024023,320
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00024023,10
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00024023,290
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00024023,10
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00024023,310
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00024023,350
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00024023,170
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00024023,180
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00024023,190
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00024023,300
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00024023,300
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00024023,240
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00024023,160
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00024023,160
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00024023,360
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00024023,290
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00024023,310
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00024023,320
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00024023,20
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00024023,310
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00024023,330
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00024023,220
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00024023,290
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00024023,80
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00024023,360
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00024023,330
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00024023,240
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00024023,350
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00024023,230
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00024023,120
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00024023,120
89,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00024023,10
90,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00024023,320
91,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00024023,320
92,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00024023,300
93,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00024023,310
94,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00024023,170
95,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00024023,320
96,",,W,",WDF5,2016-04-06T00:00:00,GHCND:USW00024023,330
97,",,W,",WDF5,2016-04-07T00:00:00,GHCND:USW00024023,340
98,",,W,",WDF5,2016-04-08T00:00:00,GHCND:USW00024023,310
99,",,W,",WDF5,2016-04-09T00:00:00,GHCND:USW00024023,150
100,",,W,",WDF5,2016-04-10T00:00:00,GHCND:USW00024023,10
101,",,W,",WDF5,2016-04-11T00:00:00,GHCND:USW00024023,10
102,",,W,",WDF5,2016-04-12T00:00:00,GHCND:USW00024023,170
103,",,W,",WDF5,2016-04-13T00:00:00,GHCND:USW00024023,170
104,",,W,",WDF5,2016-04-14T00:00:00,GHCND:USW00024023,160
105,",,W,",WDF5,2016-04-15T00:00:00,GHCND:USW00024023,160
106,",,W,",WDF5,2016-04-16T00:00:00,GHCND:USW00024023,30
107,",,W,",WDF5,2016-04-17T00:00:00,GHCND:USW00024023,30
108,",,W,",WDF5,2016-04-18T00:00:00,GHCND:USW00024023,330
109,",,W,",WDF5,2016-04-19T00:00:00,GHCND:USW00024023,160
110,",,W,",WDF5,2016-04-20T00:00:00,GHCND:USW00024023,350
111,",,W,",WDF5,2016-04-21T00:00:00,GHCND:USW00024023,320
112,",,W,",WDF5,2016-04-22T00:00:00,GHCND:USW00024023,160
113,",,W,",WDF5,2016-04-23T00:00:00,GHCND:USW00024023,180
114,",,W,",WDF5,2016-04-24T00:00:00,GHCND:USW00024023,200
115,",,W,",WDF5,2016-04-25T00:00:00,GHCND:USW00024023,330
116,",,W,",WDF5,2016-04-26T00:00:00,GHCND:USW00024023,10
117,",,W,",WDF5,2016-04-27T00:00:00,GHCND:USW00024023,310
118,",,W,",WDF5,2016-04-28T00:00:00,GHCND:USW00024023,340
119,",,W,",WDF5,2016-04-29T00:00:00,GHCND:USW00024023,50
120,",,W,",WDF5,2016-04-30T00:00:00,GHCND:USW00024023,10
121,",,W,",WDF5,2016-05-01T00:00:00,GHCND:USW00024023,350
122,",,W,",WDF5,2016-05-02T00:00:00,GHCND:USW00024023,300
123,",,W,",WDF5,2016-05-03T00:00:00,GHCND:USW00024023,310
124,",,W,",WDF5,2016-05-04T00:00:00,GHCND:USW00024023,30
125,",,W,",WDF5,2016-05-05T00:00:00,GHCND:USW00024023,170
126,",,W,",WDF5,2016-05-06T00:00:00,GHCND:USW00024023,210
127,",,W,",WDF5,2016-05-07T00:00:00,GHCND:USW00024023,80
