,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00094946,11.6
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00094946,8.7
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00094946,4.7
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00094946,7.8
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00094946,14.8
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00094946,6.7
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00094946,7.4
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00094946,17.2
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00094946,12.3
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00094946,5.8
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00094946,14.1
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00094946,7.4
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00094946,8.1
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00094946,15.7
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00094946,11.6
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00094946,9.8
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00094946,6.7
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00094946,7.4
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00094946,4.9
19,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00094946,13.4
20,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00094946,5.8
21,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00094946,9.2
22,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00094946,3.1
23,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00094946,19.0
24,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00094946,7.4
25,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00094946,8.3
26,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00094946,8.5
27,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00094946,9.4
28,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00094946,8.7
29,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00094946,10.1
30,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00094946,6.5
31,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00094946,27.5
32,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00094946,12.1
33,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00094946,6.5
34,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00094946,9.6
35,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00094946,8.5
36,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00094946,24.8
