,attributes,datatype,date,station,value
0,",,W,",WSF2,2016-01-01T00:00:00,GHCND:USW00094946,18.1
1,",,W,",WSF2,2016-01-02T00:00:00,GHCND:USW00094946,18.1
2,",,W,",WSF2,2016-01-03T00:00:00,GHCND:USW00094946,13.0
3,",,W,",WSF2,2016-01-04T00:00:00,GHCND:USW00094946,21.0
4,",,W,",WSF2,2016-01-05T00:00:00,GHCND:USW00094946,21.9
5,",,W,",WSF2,2016-01-06T00:00:00,GHCND:USW00094946,19.9
6,",,W,",WSF2,2016-01-07T00:00:00,GHCND:USW00094946,17.0
7,",,W,",WSF2,2016-01-08T00:00:00,GHCND:USW00094946,28.0
8,",,W,",WSF2,2016-01-09T00:00:00,GHCND:USW00094946,21.9
9,",,W,",WSF2,2016-01-10T00:00:00,GHCND:USW00094946,15.0
10,",,W,",WSF2,2016-01-11T00:00:00,GHCND:USW00094946,25.9
11,",,W,",WSF2,2016-01-12T00:00:00,GHCND:USW00094946,18.1
12,",,W,",WSF2,2016-01-13T00:00:00,GHCND:USW00094946,16.1
13,",,W,",WSF2,2016-01-14T00:00:00,GHCND:USW00094946,35.1
14,",,W,",WSF2,2016-01-15T00:00:00,GHCND:USW00094946,30.0
15,",,W,",WSF2,2016-01-16T00:00:00,GHCND:USW00094946,23.0
16,",,W,",WSF2,2016-01-17T00:00:00,GHCND:USW00094946,17.0
17,",,W,",WSF2,2016-01-18T00:00:00,GHCND:USW00094946,16.1
18,",,W,",WSF2,2016-01-19T00:00:00,GHCND:USW00094946,13.0
19,",,W,",WSF2,2016-01-21T00:00:00,GHCND:USW00094946,25.1
20,",,W,",WSF2,2016-01-22T00:00:00,GHCND:USW00094946,28.0
21,",,W,",WSF2,2016-01-23T00:00:00,GHCND:USW00094946,21.9
22,",,W,",WSF2,2016-01-24T00:00:00,GHCND:USW00094946,16.1
23,",,W,",WSF2,2016-01-25T00:00:00,GHCND:USW00094946,31.1
24,",,W,",WSF2,2016-01-26T00:00:00,GHCND:USW00094946,17.0
