,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00094958,280
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00094958,320
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00094958,320
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00094958,140
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00094958,200
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00094958,190
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00094958,350
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00094958,350
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00094958,350
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00094958,310
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00094958,300
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00094958,30
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00094958,200
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00094958,330
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00094958,330
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00094958,340
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00094958,350
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00094958,120
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00094958,140
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00094958,170
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00094958,340
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00094958,180
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00094958,210
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00094958,120
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00094958,340
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00094958,310
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00094958,330
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00094958,320
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00094958,330
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00094958,340
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00094958,320
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00094958,50
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00094958,350
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00094958,330
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00094958,330
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00094958,310
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00094958,310
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00094958,320
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00094958,330
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00094958,340
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00094958,270
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00094958,210
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00094958,30
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00094958,190
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00094958,190
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00094958,270
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00094958,320
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00094958,140
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00094958,180
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00094958,290
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00094958,320
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00094958,320
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00094958,170
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00094958,330
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00094958,330
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00094958,350
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00094958,320
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00094958,210
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00094958,330
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00094958,10
