,attributes,datatype,date,station,value
0,",,W,",WSF5,2016-01-01T00:00:00,GHCND:USW00094958,23.0
1,",,W,",WSF5,2016-01-02T00:00:00,GHCND:USW00094958,18.1
2,",,W,",WSF5,2016-01-03T00:00:00,GHCND:USW00094958,14.1
3,",,W,",WSF5,2016-01-04T00:00:00,GHCND:USW00094958,23.0
4,",,W,",WSF5,2016-01-05T00:00:00,GHCND:USW00094958,28.0
5,",,W,",WSF5,2016-01-06T00:00:00,GHCND:USW00094958,21.0
6,",,W,",WSF5,2016-01-07T00:00:00,GHCND:USW00094958,21.0
7,",,W,",WSF5,2016-01-08T00:00:00,GHCND:USW00094958,32.0
8,",,W,",WSF5,2016-01-09T00:00:00,GHCND:USW00094958,28.0
9,",,W,",WSF5,2016-01-10T00:00:00,GHCND:USW00094958,12.1
10,",,W,",WSF5,2016-01-11T00:00:00,GHCND:USW00094958,34.0
11,",,W,",WSF5,2016-01-12T00:00:00,GHCND:USW00094958,25.1
12,",,W,",WSF5,2016-01-13T00:00:00,GHCND:USW00094958,18.1
13,",,W,",WSF5,2016-01-14T00:00:00,GHCND:USW00094958,47.0
14,",,W,",WSF5,2016-01-15T00:00:00,GHCND:USW00094958,42.1
15,",,W,",WSF5,2016-01-16T00:00:00,GHCND:USW00094958,29.1
16,",,W,",WSF5,2016-01-17T00:00:00,GHCND:USW00094958,25.1
17,",,W,",WSF5,2016-01-18T00:00:00,GHCND:USW00094958,21.9
18,",,W,",WSF5,2016-01-19T00:00:00,GHCND:USW00094958,17.0
19,",,W,",WSF5,2016-01-20T00:00:00,GHCND:USW00094958,23.0
20,",,W,",WSF5,2016-01-21T00:00:00,GHCND:USW00094958,21.9
21,",,W,",WSF5,2016-01-22T00:00:00,GHCND:USW00094958,19.0
22,",,W,",WSF5,2016-01-23T00:00:00,GHCND:USW00094958,25.1
23,",,W,",WSF5,2016-01-24T00:00:00,GHCND:USW00094958,16.1
24,",,W,",WSF5,2016-01-25T00:00:00,GHCND:USW00094958,38.9
25,",,W,",WSF5,2016-01-26T00:00:00,GHCND:USW00094958,21.0
26,",,W,",WSF5,2016-01-27T00:00:00,GHCND:USW00094958,28.0
27,",,W,",WSF5,2016-01-28T00:00:00,GHCND:USW00094958,18.1
28,",,W,",WSF5,2016-01-29T00:00:00,GHCND:USW00094958,36.0
29,",,W,",WSF5,2016-01-30T00:00:00,GHCND:USW00094958,23.0
30,",,W,",WSF5,2016-01-31T00:00:00,GHCND:USW00094958,30.0
31,",,W,",WSF5,2016-02-01T00:00:00,GHCND:USW00094958,21.9
32,",,W,",WSF5,2016-02-03T00:00:00,GHCND:USW00094958,31.1
33,",,W,",WSF5,2016-02-04T00:00:00,GHCND:USW00094958,16.1
34,",,W,",WSF5,2016-02-05T00:00:00,GHCND:USW00094958,27.1
35,",,W,",WSF5,2016-02-06T00:00:00,GHCND:USW00094958,25.9
36,",,W,",WSF5,2016-02-07T00:00:00,GHCND:USW00094958,55.9
37,",,W,",WSF5,2016-02-08T00:00:00,GHCND:USW00094958,50.1
38,",,W,",WSF5,2016-02-09T00:00:00,GHCND:USW00094958,25.9
39,",,W,",WSF5,2016-02-10T00:00:00,GHCND:USW00094958,19.9
40,",,W,",WSF5,2016-02-11T00:00:00,GHCND:USW00094958,23.0
41,",,W,",WSF5,2016-02-12T00:00:00,GHCND:USW00094958,19.0
42,",,W,",WSF5,2016-02-13T00:00:00,GHCND:USW00094958,29.1
43,",,W,",WSF5,2016-02-14T00:00:00,GHCND:USW00094958,30.0
44,",,W,",WSF5,2016-02-15T00:00:00,GHCND:USW00094958,19.0
45,",,W,",WSF5,2016-02-16T00:00:00,GHCND:USW00094958,46.1
46,",,W,",WSF5,2016-02-17T00:00:00,GHCND:USW00094958,15.0
47,",,W,",WSF5,2016-02-18T00:00:00,GHCND:USW00094958,19.0
48,",,W,",WSF5,2016-02-19T00:00:00,GHCND:USW00094958,59.1
49,",,W,",WSF5,2016-02-20T00:00:00,GHCND:USW00094958,14.1
50,",,W,",WSF5,2016-02-21T00:00:00,GHCND:USW00094958,35.1
51,",,W,",WSF5,2016-02-22T00:00:00,GHCND:USW00094958,23.0
52,",,W,",WSF5,2016-02-23T00:00:00,GHCND:USW00094958,34.0
53,",,W,",WSF5,2016-02-24T00:00:00,GHCND:USW00094958,46.1
54,",,W,",WSF5,2016-02-25T00:00:00,GHCND:USW00094958,31.1
55,",,W,",WSF5,2016-02-26T00:00:00,GHCND:USW00094958,27.1
56,",,W,",WSF5,2016-02-27T00:00:00,GHCND:USW00094958,14.1
57,",,W,",WSF5,2016-02-28T00:00:00,GHCND:USW00094958,45.0
58,",,W,",WSF5,2016-02-29T00:00:00,GHCND:USW00094958,28.0
59,",,W,",WSF5,2016-03-01T00:00:00,GHCND:USW00094958,21.9
60,",,W,",WSF5,2016-03-02T00:00:00,GHCND:USW00094958,23.0
61,",,W,",WSF5,2016-03-03T00:00:00,GHCND:USW00094958,23.9
62,",,W,",WSF5,2016-03-04T00:00:00,GHCND:USW00094958,38.0
63,",,W,",WSF5,2016-03-05T00:00:00,GHCND:USW00094958,27.1
64,",,W,",WSF5,2016-03-06T00:00:00,GHCND:USW00094958,25.1
65,",,W,",WSF5,2016-03-07T00:00:00,GHCND:USW00094958,36.0
66,",,W,",WSF5,2016-03-08T00:00:00,GHCND:USW00094958,29.1
67,",,W,",WSF5,2016-03-09T00:00:00,GHCND:USW00094958,29.1
68,",,W,",WSF5,2016-03-10T00:00:00,GHCND:USW00094958,16.1
69,",,W,",WSF5,2016-03-11T00:00:00,GHCND:USW00094958,36.9
70,",,W,",WSF5,2016-03-12T00:00:00,GHCND:USW00094958,25.1
71,",,W,",WSF5,2016-03-13T00:00:00,GHCND:USW00094958,21.0
72,",,W,",WSF5,2016-03-14T00:00:00,GHCND:USW00094958,42.9
73,",,W,",WSF5,2016-03-15T00:00:00,GHCND:USW00094958,40.9
74,",,W,",WSF5,2016-03-16T00:00:00,GHCND:USW00094958,34.0
75,",,W,",WSF5,2016-03-17T00:00:00,GHCND:USW00094958,33.1
76,",,W,",WSF5,2016-03-18T00:00:00,GHCND:USW00094958,38.0
77,",,W,",WSF5,2016-03-19T00:00:00,GHCND:USW00094958,34.0
78,",,W,",WSF5,2016-03-20T00:00:00,GHCND:USW00094958,25.1
79,",,W,",WSF5,2016-03-21T00:00:00,GHCND:USW00094958,25.9
80,",,W,",WSF5,2016-03-22T00:00:00,GHCND:USW00094958,25.1
81,",,W,",WSF5,2016-03-23T00:00:00,GHCND:USW00094958,61.1
82,",,W,",WSF5,2016-03-24T00:00:00,GHCND:USW00094958,40.9
83,",,W,",WSF5,2016-03-25T00:00:00,GHCND:USW00094958,19.9
84,",,W,",WSF5,2016-03-26T00:00:00,GHCND:USW00094958,33.1
85,",,W,",WSF5,2016-03-27T00:00:00,GHCND:USW00094958,18.1
86,",,W,",WSF5,2016-03-28T00:00:00,GHCND:USW00094958,29.1
87,",,W,",WSF5,2016-03-29T00:00:00,GHCND:USW00094958,42.1
88,",,W,",WSF5,2016-03-30T00:00:00,GHCND:USW00094958,30.0
89,",,W,",WSF5,2016-03-31T00:00:00,GHCND:USW00094958,49.0
90,",,W,",WSF5,2016-04-01T00:00:00,GHCND:USW00094958,40.9
91,",,W,",WSF5,2016-04-02T00:00:00,GHCND:USW00094958,27.1
92,",,W,",WSF5,2016-04-03T00:00:00,GHCND:USW00094958,36.9
93,",,W,",WSF5,2016-04-04T00:00:00,GHCND:USW00094958,21.9
94,",,W,",WSF5,2016-04-05T00:00:00,GHCND:USW00094958,40.9
95,",,W,",WSF5,2016-04-06T00:00:00,GHCND:USW00094958,53.9
96,",,W,",WSF5,2016-04-07T00:00:00,GHCND:USW00094958,55.0
97,",,W,",WSF5,2016-04-08T00:00:00,GHCND:USW00094958,33.1
98,",,W,",WSF5,2016-04-09T00:00:00,GHCND:USW00094958,38.0
99,",,W,",WSF5,2016-04-10T00:00:00,GHCND:USW00094958,36.0
100,",,W,",WSF5,2016-04-11T00:00:00,GHCND:USW00094958,21.9
101,",,W,",WSF5,2016-04-12T00:00:00,GHCND:USW00094958,40.0
102,",,W,",WSF5,2016-04-13T00:00:00,GHCND:USW00094958,29.1
103,",,W,",WSF5,2016-04-14T00:00:00,GHCND:USW00094958,35.1
104,",,W,",WSF5,2016-04-15T00:00:00,GHCND:USW00094958,38.0
105,",,W,",WSF5,2016-04-16T00:00:00,GHCND:USW00094958,28.0
106,",,W,",WSF5,2016-04-17T00:00:00,GHCND:USW00094958,27.1
107,",,W,",WSF5,2016-04-18T00:00:00,GHCND:USW00094958,27.1
108,",,W,",WSF5,2016-04-19T00:00:00,GHCND:USW00094958,13.0
109,",,W,",WSF5,2016-04-20T00:00:00,GHCND:USW00094958,23.0
110,",,W,",WSF5,2016-04-21T00:00:00,GHCND:USW00094958,31.1
111,",,W,",WSF5,2016-04-22T00:00:00,GHCND:USW00094958,19.9
112,",,W,",WSF5,2016-04-23T00:00:00,GHCND:USW00094958,40.0
113,",,W,",WSF5,2016-04-24T00:00:00,GHCND:USW00094958,31.1
114,",,W,",WSF5,2016-04-25T00:00:00,GHCND:USW00094958,29.1
115,",,W,",WSF5,2016-04-26T00:00:00,GHCND:USW00094958,31.1
116,",,W,",WSF5,2016-04-27T00:00:00,GHCND:USW00094958,35.1
117,",,W,",WSF5,2016-04-28T00:00:00,GHCND:USW00094958,28.0
118,",,W,",WSF5,2016-04-29T00:00:00,GHCND:USW00094958,31.1
119,",,W,",WSF5,2016-04-30T00:00:00,GHCND:USW00094958,34.0
120,",,W,",WSF5,2016-05-01T00:00:00,GHCND:USW00094958,33.1
121,",,W,",WSF5,2016-05-02T00:00:00,GHCND:USW00094958,13.0
122,",,W,",WSF5,2016-05-03T00:00:00,GHCND:USW00094958,23.0
123,",,W,",WSF5,2016-05-04T00:00:00,GHCND:USW00094958,25.9
124,",,W,",WSF5,2016-05-05T00:00:00,GHCND:USW00094958,18.1
125,",,W,",WSF5,2016-05-06T00:00:00,GHCND:USW00094958,31.1
126,",,W,",WSF5,2016-05-07T00:00:00,GHCND:USW00094958,29.1
127,",,W,",WSF5,2016-05-08T00:00:00,GHCND:USW00094958,40.9
128,",,W,",WSF5,2016-05-09T00:00:00,GHCND:USW00094958,21.0
129,",,W,",WSF5,2016-05-10T00:00:00,GHCND:USW00094958,33.1
130,",,W,",WSF5,2016-05-11T00:00:00,GHCND:USW00094958,33.1
131,",,W,",WSF5,2016-05-12T00:00:00,GHCND:USW00094958,36.9
132,",,W,",WSF5,2016-05-13T00:00:00,GHCND:USW00094958,46.1
133,",,W,",WSF5,2016-05-14T00:00:00,GHCND:USW00094958,25.9
134,",,W,",WSF5,2016-05-15T00:00:00,GHCND:USW00094958,25.1
135,",,W,",WSF5,2016-05-16T00:00:00,GHCND:USW00094958,19.0
136,",,W,",WSF5,2016-05-17T00:00:00,GHCND:USW00094958,18.1
137,",,W,",WSF5,2016-05-18T00:00:00,GHCND:USW00094958,19.0
138,",,W,",WSF5,2016-05-19T00:00:00,GHCND:USW00094958,32.0
139,",,W,",WSF5,2016-05-20T00:00:00,GHCND:USW00094958,25.1
140,",,W,",WSF5,2016-05-21T00:00:00,GHCND:USW00094958,32.0
141,",,W,",WSF5,2016-05-22T00:00:00,GHCND:USW00094958,38.9
142,",,W,",WSF5,2016-05-23T00:00:00,GHCND:USW00094958,27.1
143,",,W,",WSF5,2016-05-24T00:00:00,GHCND:USW00094958,21.9
144,",,W,",WSF5,2016-05-25T00:00:00,GHCND:USW00094958,55.9
145,",,W,",WSF5,2016-05-26T00:00:00,GHCND:USW00094958,29.1
146,",,W,",WSF5,2016-05-27T00:00:00,GHCND:USW00094958,33.1
147,",,W,",WSF5,2016-05-28T00:00:00,GHCND:USW00094958,27.1
148,",,W,",WSF5,2016-05-29T00:00:00,GHCND:USW00094958,23.9
149,",,W,",WSF5,2016-05-30T00:00:00,GHCND:USW00094958,36.0
150,",,W,",WSF5,2016-06-01T00:00:00,GHCND:USW00094958,30.0
151,",,W,",WSF5,2016-06-02T00:00:00,GHCND:USW00094958,25.9
152,",,W,",WSF5,2016-06-03T00:00:00,GHCND:USW00094958,29.1
153,",,W,",WSF5,2016-06-04T00:00:00,GHCND:USW00094958,44.1
154,",,W,",WSF5,2016-06-05T00:00:00,GHCND:USW00094958,21.9
155,",,W,",WSF5,2016-06-06T00:00:00,GHCND:USW00094958,27.1
156,",,W,",WSF5,2016-06-07T00:00:00,GHCND:USW00094958,19.0
157,",,W,",WSF5,2016-06-08T00:00:00,GHCND:USW00094958,55.9
158,",,W,",WSF5,2016-06-09T00:00:00,GHCND:USW00094958,35.1
159,",,W,",WSF5,2016-06-10T00:00:00,GHCND:USW00094958,23.0
160,",,W,",WSF5,2016-06-11T00:00:00,GHCND:USW00094958,25.9
161,",,W,",WSF5,2016-06-12T00:00:00,GHCND:USW00094958,25.9
162,",,W,",WSF5,2016-06-13T00:00:00,GHCND:USW00094958,21.9
163,",,W,",WSF5,2016-06-14T00:00:00,GHCND:USW00094958,47.0
164,",,W,",WSF5,2016-06-15T00:00:00,GHCND:USW00094958,17.0
165,",,W,",WSF5,2016-06-16T00:00:00,GHCND:USW00094958,31.1
166,",,W,",WSF5,2016-06-20T00:00:00,GHCND:USW00094958,21.0
167,",,W,",WSF5,2016-06-21T00:00:00,GHCND:USW00094958,23.0
168,",,W,",WSF5,2016-06-22T00:00:00,GHCND:USW00094958,34.0
169,",,W,",WSF5,2016-06-23T00:00:00,GHCND:USW00094958,18.1
170,",,W,",WSF5,2016-06-24T00:00:00,GHCND:USW00094958,30.0
171,",,W,",WSF5,2016-06-25T00:00:00,GHCND:USW00094958,25.9
172,",,W,",WSF5,2016-06-26T00:00:00,GHCND:USW00094958,23.9
173,",,W,",WSF5,2016-06-27T00:00:00,GHCND:USW00094958,30.0
174,",,W,",WSF5,2016-06-28T00:00:00,GHCND:USW00094958,33.1
175,",,W,",WSF5,2016-06-29T00:00:00,GHCND:USW00094958,36.0
176,",,W,",WSF5,2016-06-30T00:00:00,GHCND:USW00094958,21.9
177,",,W,",WSF5,2016-07-01T00:00:00,GHCND:USW00094958,15.0
178,",,W,",WSF5,2016-07-02T00:00:00,GHCND:USW00094958,27.1
179,",,W,",WSF5,2016-07-03T00:00:00,GHCND:USW00094958,14.1
180,",,W,",WSF5,2016-07-04T00:00:00,GHCND:USW00094958,17.0
181,",,W,",WSF5,2016-07-05T00:00:00,GHCND:USW00094958,18.1
182,",,W,",WSF5,2016-07-06T00:00:00,GHCND:USW00094958,51.0
183,",,W,",WSF5,2016-07-07T00:00:00,GHCND:USW00094958,28.0
184,",,W,",WSF5,2016-07-08T00:00:00,GHCND:USW00094958,17.0
185,",,W,",WSF5,2016-07-09T00:00:00,GHCND:USW00094958,25.9
186,",,W,",WSF5,2016-07-10T00:00:00,GHCND:USW00094958,31.1
187,",,W,",WSF5,2016-07-11T00:00:00,GHCND:USW00094958,31.1
188,",,W,",WSF5,2016-07-12T00:00:00,GHCND:USW00094958,21.0
189,",,W,",WSF5,2016-07-13T00:00:00,GHCND:USW00094958,45.0
190,",,W,",WSF5,2016-07-14T00:00:00,GHCND:USW00094958,19.0
191,",,W,",WSF5,2016-07-15T00:00:00,GHCND:USW00094958,29.1
192,",,W,",WSF5,2016-07-16T00:00:00,GHCND:USW00094958,32.0
193,",,W,",WSF5,2016-07-17T00:00:00,GHCND:USW00094958,19.0
194,",,W,",WSF5,2016-07-18T00:00:00,GHCND:USW00094958,25.1
195,",,W,",WSF5,2016-07-19T00:00:00,GHCND:USW00094958,46.1
196,",,W,",WSF5,2016-07-20T00:00:00,GHCND:USW00094958,25.9
