,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00053144,1.6
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00053144,2.0
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00053144,2.9
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00053144,2.7
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00053144,9.6
5,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00053144,2.2
6,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00053144,7.2
7,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00053144,2.2
8,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00053144,2.0
9,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00053144,1.6
10,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00053144,1.3
11,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00053144,2.0
12,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00053144,3.8
13,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00053144,2.9
14,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00053144,1.1
15,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00053144,7.2
16,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00053144,13.0
17,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00053144,5.6
18,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00053144,1.1
19,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00053144,3.6
20,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00053144,4.0
21,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00053144,5.6
22,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00053144,2.7
23,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00053144,1.8
24,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00053144,2.9
25,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00053144,8.3
26,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00053144,4.5
27,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00053144,6.3
28,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00053144,6.7
29,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00053144,8.1
30,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00053144,8.9
31,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00053144,7.6
32,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00053144,15.7
33,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00053144,18.3
34,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00053144,13.4
35,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00053144,8.1
36,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00053144,3.8
37,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00053144,13.4
38,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00053144,19.9
39,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00053144,18.8
40,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00053144,18.3
41,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00053144,3.1
42,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00053144,2.7
43,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00053144,6.0
44,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00053144,5.1
45,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00053144,5.6
46,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00053144,9.8
