,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-01-01T00:00:00,GHCND:USC00142980,55.3
1,",,7,",WDMV,2016-01-02T00:00:00,GHCND:USC00142980,46.0
2,",,7,",WDMV,2016-01-03T00:00:00,GHCND:USC00142980,67.1
3,",,7,",WDMV,2016-01-04T00:00:00,GHCND:USC00142980,34.2
4,",,7,",WDMV,2016-01-05T00:00:00,GHCND:USC00142980,208.2
5,",,7,",WDMV,2016-01-06T00:00:00,GHCND:USC00142980,272.2
6,",,7,",WDMV,2016-01-07T00:00:00,GHCND:USC00142980,52.8
7,",,7,",WDMV,2016-01-08T00:00:00,GHCND:USC00142980,123.0
8,",,7,",WDMV,2016-01-09T00:00:00,GHCND:USC00142980,226.2
9,",,7,",WDMV,2016-01-10T00:00:00,GHCND:USC00142980,98.8
10,",,7,",WDMV,2016-01-11T00:00:00,GHCND:USC00142980,82.0
11,",,7,",WDMV,2016-01-12T00:00:00,GHCND:USC00142980,42.3
12,",,7,",WDMV,2016-01-13T00:00:00,GHCND:USC00142980,39.1
13,",,7,",WDMV,2016-01-14T00:00:00,GHCND:USC00142980,85.1
14,",,7,",WDMV,2016-01-15T00:00:00,GHCND:USC00142980,139.2
15,",,7,",WDMV,2016-01-16T00:00:00,GHCND:USC00142980,39.1
16,",,7,",WDMV,2016-01-17T00:00:00,GHCND:USC00142980,87.0
17,",,7,",WDMV,2016-01-18T00:00:00,GHCND:USC00142980,121.2
18,",,7,",WDMV,2016-01-19T00:00:00,GHCND:USC00142980,146.0
19,",,7,",WDMV,2016-01-20T00:00:00,GHCND:USC00142980,119.9
20,",,7,",WDMV,2016-01-21T00:00:00,GHCND:USC00142980,121.8
21,",,7,",WDMV,2016-01-22T00:00:00,GHCND:USC00142980,162.2
22,",,7,",WDMV,2016-01-23T00:00:00,GHCND:USC00142980,101.3
23,",,7,",WDMV,2016-01-24T00:00:00,GHCND:USC00142980,87.0
24,",,7,",WDMV,2016-01-25T00:00:00,GHCND:USC00142980,90.1
25,",,7,",WDMV,2016-01-26T00:00:00,GHCND:USC00142980,169.0
26,",,7,",WDMV,2016-01-27T00:00:00,GHCND:USC00142980,42.9
27,",,7,",WDMV,2016-01-28T00:00:00,GHCND:USC00142980,51.0
28,",,7,",WDMV,2016-01-29T00:00:00,GHCND:USC00142980,46.0
29,",,7,",WDMV,2016-01-30T00:00:00,GHCND:USC00142980,154.1
30,",,7,",WDMV,2016-01-31T00:00:00,GHCND:USC00142980,169.0
31,",,7,",WDMV,2016-02-01T00:00:00,GHCND:USC00142980,93.8
32,",,7,",WDMV,2016-02-02T00:00:00,GHCND:USC00142980,224.9
33,",,7,",WDMV,2016-02-03T00:00:00,GHCND:USC00142980,175.8
34,",,7,",WDMV,2016-02-04T00:00:00,GHCND:USC00142980,32.9
35,",,7,",WDMV,2016-02-05T00:00:00,GHCND:USC00142980,37.9
36,",,7,",WDMV,2016-02-06T00:00:00,GHCND:USC00142980,105.0
37,",,7,",WDMV,2016-02-07T00:00:00,GHCND:USC00142980,103.8
38,",,7,",WDMV,2016-02-08T00:00:00,GHCND:USC00142980,201.9
39,",,7,",WDMV,2016-02-09T00:00:00,GHCND:USC00142980,131.7
40,",,7,",WDMV,2016-02-10T00:00:00,GHCND:USC00142980,78.9
41,",,7,",WDMV,2016-02-11T00:00:00,GHCND:USC00142980,115.0
42,",,7,",WDMV,2016-02-12T00:00:00,GHCND:USC00142980,83.9
43,",,7,",WDMV,2016-02-13T00:00:00,GHCND:USC00142980,165.3
44,",,7,",WDMV,2016-02-14T00:00:00,GHCND:USC00142980,126.1
45,",,7,",WDMV,2016-02-15T00:00:00,GHCND:USC00142980,49.7
46,",,7,",WDMV,2016-02-16T00:00:00,GHCND:USC00142980,126.8
47,",,7,",WDMV,2016-02-17T00:00:00,GHCND:USC00142980,100.0
48,",,7,",WDMV,2016-02-18T00:00:00,GHCND:USC00142980,146.0
49,",,7,",WDMV,2016-02-19T00:00:00,GHCND:USC00142980,234.3
50,",,7,",WDMV,2016-02-20T00:00:00,GHCND:USC00142980,93.2
51,",,7,",WDMV,2016-02-21T00:00:00,GHCND:USC00142980,129.9
52,",,7,",WDMV,2016-02-22T00:00:00,GHCND:USC00142980,60.3
53,",,7,",WDMV,2016-02-23T00:00:00,GHCND:USC00142980,131.1
54,",,7,",WDMV,2016-02-24T00:00:00,GHCND:USC00142980,197.0
55,",,7,",WDMV,2016-02-25T00:00:00,GHCND:USC00142980,142.9
56,",,7,",WDMV,2016-02-26T00:00:00,GHCND:USC00142980,134.8
57,",,7,",WDMV,2016-02-27T00:00:00,GHCND:USC00142980,116.8
58,",,7,",WDMV,2016-02-28T00:00:00,GHCND:USC00142980,277.1
59,",,7,",WDMV,2016-02-29T00:00:00,GHCND:USC00142980,167.1
60,",,7,",WDMV,2016-03-01T00:00:00,GHCND:USC00142980,185.2
61,",,7,",WDMV,2016-03-02T00:00:00,GHCND:USC00142980,23.0
62,",,7,",WDMV,2016-03-03T00:00:00,GHCND:USC00142980,231.8
63,",,7,",WDMV,2016-03-04T00:00:00,GHCND:USC00142980,111.2
64,",,7,",WDMV,2016-03-05T00:00:00,GHCND:USC00142980,100.0
65,",,7,",WDMV,2016-03-06T00:00:00,GHCND:USC00142980,192.0
66,",,7,",WDMV,2016-03-07T00:00:00,GHCND:USC00142980,119.3
67,",,7,",WDMV,2016-03-08T00:00:00,GHCND:USC00142980,190.1
68,",,7,",WDMV,2016-03-09T00:00:00,GHCND:USC00142980,70.8
69,",,7,",WDMV,2016-03-10T00:00:00,GHCND:USC00142980,70.8
70,",,7,",WDMV,2016-03-11T00:00:00,GHCND:USC00142980,144.2
71,",,7,",WDMV,2016-03-12T00:00:00,GHCND:USC00142980,59.0
72,",,7,",WDMV,2016-03-13T00:00:00,GHCND:USC00142980,162.2
73,",,7,",WDMV,2016-03-14T00:00:00,GHCND:USC00142980,69.0
74,",,7,",WDMV,2016-03-15T00:00:00,GHCND:USC00142980,159.7
75,",,7,",WDMV,2016-03-16T00:00:00,GHCND:USC00142980,162.2
76,",,7,",WDMV,2016-03-17T00:00:00,GHCND:USC00142980,65.9
77,",,7,",WDMV,2016-03-18T00:00:00,GHCND:USC00142980,179.0
78,",,7,",WDMV,2016-03-19T00:00:00,GHCND:USC00142980,144.8
79,",,7,",WDMV,2016-03-20T00:00:00,GHCND:USC00142980,111.2
80,",,7,",WDMV,2016-03-21T00:00:00,GHCND:USC00142980,116.8
81,",,7,",WDMV,2016-03-22T00:00:00,GHCND:USC00142980,134.8
82,",,7,",WDMV,2016-03-23T00:00:00,GHCND:USC00142980,131.7
83,",,7,",WDMV,2016-03-24T00:00:00,GHCND:USC00142980,320.0
84,",,7,",WDMV,2016-03-25T00:00:00,GHCND:USC00142980,141.1
85,",,7,",WDMV,2016-03-26T00:00:00,GHCND:USC00142980,241.7
86,",,7,",WDMV,2016-03-27T00:00:00,GHCND:USC00142980,157.2
87,",,7,",WDMV,2016-03-28T00:00:00,GHCND:USC00142980,90.7
88,",,7,",WDMV,2016-03-29T00:00:00,GHCND:USC00142980,313.2
89,",,7,",WDMV,2016-03-30T00:00:00,GHCND:USC00142980,328.7
90,",,7,",WDMV,2016-03-31T00:00:00,GHCND:USC00142980,142.3
91,",,7,",WDMV,2016-04-01T00:00:00,GHCND:USC00142980,172.7
92,",,7,",WDMV,2016-04-02T00:00:00,GHCND:USC00142980,142.9
93,",,7,",WDMV,2016-04-03T00:00:00,GHCND:USC00142980,92.0
94,",,7,",WDMV,2016-04-04T00:00:00,GHCND:USC00142980,87.0
95,",,7,",WDMV,2016-04-05T00:00:00,GHCND:USC00142980,170.9
96,",,7,",WDMV,2016-04-06T00:00:00,GHCND:USC00142980,187.0
