,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00014933,300
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00014933,250
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00014933,10
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00014933,140
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00014933,200
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00014933,170
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00014933,130
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00014933,320
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00014933,330
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00014933,330
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00014933,340
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00014933,320
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00014933,200
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00014933,220
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00014933,330
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00014933,320
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00014933,310
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00014933,260
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00014933,110
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00014933,120
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00014933,30
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00014933,10
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00014933,190
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00014933,120
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00014933,330
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00014933,320
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00014933,220
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00014933,320
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00014933,170
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00014933,150
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00014933,300
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00014933,60
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00014933,80
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00014933,320
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00014933,320
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00014933,170
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00014933,210
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00014933,320
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00014933,320
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00014933,310
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00014933,120
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00014933,40
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00014933,340
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00014933,140
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00014933,160
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00014933,170
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00014933,330
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00014933,110
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00014933,150
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00014933,280
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00014933,250
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00014933,350
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00014933,50
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00014933,360
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00014933,310
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00014933,320
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00014933,210
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00014933,220
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00014933,320
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00014933,280
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00014933,350
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00014933,90
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00014933,90
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00014933,170
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00014933,20
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00014933,200
