,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00023182,4.0
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00023182,2.7
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00023182,2.0
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00023182,3.6
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00023182,7.6
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00023182,15.2
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00023182,15.9
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00023182,7.2
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00023182,6.5
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00023182,5.8
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00023182,5.8
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00023182,3.6
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00023182,9.4
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00023182,8.7
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00023182,15.0
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00023182,11.0
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00023182,3.1
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00023182,16.1
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00023182,12.3
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00023182,6.7
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00023182,3.8
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00023182,2.9
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00023182,11.4
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00023182,12.3
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00023182,5.6
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00023182,8.9
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00023182,4.5
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00023182,4.3
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00023182,13.9
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00023182,16.1
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00023182,25.9
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00023182,19.9
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00023182,10.7
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00023182,4.5
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00023182,4.5
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00023182,7.2
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00023182,5.8
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00023182,9.8
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00023182,13.0
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00023182,4.7
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00023182,4.3
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00023182,4.5
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00023182,3.8
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00023182,4.0
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00023182,5.8
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00023182,6.3
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00023182,3.6
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00023182,8.7
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00023182,11.2
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00023182,4.0
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00023182,4.0
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00023182,7.4
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00023182,10.5
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00023182,5.8
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00023182,4.9
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00023182,3.8
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00023182,3.8
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00023182,10.7
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00023182,6.9
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00023182,6.9
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00023182,7.2
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00023182,9.2
