,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00023182,20
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00023182,30
2,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00023182,200
3,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00023182,270
4,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00023182,230
5,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00023182,280
6,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00023182,300
7,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00023182,220
8,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00023182,240
9,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00023182,40
10,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00023182,210
11,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00023182,300
12,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00023182,280
13,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00023182,280
14,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00023182,280
15,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00023182,130
16,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00023182,220
17,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00023182,210
18,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00023182,240
19,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00023182,60
20,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00023182,180
21,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00023182,300
22,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00023182,300
23,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00023182,60
24,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00023182,90
25,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00023182,190
26,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00023182,300
27,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00023182,290
28,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00023182,220
29,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00023182,210
30,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00023182,300
31,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00023182,290
32,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00023182,50
33,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00023182,10
34,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00023182,60
35,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00023182,60
36,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00023182,80
37,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00023182,100
38,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00023182,40
39,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00023182,200
40,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00023182,200
41,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00023182,200
42,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00023182,300
43,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00023182,60
44,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00023182,90
45,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00023182,210
46,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00023182,210
47,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00023182,260
48,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00023182,280
49,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00023182,200
50,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00023182,290
51,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00023182,40
52,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00023182,30
53,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00023182,40
54,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00023182,200
55,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00023182,290
56,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00023182,290
57,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00023182,300
58,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00023182,290
59,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00023182,290
60,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00023182,280
61,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00023182,230
62,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00023182,220
63,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00023182,240
64,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00023182,290
65,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00023182,210
66,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00023182,300
67,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00023182,290
68,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00023182,220
69,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00023182,200
70,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00023182,240
71,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00023182,240
72,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00023182,280
73,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00023182,290
74,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00023182,30
75,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00023182,250
76,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00023182,270
77,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00023182,250
78,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00023182,230
79,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00023182,280
80,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00023182,280
81,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00023182,70
82,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00023182,280
83,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00023182,280
84,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00023182,60
85,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00023182,260
86,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00023182,240
87,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00023182,210
88,",,W,",WDF2,2016-03-30T00:00:00,GHCND:USW00023182,280
89,",,W,",WDF2,2016-03-31T00:00:00,GHCND:USW00023182,290
90,",,W,",WDF2,2016-04-01T00:00:00,GHCND:USW00023182,70
91,",,W,",WDF2,2016-04-02T00:00:00,GHCND:USW00023182,240
92,",,W,",WDF2,2016-04-03T00:00:00,GHCND:USW00023182,250
93,",,W,",WDF2,2016-04-04T00:00:00,GHCND:USW00023182,290
94,",,W,",WDF2,2016-04-05T00:00:00,GHCND:USW00023182,80
95,",,W,",WDF2,2016-04-06T00:00:00,GHCND:USW00023182,90
96,",,W,",WDF2,2016-04-07T00:00:00,GHCND:USW00023182,220
97,",,W,",WDF2,2016-04-08T00:00:00,GHCND:USW00023182,210
98,",,W,",WDF2,2016-04-09T00:00:00,GHCND:USW00023182,220
99,",,W,",WDF2,2016-04-10T00:00:00,GHCND:USW00023182,230
100,",,W,",WDF2,2016-04-11T00:00:00,GHCND:USW00023182,230
101,",,W,",WDF2,2016-04-12T00:00:00,GHCND:USW00023182,240
102,",,W,",WDF2,2016-04-13T00:00:00,GHCND:USW00023182,290
103,",,W,",WDF2,2016-04-14T00:00:00,GHCND:USW00023182,290
104,",,W,",WDF2,2016-04-15T00:00:00,GHCND:USW00023182,290
105,",,W,",WDF2,2016-04-16T00:00:00,GHCND:USW00023182,60
106,",,W,",WDF2,2016-04-17T00:00:00,GHCND:USW00023182,80
107,",,W,",WDF2,2016-04-18T00:00:00,GHCND:USW00023182,230
108,",,W,",WDF2,2016-04-19T00:00:00,GHCND:USW00023182,210
109,",,W,",WDF2,2016-04-20T00:00:00,GHCND:USW00023182,210
110,",,W,",WDF2,2016-04-21T00:00:00,GHCND:USW00023182,250
111,",,W,",WDF2,2016-04-22T00:00:00,GHCND:USW00023182,220
112,",,W,",WDF2,2016-04-23T00:00:00,GHCND:USW00023182,300
113,",,W,",WDF2,2016-04-24T00:00:00,GHCND:USW00023182,290
114,",,W,",WDF2,2016-04-25T00:00:00,GHCND:USW00023182,300
115,",,W,",WDF2,2016-04-26T00:00:00,GHCND:USW00023182,290
116,",,W,",WDF2,2016-04-27T00:00:00,GHCND:USW00023182,300
117,",,W,",WDF2,2016-04-28T00:00:00,GHCND:USW00023182,280
118,",,W,",WDF2,2016-04-29T00:00:00,GHCND:USW00023182,280
119,",,W,",WDF2,2016-04-30T00:00:00,GHCND:USW00023182,230
120,",,W,",WDF2,2016-05-01T00:00:00,GHCND:USW00023182,170
121,",,W,",WDF2,2016-05-02T00:00:00,GHCND:USW00023182,70
122,",,W,",WDF2,2016-05-03T00:00:00,GHCND:USW00023182,80
123,",,W,",WDF2,2016-05-04T00:00:00,GHCND:USW00023182,160
124,",,W,",WDF2,2016-05-05T00:00:00,GHCND:USW00023182,220
125,",,W,",WDF2,2016-05-06T00:00:00,GHCND:USW00023182,230
126,",,W,",WDF2,2016-05-07T00:00:00,GHCND:USW00023182,220
127,",,W,",WDF2,2016-05-08T00:00:00,GHCND:USW00023182,230
128,",,W,",WDF2,2016-05-09T00:00:00,GHCND:USW00023182,220
129,",,W,",WDF2,2016-05-10T00:00:00,GHCND:USW00023182,220
130,",,W,",WDF2,2016-05-11T00:00:00,GHCND:USW00023182,80
131,",,W,",WDF2,2016-05-12T00:00:00,GHCND:USW00023182,250
132,",,W,",WDF2,2016-05-13T00:00:00,GHCND:USW00023182,200
133,",,W,",WDF2,2016-05-14T00:00:00,GHCND:USW00023182,260
134,",,W,",WDF2,2016-05-15T00:00:00,GHCND:USW00023182,270
135,",,W,",WDF2,2016-05-16T00:00:00,GHCND:USW00023182,280
136,",,W,",WDF2,2016-05-17T00:00:00,GHCND:USW00023182,30
137,",,W,",WDF2,2016-05-18T00:00:00,GHCND:USW00023182,280
138,",,W,",WDF2,2016-05-19T00:00:00,GHCND:USW00023182,220
139,",,W,",WDF2,2016-05-20T00:00:00,GHCND:USW00023182,220
140,",,W,",WDF2,2016-05-21T00:00:00,GHCND:USW00023182,230
141,",,W,",WDF2,2016-05-22T00:00:00,GHCND:USW00023182,240
142,",,W,",WDF2,2016-05-23T00:00:00,GHCND:USW00023182,240
143,",,W,",WDF2,2016-05-24T00:00:00,GHCND:USW00023182,220
144,",,W,",WDF2,2016-05-25T00:00:00,GHCND:USW00023182,250
145,",,W,",WDF2,2016-05-26T00:00:00,GHCND:USW00023182,290
146,",,W,",WDF2,2016-05-27T00:00:00,GHCND:USW00023182,250
147,",,W,",WDF2,2016-05-28T00:00:00,GHCND:USW00023182,250
148,",,W,",WDF2,2016-05-29T00:00:00,GHCND:USW00023182,220
149,",,W,",WDF2,2016-05-30T00:00:00,GHCND:USW00023182,280
150,",,W,",WDF2,2016-05-31T00:00:00,GHCND:USW00023182,260
151,",,W,",WDF2,2016-06-01T00:00:00,GHCND:USW00023182,240
