,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00014922,260
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00014922,290
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00014922,330
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00014922,180
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00014922,190
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00014922,140
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00014922,90
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00014922,290
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00014922,330
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00014922,310
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00014922,300
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00014922,310
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00014922,220
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00014922,10
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00014922,320
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00014922,300
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00014922,310
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00014922,270
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00014922,170
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00014922,160
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00014922,10
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00014922,20
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00014922,220
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00014922,130
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00014922,310
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00014922,310
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00014922,240
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00014922,320
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00014922,160
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00014922,210
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00014922,350
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00014922,330
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00014922,20
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00014922,340
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00014922,310
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00014922,210
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00014922,190
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00014922,300
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00014922,330
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00014922,320
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00014922,40
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00014922,240
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00014922,330
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00014922,140
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00014922,160
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00014922,150
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00014922,360
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00014922,60
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00014922,140
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00014922,270
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00014922,300
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00014922,360
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00014922,180
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00014922,330
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00014922,20
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00014922,360
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00014922,220
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00014922,210
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00014922,310
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00014922,340
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00014922,10
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00014922,150
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00014922,340
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00014922,300
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00014922,310
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00014922,190
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00014922,140
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00014922,210
