,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00014927,9.2
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00014927,8.9
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00014927,11.6
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00014927,6.7
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00014927,12.8
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00014927,7.6
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00014927,5.8
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00014927,8.7
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00014927,17.2
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00014927,9.6
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00014927,6.9
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00014927,11.2
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00014927,4.5
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00014927,7.6
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00014927,15.0
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00014927,16.8
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00014927,13.0
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00014927,8.3
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00014927,6.0
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00014927,8.1
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00014927,4.0
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00014927,5.1
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00014927,10.5
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00014927,5.6
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00014927,7.2
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00014927,12.8
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00014927,9.6
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00014927,12.3
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00014927,11.4
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00014927,2.5
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00014927,5.6
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00014927,3.8
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00014927,13.2
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00014927,14.3
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00014927,5.8
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00014927,6.3
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00014927,9.8
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00014927,15.9
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00014927,19.7
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00014927,16.8
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00014927,6.9
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00014927,4.0
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00014927,15.7
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00014927,6.9
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00014927,13.0
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00014927,7.8
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00014927,8.1
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00014927,6.5
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00014927,16.1
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00014927,11.6
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00014927,10.5
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00014927,6.9
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00014927,5.8
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00014927,6.9
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00014927,9.4
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00014927,14.1
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00014927,7.8
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00014927,5.6
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00014927,10.7
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00014927,11.2
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00014927,9.2
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00014927,5.6
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00014927,4.7
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00014927,7.6
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00014927,8.9
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00014927,12.5
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00014927,6.9
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00014927,15.0
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00014927,7.6
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00014927,5.1
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00014927,10.3
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00014927,6.0
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00014927,8.1
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00014927,6.3
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00014927,10.5
