,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00093990,270
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00093990,320
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00093990,310
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00093990,160
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00093990,190
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00093990,170
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00093990,360
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00093990,340
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00093990,360
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00093990,220
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00093990,330
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00093990,350
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00093990,230
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00093990,320
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00093990,330
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00093990,50
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00093990,40
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00093990,170
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00093990,110
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00093990,140
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00093990,350
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00093990,210
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00093990,220
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00093990,100
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00093990,340
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00093990,310
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00093990,330
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00093990,320
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00093990,340
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00093990,360
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00093990,360
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00093990,110
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00093990,360
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00093990,330
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00093990,260
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00093990,300
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00093990,230
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00093990,320
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00093990,330
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00093990,240
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00093990,290
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00093990,190
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00093990,340
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00093990,170
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00093990,330
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00093990,330
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00093990,340
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00093990,90
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00093990,250
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00093990,310
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00093990,20
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00093990,360
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00093990,180
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00093990,360
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00093990,340
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00093990,350
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00093990,330
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00093990,220
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00093990,340
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00093990,20
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00093990,340
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00093990,340
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00093990,360
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00093990,10
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00093990,180
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00093990,220
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00093990,210
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00093990,10
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00093990,310
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00093990,310
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00093990,170
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00093990,140
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00093990,270
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00093990,340
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00093990,300
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00093990,310
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00093990,10
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00093990,50
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00093990,340
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00093990,210
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00093990,200
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00093990,70
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00093990,340
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00093990,340
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00093990,180
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00093990,330
86,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00093990,230
87,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00093990,190
88,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00093990,160
