,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00024018,10.5
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00024018,9.2
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00024018,7.2
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00024018,7.4
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00024018,7.2
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00024018,5.1
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00024018,4.3
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00024018,7.6
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00024018,4.7
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00024018,8.3
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00024018,12.3
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00024018,15.0
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00024018,16.3
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00024018,17.9
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00024018,11.9
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00024018,12.1
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00024018,11.4
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00024018,17.4
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00024018,12.1
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00024018,19.5
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00024018,14.5
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00024018,9.4
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00024018,12.8
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00024018,11.9
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00024018,14.3
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00024018,9.2
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00024018,11.9
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00024018,15.4
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00024018,20.6
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00024018,14.1
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00024018,12.8
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00024018,16.6
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00024018,13.4
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00024018,15.7
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00024018,17.7
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00024018,14.8
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00024018,19.2
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00024018,17.7
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00024018,17.7
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00024018,15.0
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00024018,17.4
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00024018,15.7
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00024018,7.4
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00024018,16.6
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00024018,17.4
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00024018,26.4
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00024018,14.8
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00024018,6.9
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00024018,20.8
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00024018,25.9
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00024018,17.2
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00024018,10.5
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00024018,11.2
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00024018,14.1
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00024018,18.1
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00024018,10.3
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00024018,11.2
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00024018,18.8
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00024018,18.1
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00024018,19.5
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00024018,15.7
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00024018,23.3
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00024018,12.5
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00024018,10.3
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00024018,9.2
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00024018,13.2
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00024018,12.1
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00024018,11.4
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00024018,9.2
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00024018,10.7
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00024018,8.5
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00024018,10.3
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00024018,16.1
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00024018,18.6
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00024018,20.4
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00024018,15.9
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00024018,9.2
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00024018,8.1
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00024018,12.1
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00024018,10.5
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00024018,17.0
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00024018,11.0
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00024018,22.8
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00024018,16.1
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00024018,14.5
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00024018,11.2
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00024018,15.9
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00024018,10.1
88,",,W,",AWND,2016-03-29T00:00:00,GHCND:USW00024018,12.5
89,",,W,",AWND,2016-03-30T00:00:00,GHCND:USW00024018,17.7
90,",,W,",AWND,2016-03-31T00:00:00,GHCND:USW00024018,17.0
91,",,W,",AWND,2016-04-01T00:00:00,GHCND:USW00024018,16.1
92,",,W,",AWND,2016-04-02T00:00:00,GHCND:USW00024018,15.2
93,",,W,",AWND,2016-04-03T00:00:00,GHCND:USW00024018,15.0
94,",,W,",AWND,2016-04-04T00:00:00,GHCND:USW00024018,11.2
95,",,W,",AWND,2016-04-05T00:00:00,GHCND:USW00024018,19.2
96,",,W,",AWND,2016-04-06T00:00:00,GHCND:USW00024018,20.6
97,",,W,",AWND,2016-04-07T00:00:00,GHCND:USW00024018,9.8
98,",,W,",AWND,2016-04-08T00:00:00,GHCND:USW00024018,9.2
99,",,W,",AWND,2016-04-09T00:00:00,GHCND:USW00024018,16.6
100,",,W,",AWND,2016-04-10T00:00:00,GHCND:USW00024018,12.1
101,",,W,",AWND,2016-04-11T00:00:00,GHCND:USW00024018,9.6
102,",,W,",AWND,2016-04-12T00:00:00,GHCND:USW00024018,11.4
103,",,W,",AWND,2016-04-13T00:00:00,GHCND:USW00024018,9.8
104,",,W,",AWND,2016-04-14T00:00:00,GHCND:USW00024018,12.3
105,",,W,",AWND,2016-04-15T00:00:00,GHCND:USW00024018,16.6
106,",,W,",AWND,2016-04-16T00:00:00,GHCND:USW00024018,25.5
107,",,W,",AWND,2016-04-17T00:00:00,GHCND:USW00024018,16.6
108,",,W,",AWND,2016-04-18T00:00:00,GHCND:USW00024018,8.5
109,",,W,",AWND,2016-04-19T00:00:00,GHCND:USW00024018,6.3
110,",,W,",AWND,2016-04-20T00:00:00,GHCND:USW00024018,10.5
111,",,W,",AWND,2016-04-21T00:00:00,GHCND:USW00024018,7.6
112,",,W,",AWND,2016-04-22T00:00:00,GHCND:USW00024018,9.2
113,",,W,",AWND,2016-04-23T00:00:00,GHCND:USW00024018,10.7
114,",,W,",AWND,2016-04-24T00:00:00,GHCND:USW00024018,16.8
115,",,W,",AWND,2016-04-25T00:00:00,GHCND:USW00024018,12.8
116,",,W,",AWND,2016-04-26T00:00:00,GHCND:USW00024018,13.9
117,",,W,",AWND,2016-04-27T00:00:00,GHCND:USW00024018,16.8
118,",,W,",AWND,2016-04-28T00:00:00,GHCND:USW00024018,6.5
119,",,W,",AWND,2016-04-29T00:00:00,GHCND:USW00024018,8.5
120,",,W,",AWND,2016-04-30T00:00:00,GHCND:USW00024018,15.7
