,attributes,datatype,date,station,value
0,"H,,S,",TAVG,2016-01-01T00:00:00,GHCND:USW00024018,14.0
1,"H,,S,",TAVG,2016-01-02T00:00:00,GHCND:USW00024018,25.0
2,"H,,S,",TAVG,2016-01-03T00:00:00,GHCND:USW00024018,25.0
3,"H,,S,",TAVG,2016-01-04T00:00:00,GHCND:USW00024018,30.0
4,"H,,S,",TAVG,2016-01-05T00:00:00,GHCND:USW00024018,33.0
5,"H,,S,",TAVG,2016-01-06T00:00:00,GHCND:USW00024018,33.0
6,"H,,S,",TAVG,2016-01-07T00:00:00,GHCND:USW00024018,31.0
7,"H,,S,",TAVG,2016-01-08T00:00:00,GHCND:USW00024018,23.0
8,"H,,S,",TAVG,2016-01-09T00:00:00,GHCND:USW00024018,17.0
9,"H,,S,",TAVG,2016-01-10T00:00:00,GHCND:USW00024018,13.0
10,"H,,S,",TAVG,2016-01-11T00:00:00,GHCND:USW00024018,24.0
11,"H,,S,",TAVG,2016-01-12T00:00:00,GHCND:USW00024018,31.0
12,"H,,S,",TAVG,2016-01-13T00:00:00,GHCND:USW00024018,35.0
13,"H,,S,",TAVG,2016-01-14T00:00:00,GHCND:USW00024018,35.0
14,"H,,S,",TAVG,2016-01-15T00:00:00,GHCND:USW00024018,25.0
15,"H,,S,",TAVG,2016-01-16T00:00:00,GHCND:USW00024018,21.0
16,"H,,S,",TAVG,2016-01-17T00:00:00,GHCND:USW00024018,27.0
17,"H,,S,",TAVG,2016-01-18T00:00:00,GHCND:USW00024018,35.0
18,"H,,S,",TAVG,2016-01-19T00:00:00,GHCND:USW00024018,34.0
19,"H,,S,",TAVG,2016-01-20T00:00:00,GHCND:USW00024018,32.0
20,"H,,S,",TAVG,2016-01-21T00:00:00,GHCND:USW00024018,29.0
21,"H,,S,",TAVG,2016-01-22T00:00:00,GHCND:USW00024018,34.0
22,"H,,S,",TAVG,2016-01-23T00:00:00,GHCND:USW00024018,41.0
23,"H,,S,",TAVG,2016-01-24T00:00:00,GHCND:USW00024018,34.0
24,"H,,S,",TAVG,2016-01-25T00:00:00,GHCND:USW00024018,28.0
25,"H,,S,",TAVG,2016-01-26T00:00:00,GHCND:USW00024018,24.0
26,"H,,S,",TAVG,2016-01-27T00:00:00,GHCND:USW00024018,34.0
27,"H,,S,",TAVG,2016-01-28T00:00:00,GHCND:USW00024018,42.0
28,"H,,S,",TAVG,2016-01-29T00:00:00,GHCND:USW00024018,43.0
29,"H,,S,",TAVG,2016-01-30T00:00:00,GHCND:USW00024018,42.0
30,"H,,S,",TAVG,2016-01-31T00:00:00,GHCND:USW00024018,26.0
31,"H,,S,",TAVG,2016-02-01T00:00:00,GHCND:USW00024018,23.0
32,"H,,S,",TAVG,2016-02-02T00:00:00,GHCND:USW00024018,19.0
33,"H,,S,",TAVG,2016-02-03T00:00:00,GHCND:USW00024018,14.0
34,"H,,S,",TAVG,2016-02-04T00:00:00,GHCND:USW00024018,20.0
35,"H,,S,",TAVG,2016-02-05T00:00:00,GHCND:USW00024018,25.0
36,"H,,S,",TAVG,2016-02-06T00:00:00,GHCND:USW00024018,30.0
37,"H,,S,",TAVG,2016-02-07T00:00:00,GHCND:USW00024018,33.0
38,"H,,S,",TAVG,2016-02-08T00:00:00,GHCND:USW00024018,30.0
39,"H,,S,",TAVG,2016-02-09T00:00:00,GHCND:USW00024018,39.0
40,"H,,S,",TAVG,2016-02-10T00:00:00,GHCND:USW00024018,45.0
41,"H,,S,",TAVG,2016-02-11T00:00:00,GHCND:USW00024018,44.0
42,"H,,S,",TAVG,2016-02-12T00:00:00,GHCND:USW00024018,40.0
43,"H,,S,",TAVG,2016-02-13T00:00:00,GHCND:USW00024018,42.0
44,"H,,S,",TAVG,2016-02-14T00:00:00,GHCND:USW00024018,40.0
45,"H,,S,",TAVG,2016-02-15T00:00:00,GHCND:USW00024018,39.0
46,"H,,S,",TAVG,2016-02-16T00:00:00,GHCND:USW00024018,39.0
47,"H,,S,",TAVG,2016-02-17T00:00:00,GHCND:USW00024018,42.0
48,"H,,S,",TAVG,2016-02-18T00:00:00,GHCND:USW00024018,49.0
49,"H,,S,",TAVG,2016-02-19T00:00:00,GHCND:USW00024018,42.0
50,"H,,S,",TAVG,2016-02-20T00:00:00,GHCND:USW00024018,46.0
51,"H,,S,",TAVG,2016-02-21T00:00:00,GHCND:USW00024018,34.0
52,"H,,S,",TAVG,2016-02-22T00:00:00,GHCND:USW00024018,34.0
53,"H,,S,",TAVG,2016-02-23T00:00:00,GHCND:USW00024018,30.0
