,attributes,datatype,date,station,value
0,",,7,",WSFG,2016-01-12T00:00:00,GHCND:USC00251361,31.1
1,",,7,",WSFG,2016-01-13T00:00:00,GHCND:USC00251361,31.1
2,",,7,",WSFG,2016-01-14T00:00:00,GHCND:USC00251361,31.1
3,",,7,",WSFG,2016-01-15T00:00:00,GHCND:USC00251361,42.1
4,",,7,",WSFG,2016-01-19T00:00:00,GHCND:USC00251361,38.0
5,",,7,",WSFG,2016-01-21T00:00:00,GHCND:USC00251361,38.9
6,",,7,",WSFG,2016-01-25T00:00:00,GHCND:USC00251361,38.0
7,",,7,",WSFG,2016-01-26T00:00:00,GHCND:USC00251361,33.1
8,",,7,",WSFG,2016-01-29T00:00:00,GHCND:USC00251361,36.9
9,",,7,",WSFG,2016-01-30T00:00:00,GHCND:USC00251361,38.9
10,",,7,",WSFG,2016-01-31T00:00:00,GHCND:USC00251361,32.0
11,",,7,",WSFG,2016-02-02T00:00:00,GHCND:USC00251361,36.9
12,",,7,",WSFG,2016-02-03T00:00:00,GHCND:USC00251361,30.0
13,",,7,",WSFG,2016-02-06T00:00:00,GHCND:USC00251361,31.1
14,",,7,",WSFG,2016-02-07T00:00:00,GHCND:USC00251361,34.9
15,",,7,",WSFG,2016-02-08T00:00:00,GHCND:USC00251361,44.1
16,",,7,",WSFG,2016-02-09T00:00:00,GHCND:USC00251361,32.0
17,",,7,",WSFG,2016-02-12T00:00:00,GHCND:USC00251361,34.0
18,",,7,",WSFG,2016-02-14T00:00:00,GHCND:USC00251361,49.0
19,",,7,",WSFG,2016-02-15T00:00:00,GHCND:USC00251361,40.9
20,",,7,",WSFG,2016-02-16T00:00:00,GHCND:USC00251361,51.9
21,",,7,",WSFG,2016-02-17T00:00:00,GHCND:USC00251361,38.0
22,",,7,",WSFG,2016-02-19T00:00:00,GHCND:USC00251361,72.0
23,",,7,",WSFG,2016-02-20T00:00:00,GHCND:USC00251361,47.0
24,",,7,",WSFG,2016-02-21T00:00:00,GHCND:USC00251361,44.1
25,",,7,",WSFG,2016-02-24T00:00:00,GHCND:USC00251361,36.9
26,",,7,",WSFG,2016-02-25T00:00:00,GHCND:USC00251361,44.1
27,",,7,",WSFG,2016-02-28T00:00:00,GHCND:USC00251361,47.0
28,",,7,",WSFG,2016-02-29T00:00:00,GHCND:USC00251361,34.9
29,",,7,",WSFG,2016-03-01T00:00:00,GHCND:USC00251361,63.1
30,",,7,",WSFG,2016-03-02T00:00:00,GHCND:USC00251361,40.0
31,",,7,",WSFG,2016-03-03T00:00:00,GHCND:USC00251361,55.9
32,",,7,",WSFG,2016-03-05T00:00:00,GHCND:USC00251361,33.1
33,",,7,",WSFG,2016-03-06T00:00:00,GHCND:USC00251361,38.9
34,",,7,",WSFG,2016-03-08T00:00:00,GHCND:USC00251361,49.0
35,",,7,",WSFG,2016-03-13T00:00:00,GHCND:USC00251361,32.0
36,",,7,",WSFG,2016-03-14T00:00:00,GHCND:USC00251361,40.9
37,",,7,",WSFG,2016-03-15T00:00:00,GHCND:USC00251361,51.0
38,",,7,",WSFG,2016-03-16T00:00:00,GHCND:USC00251361,45.0
39,",,7,",WSFG,2016-03-17T00:00:00,GHCND:USC00251361,40.0
40,",,7,",WSFG,2016-03-20T00:00:00,GHCND:USC00251361,38.9
41,",,7,",WSFG,2016-03-22T00:00:00,GHCND:USC00251361,40.0
42,",,7,",WSFG,2016-03-23T00:00:00,GHCND:USC00251361,53.9
43,",,7,",WSFG,2016-03-24T00:00:00,GHCND:USC00251361,57.9
44,",,7,",WSFG,2016-03-26T00:00:00,GHCND:USC00251361,31.1
45,",,7,",WSFG,2016-03-28T00:00:00,GHCND:USC00251361,33.1
46,",,7,",WSFG,2016-03-30T00:00:00,GHCND:USC00251361,38.0
