,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00094055,260
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00094055,270
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00094055,140
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00094055,140
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00094055,130
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00094055,110
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00094055,320
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00094055,310
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00094055,320
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00094055,280
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00094055,290
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00094055,290
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00094055,250
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00094055,310
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00094055,40
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00094055,320
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00094055,270
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00094055,140
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00094055,300
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00094055,320
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00094055,150
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00094055,150
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00094055,290
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00094055,320
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00094055,310
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00094055,280
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00094055,300
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00094055,240
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00094055,300
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00094055,290
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00094055,290
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00094055,340
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00094055,60
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00094055,310
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00094055,240
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00094055,330
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00094055,290
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00094055,320
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00094055,300
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00094055,280
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00094055,350
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00094055,330
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00094055,140
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00094055,150
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00094055,280
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00094055,320
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00094055,290
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00094055,140
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00094055,290
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00094055,300
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00094055,290
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00094055,300
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00094055,310
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00094055,280
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00094055,310
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00094055,220
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00094055,270
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00094055,310
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00094055,250
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00094055,130
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00094055,290
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00094055,310
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00094055,170
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00094055,320
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00094055,150
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00094055,120
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00094055,300
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00094055,310
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00094055,300
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00094055,220
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00094055,180
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00094055,140
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00094055,310
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00094055,290
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00094055,290
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00094055,290
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00094055,300
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00094055,320
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00094055,270
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00094055,160
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00094055,310
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00094055,20
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00094055,50
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00094055,270
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00094055,50
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00094055,240
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00094055,280
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00094055,130
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00094055,70
89,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00094055,360
90,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00094055,340
91,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00094055,290
92,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00094055,290
93,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00094055,330
94,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00094055,150
95,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00094055,280
96,",,W,",WDF5,2016-04-07T00:00:00,GHCND:USW00094055,320
97,",,W,",WDF5,2016-04-08T00:00:00,GHCND:USW00094055,140
98,",,W,",WDF5,2016-04-09T00:00:00,GHCND:USW00094055,320
99,",,W,",WDF5,2016-04-10T00:00:00,GHCND:USW00094055,330
100,",,W,",WDF5,2016-04-11T00:00:00,GHCND:USW00094055,140
101,",,W,",WDF5,2016-04-12T00:00:00,GHCND:USW00094055,330
102,",,W,",WDF5,2016-04-13T00:00:00,GHCND:USW00094055,310
103,",,W,",WDF5,2016-04-14T00:00:00,GHCND:USW00094055,120
104,",,W,",WDF5,2016-04-15T00:00:00,GHCND:USW00094055,290
105,",,W,",WDF5,2016-04-16T00:00:00,GHCND:USW00094055,330
106,",,W,",WDF5,2016-04-17T00:00:00,GHCND:USW00094055,20
107,",,W,",WDF5,2016-04-18T00:00:00,GHCND:USW00094055,350
108,",,W,",WDF5,2016-04-19T00:00:00,GHCND:USW00094055,50
109,",,W,",WDF5,2016-04-20T00:00:00,GHCND:USW00094055,280
110,",,W,",WDF5,2016-04-21T00:00:00,GHCND:USW00094055,130
111,",,W,",WDF5,2016-04-22T00:00:00,GHCND:USW00094055,150
112,",,W,",WDF5,2016-04-23T00:00:00,GHCND:USW00094055,60
113,",,W,",WDF5,2016-04-24T00:00:00,GHCND:USW00094055,70
114,",,W,",WDF5,2016-04-25T00:00:00,GHCND:USW00094055,340
115,",,W,",WDF5,2016-04-26T00:00:00,GHCND:USW00094055,50
116,",,W,",WDF5,2016-04-27T00:00:00,GHCND:USW00094055,60
117,",,W,",WDF5,2016-04-28T00:00:00,GHCND:USW00094055,120
118,",,W,",WDF5,2016-04-29T00:00:00,GHCND:USW00094055,140
119,",,W,",WDF5,2016-04-30T00:00:00,GHCND:USW00094055,60
120,",,W,",WDF5,2016-05-01T00:00:00,GHCND:USW00094055,310
121,",,W,",WDF5,2016-05-02T00:00:00,GHCND:USW00094055,310
122,",,W,",WDF5,2016-05-03T00:00:00,GHCND:USW00094055,310
123,",,W,",WDF5,2016-05-04T00:00:00,GHCND:USW00094055,180
124,",,W,",WDF5,2016-05-05T00:00:00,GHCND:USW00094055,160
125,",,W,",WDF5,2016-05-06T00:00:00,GHCND:USW00094055,350
126,",,W,",WDF5,2016-05-07T00:00:00,GHCND:USW00094055,60
127,",,W,",WDF5,2016-05-08T00:00:00,GHCND:USW00094055,140
128,",,W,",WDF5,2016-05-09T00:00:00,GHCND:USW00094055,90
129,",,W,",WDF5,2016-05-10T00:00:00,GHCND:USW00094055,240
130,",,W,",WDF5,2016-05-11T00:00:00,GHCND:USW00094055,290
131,",,W,",WDF5,2016-05-12T00:00:00,GHCND:USW00094055,20
132,",,W,",WDF5,2016-05-13T00:00:00,GHCND:USW00094055,330
133,",,W,",WDF5,2016-05-14T00:00:00,GHCND:USW00094055,310
134,",,W,",WDF5,2016-05-15T00:00:00,GHCND:USW00094055,140
135,",,W,",WDF5,2016-05-16T00:00:00,GHCND:USW00094055,70
136,",,W,",WDF5,2016-05-17T00:00:00,GHCND:USW00094055,170
137,",,W,",WDF5,2016-05-18T00:00:00,GHCND:USW00094055,180
138,",,W,",WDF5,2016-05-19T00:00:00,GHCND:USW00094055,150
139,",,W,",WDF5,2016-05-20T00:00:00,GHCND:USW00094055,120
140,",,W,",WDF5,2016-05-21T00:00:00,GHCND:USW00094055,150
141,",,W,",WDF5,2016-05-22T00:00:00,GHCND:USW00094055,310
142,",,W,",WDF5,2016-05-23T00:00:00,GHCND:USW00094055,280
143,",,W,",WDF5,2016-05-24T00:00:00,GHCND:USW00094055,110
144,",,W,",WDF5,2016-05-25T00:00:00,GHCND:USW00094055,340
145,",,W,",WDF5,2016-05-26T00:00:00,GHCND:USW00094055,290
146,",,W,",WDF5,2016-05-27T00:00:00,GHCND:USW00094055,120
147,",,W,",WDF5,2016-05-28T00:00:00,GHCND:USW00094055,300
148,",,W,",WDF5,2016-05-29T00:00:00,GHCND:USW00094055,260
149,",,W,",WDF5,2016-05-30T00:00:00,GHCND:USW00094055,290
150,",,W,",WDF5,2016-05-31T00:00:00,GHCND:USW00094055,310
151,",,W,",WDF5,2016-06-01T00:00:00,GHCND:USW00094055,310
152,",,W,",WDF5,2016-06-02T00:00:00,GHCND:USW00094055,310
153,",,W,",WDF5,2016-06-03T00:00:00,GHCND:USW00094055,330
154,",,W,",WDF5,2016-06-04T00:00:00,GHCND:USW00094055,330
155,",,W,",WDF5,2016-06-05T00:00:00,GHCND:USW00094055,310
156,",,W,",WDF5,2016-06-06T00:00:00,GHCND:USW00094055,360
157,",,W,",WDF5,2016-06-07T00:00:00,GHCND:USW00094055,140
158,",,W,",WDF5,2016-06-08T00:00:00,GHCND:USW00094055,140
159,",,W,",WDF5,2016-06-09T00:00:00,GHCND:USW00094055,250
160,",,W,",WDF5,2016-06-10T00:00:00,GHCND:USW00094055,140
161,",,W,",WDF5,2016-06-11T00:00:00,GHCND:USW00094055,120
162,",,W,",WDF5,2016-06-12T00:00:00,GHCND:USW00094055,320
163,",,W,",WDF5,2016-06-13T00:00:00,GHCND:USW00094055,150
164,",,W,",WDF5,2016-06-14T00:00:00,GHCND:USW00094055,350
165,",,W,",WDF5,2016-06-15T00:00:00,GHCND:USW00094055,130
166,",,W,",WDF5,2016-06-16T00:00:00,GHCND:USW00094055,290
167,",,W,",WDF5,2016-06-17T00:00:00,GHCND:USW00094055,100
168,",,W,",WDF5,2016-06-18T00:00:00,GHCND:USW00094055,130
169,",,W,",WDF5,2016-06-19T00:00:00,GHCND:USW00094055,310
170,",,W,",WDF5,2016-06-20T00:00:00,GHCND:USW00094055,200
171,",,W,",WDF5,2016-06-21T00:00:00,GHCND:USW00094055,320
172,",,W,",WDF5,2016-06-22T00:00:00,GHCND:USW00094055,300
173,",,W,",WDF5,2016-06-23T00:00:00,GHCND:USW00094055,130
174,",,W,",WDF5,2016-06-24T00:00:00,GHCND:USW00094055,340
175,",,W,",WDF5,2016-06-25T00:00:00,GHCND:USW00094055,290
176,",,W,",WDF5,2016-06-26T00:00:00,GHCND:USW00094055,280
177,",,W,",WDF5,2016-06-27T00:00:00,GHCND:USW00094055,350
178,",,W,",WDF5,2016-06-28T00:00:00,GHCND:USW00094055,60
179,",,W,",WDF5,2016-06-29T00:00:00,GHCND:USW00094055,30
180,",,W,",WDF5,2016-06-30T00:00:00,GHCND:USW00094055,120
181,",,W,",WDF5,2016-07-01T00:00:00,GHCND:USW00094055,150
182,",,W,",WDF5,2016-07-02T00:00:00,GHCND:USW00094055,140
183,",,W,",WDF5,2016-07-03T00:00:00,GHCND:USW00094055,270
184,",,W,",WDF5,2016-07-04T00:00:00,GHCND:USW00094055,200
185,",,W,",WDF5,2016-07-05T00:00:00,GHCND:USW00094055,50
186,",,W,",WDF5,2016-07-06T00:00:00,GHCND:USW00094055,320
187,",,W,",WDF5,2016-07-07T00:00:00,GHCND:USW00094055,290
188,",,W,",WDF5,2016-07-08T00:00:00,GHCND:USW00094055,150
189,",,W,",WDF5,2016-07-09T00:00:00,GHCND:USW00094055,280
190,",,W,",WDF5,2016-07-10T00:00:00,GHCND:USW00094055,280
191,",,W,",WDF5,2016-07-11T00:00:00,GHCND:USW00094055,270
192,",,W,",WDF5,2016-07-12T00:00:00,GHCND:USW00094055,270
193,",,W,",WDF5,2016-07-13T00:00:00,GHCND:USW00094055,290
194,",,W,",WDF5,2016-07-14T00:00:00,GHCND:USW00094055,350
195,",,W,",WDF5,2016-07-15T00:00:00,GHCND:USW00094055,80
196,",,W,",WDF5,2016-07-16T00:00:00,GHCND:USW00094055,260
197,",,W,",WDF5,2016-07-17T00:00:00,GHCND:USW00094055,340
198,",,W,",WDF5,2016-07-18T00:00:00,GHCND:USW00094055,160
199,",,W,",WDF5,2016-07-19T00:00:00,GHCND:USW00094055,130
200,",,W,",WDF5,2016-07-20T00:00:00,GHCND:USW00094055,310
201,",,W,",WDF5,2016-07-21T00:00:00,GHCND:USW00094055,50
202,",,W,",WDF5,2016-07-22T00:00:00,GHCND:USW00094055,160
203,",,W,",WDF5,2016-07-23T00:00:00,GHCND:USW00094055,140
204,",,W,",WDF5,2016-07-24T00:00:00,GHCND:USW00094055,110
205,",,W,",WDF5,2016-07-25T00:00:00,GHCND:USW00094055,80
206,",,W,",WDF5,2016-07-26T00:00:00,GHCND:USW00094055,330
207,",,W,",WDF5,2016-07-27T00:00:00,GHCND:USW00094055,290
208,",,W,",WDF5,2016-07-28T00:00:00,GHCND:USW00094055,360
209,",,W,",WDF5,2016-07-29T00:00:00,GHCND:USW00094055,140
210,",,W,",WDF5,2016-07-30T00:00:00,GHCND:USW00094055,120
211,",,W,",WDF5,2016-07-31T00:00:00,GHCND:USW00094055,140
212,",,W,",WDF5,2016-08-01T00:00:00,GHCND:USW00094055,270
213,",,W,",WDF5,2016-08-02T00:00:00,GHCND:USW00094055,130
214,",,W,",WDF5,2016-08-03T00:00:00,GHCND:USW00094055,320
215,",,W,",WDF5,2016-08-04T00:00:00,GHCND:USW00094055,320
216,",,W,",WDF5,2016-08-05T00:00:00,GHCND:USW00094055,80
217,",,W,",WDF5,2016-08-06T00:00:00,GHCND:USW00094055,140
218,",,W,",WDF5,2016-08-07T00:00:00,GHCND:USW00094055,240
219,",,W,",WDF5,2016-08-08T00:00:00,GHCND:USW00094055,170
220,",,W,",WDF5,2016-08-09T00:00:00,GHCND:USW00094055,130
221,",,W,",WDF5,2016-08-10T00:00:00,GHCND:USW00094055,120
222,",,W,",WDF5,2016-08-11T00:00:00,GHCND:USW00094055,270
223,",,W,",WDF5,2016-08-12T00:00:00,GHCND:USW00094055,340
224,",,W,",WDF5,2016-08-13T00:00:00,GHCND:USW00094055,320
225,",,W,",WDF5,2016-08-14T00:00:00,GHCND:USW00094055,320
226,",,W,",WDF5,2016-08-15T00:00:00,GHCND:USW00094055,350
227,",,W,",WDF5,2016-08-16T00:00:00,GHCND:USW00094055,40
