,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-01-01T00:00:00,GHCND:USC00044712,85.7
1,",,7,",WDMV,2016-01-02T00:00:00,GHCND:USC00044712,57.8
2,",,7,",WDMV,2016-01-03T00:00:00,GHCND:USC00044712,31.7
3,",,7,",WDMV,2016-01-04T00:00:00,GHCND:USC00044712,42.3
4,",,7,",WDMV,2016-01-05T00:00:00,GHCND:USC00044712,18.0
5,",,7,",WDMV,2016-01-06T00:00:00,GHCND:USC00044712,29.2
6,",,7,",WDMV,2016-01-07T00:00:00,GHCND:USC00044712,24.9
7,",,7,",WDMV,2016-01-08T00:00:00,GHCND:USC00044712,26.7
8,",,7,",WDMV,2016-01-09T00:00:00,GHCND:USC00044712,13.0
9,",,7,",WDMV,2016-01-10T00:00:00,GHCND:USC00044712,21.1
10,",,7,",WDMV,2016-01-11T00:00:00,GHCND:USC00044712,23.0
11,",,7,",WDMV,2016-01-12T00:00:00,GHCND:USC00044712,19.3
12,",,7,",WDMV,2016-01-13T00:00:00,GHCND:USC00044712,37.3
13,",,7,",WDMV,2016-01-14T00:00:00,GHCND:USC00044712,55.3
14,",,7,",WDMV,2016-01-15T00:00:00,GHCND:USC00044712,46.0
15,",,7,",WDMV,2016-01-16T00:00:00,GHCND:USC00044712,26.1
16,",,7,",WDMV,2016-01-17T00:00:00,GHCND:USC00044712,21.1
17,",,7,",WDMV,2016-01-18T00:00:00,GHCND:USC00044712,39.8
18,",,7,",WDMV,2016-01-19T00:00:00,GHCND:USC00044712,26.7
19,",,7,",WDMV,2016-01-20T00:00:00,GHCND:USC00044712,41.0
20,",,7,",WDMV,2016-01-21T00:00:00,GHCND:USC00044712,26.1
21,",,7,",WDMV,2016-01-22T00:00:00,GHCND:USC00044712,26.7
22,",,7,",WDMV,2016-01-23T00:00:00,GHCND:USC00044712,49.1
23,",,7,",WDMV,2016-01-24T00:00:00,GHCND:USC00044712,62.1
24,",,7,",WDMV,2016-01-25T00:00:00,GHCND:USC00044712,24.9
25,",,7,",WDMV,2016-01-26T00:00:00,GHCND:USC00044712,47.8
26,",,7,",WDMV,2016-01-27T00:00:00,GHCND:USC00044712,29.8
27,",,7,",WDMV,2016-01-28T00:00:00,GHCND:USC00044712,32.9
28,",,7,",WDMV,2016-01-29T00:00:00,GHCND:USC00044712,28.0
29,",,7,",WDMV,2016-01-30T00:00:00,GHCND:USC00044712,57.8
30,",,7,",WDMV,2016-01-31T00:00:00,GHCND:USC00044712,42.9
31,",,7,",WDMV,2016-02-01T00:00:00,GHCND:USC00044712,195.1
32,",,7,",WDMV,2016-02-02T00:00:00,GHCND:USC00044712,80.8
33,",,7,",WDMV,2016-02-03T00:00:00,GHCND:USC00044712,41.0
34,",,7,",WDMV,2016-02-04T00:00:00,GHCND:USC00044712,18.0
35,",,7,",WDMV,2016-02-05T00:00:00,GHCND:USC00044712,60.9
36,",,7,",WDMV,2016-02-06T00:00:00,GHCND:USC00044712,39.8
37,",,7,",WDMV,2016-02-07T00:00:00,GHCND:USC00044712,39.8
38,",,7,",WDMV,2016-02-08T00:00:00,GHCND:USC00044712,26.7
39,",,7,",WDMV,2016-02-09T00:00:00,GHCND:USC00044712,42.9
40,",,7,",WDMV,2016-02-10T00:00:00,GHCND:USC00044712,41.0
41,",,7,",WDMV,2016-02-11T00:00:00,GHCND:USC00044712,36.0
42,",,7,",WDMV,2016-02-12T00:00:00,GHCND:USC00044712,19.9
43,",,7,",WDMV,2016-02-13T00:00:00,GHCND:USC00044712,29.8
44,",,7,",WDMV,2016-02-14T00:00:00,GHCND:USC00044712,41.0
45,",,7,",WDMV,2016-02-15T00:00:00,GHCND:USC00044712,137.9
46,",,7,",WDMV,2016-02-16T00:00:00,GHCND:USC00044712,44.7
47,",,7,",WDMV,2016-02-17T00:00:00,GHCND:USC00044712,26.7
48,",,7,",WDMV,2016-02-18T00:00:00,GHCND:USC00044712,70.8
49,",,7,",WDMV,2016-02-19T00:00:00,GHCND:USC00044712,39.8
50,",,7,",WDMV,2016-02-20T00:00:00,GHCND:USC00044712,42.3
51,",,7,",WDMV,2016-02-21T00:00:00,GHCND:USC00044712,47.2
52,",,7,",WDMV,2016-02-22T00:00:00,GHCND:USC00044712,39.8
53,",,7,",WDMV,2016-02-23T00:00:00,GHCND:USC00044712,55.3
54,",,7,",WDMV,2016-02-24T00:00:00,GHCND:USC00044712,34.2
55,",,7,",WDMV,2016-02-25T00:00:00,GHCND:USC00044712,55.3
56,",,7,",WDMV,2016-02-26T00:00:00,GHCND:USC00044712,32.9
57,",,7,",WDMV,2016-02-27T00:00:00,GHCND:USC00044712,52.2
58,",,7,",WDMV,2016-02-28T00:00:00,GHCND:USC00044712,44.1
59,",,7,",WDMV,2016-02-29T00:00:00,GHCND:USC00044712,24.9
60,",,7,",WDMV,2016-03-01T00:00:00,GHCND:USC00044712,34.2
61,",,7,",WDMV,2016-03-02T00:00:00,GHCND:USC00044712,47.2
62,",,7,",WDMV,2016-03-03T00:00:00,GHCND:USC00044712,31.7
63,",,7,",WDMV,2016-03-04T00:00:00,GHCND:USC00044712,16.2
64,",,7,",WDMV,2016-03-05T00:00:00,GHCND:USC00044712,26.1
65,",,7,",WDMV,2016-03-06T00:00:00,GHCND:USC00044712,69.0
66,",,7,",WDMV,2016-03-07T00:00:00,GHCND:USC00044712,49.1
67,",,7,",WDMV,2016-03-08T00:00:00,GHCND:USC00044712,101.9
68,",,7,",WDMV,2016-03-09T00:00:00,GHCND:USC00044712,21.1
69,",,7,",WDMV,2016-03-10T00:00:00,GHCND:USC00044712,29.8
70,",,7,",WDMV,2016-03-11T00:00:00,GHCND:USC00044712,32.9
71,",,7,",WDMV,2016-03-12T00:00:00,GHCND:USC00044712,55.3
72,",,7,",WDMV,2016-03-13T00:00:00,GHCND:USC00044712,60.3
73,",,7,",WDMV,2016-03-14T00:00:00,GHCND:USC00044712,42.9
74,",,7,",WDMV,2016-03-15T00:00:00,GHCND:USC00044712,55.9
75,",,7,",WDMV,2016-03-16T00:00:00,GHCND:USC00044712,39.8
76,",,7,",WDMV,2016-03-17T00:00:00,GHCND:USC00044712,49.7
77,",,7,",WDMV,2016-03-18T00:00:00,GHCND:USC00044712,31.7
78,",,7,",WDMV,2016-03-19T00:00:00,GHCND:USC00044712,31.7
79,",,7,",WDMV,2016-03-20T00:00:00,GHCND:USC00044712,37.3
80,",,7,",WDMV,2016-03-21T00:00:00,GHCND:USC00044712,32.9
81,",,7,",WDMV,2016-03-22T00:00:00,GHCND:USC00044712,65.9
82,",,7,",WDMV,2016-03-23T00:00:00,GHCND:USC00044712,55.3
83,",,7,",WDMV,2016-03-24T00:00:00,GHCND:USC00044712,36.0
84,",,7,",WDMV,2016-03-25T00:00:00,GHCND:USC00044712,34.2
85,",,7,",WDMV,2016-03-26T00:00:00,GHCND:USC00044712,62.1
86,",,7,",WDMV,2016-03-27T00:00:00,GHCND:USC00044712,59.0
87,",,7,",WDMV,2016-03-28T00:00:00,GHCND:USC00044712,106.3
88,",,7,",WDMV,2016-03-29T00:00:00,GHCND:USC00044712,116.8
89,",,7,",WDMV,2016-03-30T00:00:00,GHCND:USC00044712,72.7
90,",,7,",WDMV,2016-03-31T00:00:00,GHCND:USC00044712,44.7
91,",,7,",WDMV,2016-04-01T00:00:00,GHCND:USC00044712,37.3
92,",,7,",WDMV,2016-04-02T00:00:00,GHCND:USC00044712,24.9
93,",,7,",WDMV,2016-04-03T00:00:00,GHCND:USC00044712,31.7
94,",,7,",WDMV,2016-04-04T00:00:00,GHCND:USC00044712,39.8
95,",,7,",WDMV,2016-04-05T00:00:00,GHCND:USC00044712,41.0
96,",,7,",WDMV,2016-04-06T00:00:00,GHCND:USC00044712,75.8
97,",,7,",WDMV,2016-04-07T00:00:00,GHCND:USC00044712,69.0
98,",,7,",WDMV,2016-04-08T00:00:00,GHCND:USC00044712,72.1
99,",,7,",WDMV,2016-04-09T00:00:00,GHCND:USC00044712,34.2
100,",,7,",WDMV,2016-04-10T00:00:00,GHCND:USC00044712,14.3
101,",,7,",WDMV,2016-04-11T00:00:00,GHCND:USC00044712,19.3
102,",,7,",WDMV,2016-04-12T00:00:00,GHCND:USC00044712,26.1
103,",,7,",WDMV,2016-04-13T00:00:00,GHCND:USC00044712,83.9
104,",,7,",WDMV,2016-04-14T00:00:00,GHCND:USC00044712,57.8
105,",,7,",WDMV,2016-04-15T00:00:00,GHCND:USC00044712,42.9
106,",,7,",WDMV,2016-04-16T00:00:00,GHCND:USC00044712,129.9
107,",,7,",WDMV,2016-04-17T00:00:00,GHCND:USC00044712,75.8
108,",,7,",WDMV,2016-04-18T00:00:00,GHCND:USC00044712,39.1
109,",,7,",WDMV,2016-04-19T00:00:00,GHCND:USC00044712,42.9
110,",,7,",WDMV,2016-04-20T00:00:00,GHCND:USC00044712,42.9
111,",,7,",WDMV,2016-04-21T00:00:00,GHCND:USC00044712,47.8
112,",,7,",WDMV,2016-04-22T00:00:00,GHCND:USC00044712,67.1
113,",,7,",WDMV,2016-04-23T00:00:00,GHCND:USC00044712,54.1
114,",,7,",WDMV,2016-04-24T00:00:00,GHCND:USC00044712,69.0
115,",,7,",WDMV,2016-04-25T00:00:00,GHCND:USC00044712,129.2
116,",,7,",WDMV,2016-04-26T00:00:00,GHCND:USC00044712,113.1
117,",,7,",WDMV,2016-04-27T00:00:00,GHCND:USC00044712,83.9
118,",,7,",WDMV,2016-04-28T00:00:00,GHCND:USC00044712,105.0
119,",,7,",WDMV,2016-04-29T00:00:00,GHCND:USC00044712,110.0
120,",,7,",WDMV,2016-04-30T00:00:00,GHCND:USC00044712,149.1
121,",,7,",WDMV,2016-05-01T00:00:00,GHCND:USC00044712,165.9
122,",,7,",WDMV,2016-05-02T00:00:00,GHCND:USC00044712,44.7
123,",,7,",WDMV,2016-05-03T00:00:00,GHCND:USC00044712,41.0
124,",,7,",WDMV,2016-05-04T00:00:00,GHCND:USC00044712,34.2
125,",,7,",WDMV,2016-05-05T00:00:00,GHCND:USC00044712,92.0
126,",,7,",WDMV,2016-05-06T00:00:00,GHCND:USC00044712,29.8
127,",,7,",WDMV,2016-05-07T00:00:00,GHCND:USC00044712,26.7
128,",,7,",WDMV,2016-05-08T00:00:00,GHCND:USC00044712,29.8
129,",,7,",WDMV,2016-05-09T00:00:00,GHCND:USC00044712,31.1
130,",,7,",WDMV,2016-05-10T00:00:00,GHCND:USC00044712,32.9
131,",,7,",WDMV,2016-05-11T00:00:00,GHCND:USC00044712,65.2
132,",,7,",WDMV,2016-05-12T00:00:00,GHCND:USC00044712,42.9
133,",,7,",WDMV,2016-05-13T00:00:00,GHCND:USC00044712,36.0
134,",,7,",WDMV,2016-05-14T00:00:00,GHCND:USC00044712,70.8
135,",,7,",WDMV,2016-05-15T00:00:00,GHCND:USC00044712,95.7
136,",,7,",WDMV,2016-05-16T00:00:00,GHCND:USC00044712,62.8
137,",,7,",WDMV,2016-05-17T00:00:00,GHCND:USC00044712,124.9
138,",,7,",WDMV,2016-05-18T00:00:00,GHCND:USC00044712,90.7
139,",,7,",WDMV,2016-05-19T00:00:00,GHCND:USC00044712,62.1
