,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00023161,40
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00023161,80
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00023161,60
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00023161,80
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00023161,240
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00023161,240
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00023161,260
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00023161,250
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00023161,250
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00023161,50
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00023161,270
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00023161,260
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00023161,250
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00023161,240
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00023161,240
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00023161,290
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00023161,50
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00023161,240
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00023161,270
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00023161,260
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00023161,40
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00023161,270
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00023161,250
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00023161,240
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00023161,320
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00023161,110
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00023161,270
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00023161,280
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00023161,240
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00023161,260
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00023161,240
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00023161,240
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00023161,280
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00023161,80
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00023161,70
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00023161,110
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00023161,270
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00023161,280
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00023161,110
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00023161,110
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00023161,260
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00023161,260
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00023161,280
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00023161,270
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00023161,10
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00023161,70
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00023161,260
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00023161,310
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00023161,290
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00023161,290
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00023161,270
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00023161,280
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00023161,290
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00023161,50
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00023161,50
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00023161,270
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00023161,260
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00023161,310
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00023161,300
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00023161,300
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00023161,250
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00023161,290
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00023161,220
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00023161,240
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00023161,240
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00023161,250
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00023161,240
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00023161,250
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00023161,300
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00023161,310
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00023161,230
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00023161,240
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00023161,260
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00023161,270
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00023161,300
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00023161,50
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00023161,300
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00023161,280
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00023161,240
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00023161,250
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00023161,260
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00023161,250
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00023161,20
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00023161,260
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00023161,250
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00023161,270
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00023161,230
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00023161,270
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00023161,270
89,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00023161,360
90,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00023161,270
91,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00023161,230
92,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00023161,50
93,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00023161,270
94,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00023161,280
95,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00023161,290
96,",,W,",WDF5,2016-04-06T00:00:00,GHCND:USW00023161,80
97,",,W,",WDF5,2016-04-07T00:00:00,GHCND:USW00023161,260
98,",,W,",WDF5,2016-04-08T00:00:00,GHCND:USW00023161,270
99,",,W,",WDF5,2016-04-09T00:00:00,GHCND:USW00023161,260
100,",,W,",WDF5,2016-04-10T00:00:00,GHCND:USW00023161,280
101,",,W,",WDF5,2016-04-11T00:00:00,GHCND:USW00023161,160
102,",,W,",WDF5,2016-04-12T00:00:00,GHCND:USW00023161,210
103,",,W,",WDF5,2016-04-13T00:00:00,GHCND:USW00023161,250
104,",,W,",WDF5,2016-04-14T00:00:00,GHCND:USW00023161,260
105,",,W,",WDF5,2016-04-15T00:00:00,GHCND:USW00023161,10
106,",,W,",WDF5,2016-04-16T00:00:00,GHCND:USW00023161,350
107,",,W,",WDF5,2016-04-17T00:00:00,GHCND:USW00023161,70
108,",,W,",WDF5,2016-04-18T00:00:00,GHCND:USW00023161,230
109,",,W,",WDF5,2016-04-19T00:00:00,GHCND:USW00023161,300
110,",,W,",WDF5,2016-04-20T00:00:00,GHCND:USW00023161,220
111,",,W,",WDF5,2016-04-21T00:00:00,GHCND:USW00023161,320
112,",,W,",WDF5,2016-04-22T00:00:00,GHCND:USW00023161,260
113,",,W,",WDF5,2016-04-23T00:00:00,GHCND:USW00023161,240
114,",,W,",WDF5,2016-04-24T00:00:00,GHCND:USW00023161,260
115,",,W,",WDF5,2016-04-25T00:00:00,GHCND:USW00023161,250
116,",,W,",WDF5,2016-04-26T00:00:00,GHCND:USW00023161,250
117,",,W,",WDF5,2016-04-27T00:00:00,GHCND:USW00023161,270
118,",,W,",WDF5,2016-04-28T00:00:00,GHCND:USW00023161,240
119,",,W,",WDF5,2016-04-29T00:00:00,GHCND:USW00023161,240
120,",,W,",WDF5,2016-04-30T00:00:00,GHCND:USW00023161,230
121,",,W,",WDF5,2016-05-01T00:00:00,GHCND:USW00023161,40
122,",,W,",WDF5,2016-05-02T00:00:00,GHCND:USW00023161,50
123,",,W,",WDF5,2016-05-03T00:00:00,GHCND:USW00023161,60
124,",,W,",WDF5,2016-05-04T00:00:00,GHCND:USW00023161,260
125,",,W,",WDF5,2016-05-05T00:00:00,GHCND:USW00023161,230
126,",,W,",WDF5,2016-05-06T00:00:00,GHCND:USW00023161,290
127,",,W,",WDF5,2016-05-07T00:00:00,GHCND:USW00023161,250
128,",,W,",WDF5,2016-05-08T00:00:00,GHCND:USW00023161,270
129,",,W,",WDF5,2016-05-09T00:00:00,GHCND:USW00023161,240
130,",,W,",WDF5,2016-05-10T00:00:00,GHCND:USW00023161,230
131,",,W,",WDF5,2016-05-11T00:00:00,GHCND:USW00023161,50
132,",,W,",WDF5,2016-05-12T00:00:00,GHCND:USW00023161,20
133,",,W,",WDF5,2016-05-13T00:00:00,GHCND:USW00023161,220
134,",,W,",WDF5,2016-05-14T00:00:00,GHCND:USW00023161,270
135,",,W,",WDF5,2016-05-15T00:00:00,GHCND:USW00023161,240
136,",,W,",WDF5,2016-05-16T00:00:00,GHCND:USW00023161,230
137,",,W,",WDF5,2016-05-17T00:00:00,GHCND:USW00023161,30
138,",,W,",WDF5,2016-05-18T00:00:00,GHCND:USW00023161,260
139,",,W,",WDF5,2016-05-19T00:00:00,GHCND:USW00023161,220
140,",,W,",WDF5,2016-05-20T00:00:00,GHCND:USW00023161,250
141,",,W,",WDF5,2016-05-21T00:00:00,GHCND:USW00023161,240
142,",,W,",WDF5,2016-05-22T00:00:00,GHCND:USW00023161,220
143,",,W,",WDF5,2016-05-23T00:00:00,GHCND:USW00023161,220
144,",,W,",WDF5,2016-05-24T00:00:00,GHCND:USW00023161,230
145,",,W,",WDF5,2016-05-25T00:00:00,GHCND:USW00023161,240
146,",,W,",WDF5,2016-05-26T00:00:00,GHCND:USW00023161,240
147,",,W,",WDF5,2016-05-27T00:00:00,GHCND:USW00023161,250
148,",,W,",WDF5,2016-05-28T00:00:00,GHCND:USW00023161,40
149,",,W,",WDF5,2016-05-29T00:00:00,GHCND:USW00023161,90
150,",,W,",WDF5,2016-05-30T00:00:00,GHCND:USW00023161,240
151,",,W,",WDF5,2016-05-31T00:00:00,GHCND:USW00023161,220
152,",,W,",WDF5,2016-06-01T00:00:00,GHCND:USW00023161,260
153,",,W,",WDF5,2016-06-02T00:00:00,GHCND:USW00023161,230
154,",,W,",WDF5,2016-06-03T00:00:00,GHCND:USW00023161,270
155,",,W,",WDF5,2016-06-04T00:00:00,GHCND:USW00023161,280
156,",,W,",WDF5,2016-06-05T00:00:00,GHCND:USW00023161,230
157,",,W,",WDF5,2016-06-06T00:00:00,GHCND:USW00023161,250
158,",,W,",WDF5,2016-06-07T00:00:00,GHCND:USW00023161,220
159,",,W,",WDF5,2016-06-08T00:00:00,GHCND:USW00023161,240
160,",,W,",WDF5,2016-06-09T00:00:00,GHCND:USW00023161,280
161,",,W,",WDF5,2016-06-10T00:00:00,GHCND:USW00023161,240
162,",,W,",WDF5,2016-06-11T00:00:00,GHCND:USW00023161,290
163,",,W,",WDF5,2016-06-12T00:00:00,GHCND:USW00023161,240
164,",,W,",WDF5,2016-06-13T00:00:00,GHCND:USW00023161,250
165,",,W,",WDF5,2016-06-14T00:00:00,GHCND:USW00023161,270
166,",,W,",WDF5,2016-06-15T00:00:00,GHCND:USW00023161,250
167,",,W,",WDF5,2016-06-16T00:00:00,GHCND:USW00023161,250
168,",,W,",WDF5,2016-06-17T00:00:00,GHCND:USW00023161,250
169,",,W,",WDF5,2016-06-18T00:00:00,GHCND:USW00023161,310
170,",,W,",WDF5,2016-06-19T00:00:00,GHCND:USW00023161,280
171,",,W,",WDF5,2016-06-20T00:00:00,GHCND:USW00023161,280
172,",,W,",WDF5,2016-06-21T00:00:00,GHCND:USW00023161,250
173,",,W,",WDF5,2016-06-22T00:00:00,GHCND:USW00023161,280
174,",,W,",WDF5,2016-06-23T00:00:00,GHCND:USW00023161,230
175,",,W,",WDF5,2016-06-24T00:00:00,GHCND:USW00023161,240
176,",,W,",WDF5,2016-06-25T00:00:00,GHCND:USW00023161,290
177,",,W,",WDF5,2016-06-26T00:00:00,GHCND:USW00023161,240
178,",,W,",WDF5,2016-06-27T00:00:00,GHCND:USW00023161,200
179,",,W,",WDF5,2016-06-28T00:00:00,GHCND:USW00023161,300
180,",,W,",WDF5,2016-06-29T00:00:00,GHCND:USW00023161,240
181,",,W,",WDF5,2016-06-30T00:00:00,GHCND:USW00023161,90
182,",,W,",WDF5,2016-07-01T00:00:00,GHCND:USW00023161,150
183,",,W,",WDF5,2016-07-02T00:00:00,GHCND:USW00023161,250
184,",,W,",WDF5,2016-07-03T00:00:00,GHCND:USW00023161,240
185,",,W,",WDF5,2016-07-04T00:00:00,GHCND:USW00023161,240
186,",,W,",WDF5,2016-07-05T00:00:00,GHCND:USW00023161,240
187,",,W,",WDF5,2016-07-06T00:00:00,GHCND:USW00023161,250
188,",,W,",WDF5,2016-07-07T00:00:00,GHCND:USW00023161,240
189,",,W,",WDF5,2016-07-08T00:00:00,GHCND:USW00023161,230
190,",,W,",WDF5,2016-07-09T00:00:00,GHCND:USW00023161,250
191,",,W,",WDF5,2016-07-10T00:00:00,GHCND:USW00023161,270
192,",,W,",WDF5,2016-07-11T00:00:00,GHCND:USW00023161,300
193,",,W,",WDF5,2016-07-12T00:00:00,GHCND:USW00023161,270
194,",,W,",WDF5,2016-07-13T00:00:00,GHCND:USW00023161,310
195,",,W,",WDF5,2016-07-14T00:00:00,GHCND:USW00023161,240
196,",,W,",WDF5,2016-07-15T00:00:00,GHCND:USW00023161,230
197,",,W,",WDF5,2016-07-16T00:00:00,GHCND:USW00023161,240
198,",,W,",WDF5,2016-07-17T00:00:00,GHCND:USW00023161,220
199,",,W,",WDF5,2016-07-18T00:00:00,GHCND:USW00023161,250
200,",,W,",WDF5,2016-07-19T00:00:00,GHCND:USW00023161,240
201,",,W,",WDF5,2016-07-20T00:00:00,GHCND:USW00023161,260
202,",,W,",WDF5,2016-07-21T00:00:00,GHCND:USW00023161,270
203,",,W,",WDF5,2016-07-22T00:00:00,GHCND:USW00023161,250
204,",,W,",WDF5,2016-07-23T00:00:00,GHCND:USW00023161,260
205,",,W,",WDF5,2016-07-24T00:00:00,GHCND:USW00023161,280
206,",,W,",WDF5,2016-07-25T00:00:00,GHCND:USW00023161,270
