,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00094949,260
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00094949,320
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00094949,340
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00094949,160
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00094949,170
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00094949,170
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00094949,20
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00094949,360
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00094949,360
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00094949,220
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00094949,300
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00094949,10
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00094949,270
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00094949,320
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00094949,340
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00094949,10
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00094949,360
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00094949,140
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00094949,150
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00094949,160
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00094949,350
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00094949,350
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00094949,210
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00094949,120
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00094949,330
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00094949,320
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00094949,290
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00094949,320
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00094949,340
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00094949,200
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00094949,350
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00094949,60
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00094949,20
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00094949,350
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00094949,280
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00094949,310
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00094949,210
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00094949,320
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00094949,330
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00094949,350
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00094949,40
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00094949,20
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00094949,360
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00094949,150
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00094949,310
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00094949,270
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00094949,330
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00094949,200
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00094949,200
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00094949,290
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00094949,350
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00094949,340
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00094949,130
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00094949,350
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00094949,350
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00094949,350
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00094949,340
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00094949,210
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00094949,330
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00094949,10
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00094949,360
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00094949,360
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00094949,360
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00094949,20
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00094949,200
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00094949,200
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00094949,170
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00094949,10
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00094949,280
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00094949,250
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00094949,200
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00094949,140
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00094949,160
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00094949,330
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00094949,310
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00094949,300
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00094949,30
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00094949,350
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00094949,320
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00094949,330
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00094949,210
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00094949,70
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00094949,360
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00094949,360
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00094949,200
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00094949,340
86,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00094949,320
87,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00094949,180
88,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00094949,150
89,",,W,",WDF2,2016-03-30T00:00:00,GHCND:USW00094949,340
