,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00014940,240
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00014940,300
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00014940,340
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00014940,170
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00014940,180
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00014940,150
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00014940,160
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00014940,320
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00014940,320
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00014940,330
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00014940,320
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00014940,310
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00014940,230
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00014940,270
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00014940,310
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00014940,310
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00014940,310
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00014940,300
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00014940,150
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00014940,160
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00014940,320
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00014940,20
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00014940,180
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00014940,220
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00014940,320
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00014940,310
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00014940,240
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00014940,310
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00014940,150
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00014940,170
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00014940,330
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00014940,40
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00014940,60
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00014940,330
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00014940,320
35,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00014940,210
36,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00014940,320
37,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00014940,320
38,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00014940,340
39,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00014940,320
40,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00014940,170
41,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00014940,330
42,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00014940,140
43,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00014940,140
44,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00014940,200
45,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00014940,320
46,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00014940,130
47,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00014940,150
48,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00014940,270
49,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00014940,300
50,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00014940,320
51,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00014940,200
52,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00014940,330
53,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00014940,320
54,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00014940,350
55,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00014940,320
56,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00014940,220
57,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00014940,320
58,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00014940,20
59,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00014940,360
60,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00014940,120
61,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00014940,10
62,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00014940,180
63,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00014940,320
64,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00014940,180
65,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00014940,150
66,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00014940,240
67,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00014940,300
68,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00014940,330
69,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00014940,200
70,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00014940,170
71,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00014940,120
72,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00014940,120
73,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00014940,300
