,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00094910,240
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00094910,270
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00094910,330
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00094910,310
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00094910,180
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00094910,140
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00094910,150
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00094910,320
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00094910,320
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00094910,320
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00094910,310
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00094910,320
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00094910,230
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00094910,180
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00094910,330
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00094910,310
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00094910,280
17,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00094910,110
18,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00094910,160
19,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00094910,60
20,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00094910,10
21,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00094910,190
22,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00094910,150
23,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00094910,300
24,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00094910,310
25,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00094910,220
26,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00094910,320
27,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00094910,150
28,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00094910,160
29,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00094910,310
30,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00094910,280
