,attributes,datatype,date,station,value
0,",,W,",WSF5,2016-01-01T00:00:00,GHCND:USW00024160,8.9
1,",,W,",WSF5,2016-01-02T00:00:00,GHCND:USW00024160,15.0
2,",,W,",WSF5,2016-01-03T00:00:00,GHCND:USW00024160,11.0
3,",,W,",WSF5,2016-01-05T00:00:00,GHCND:USW00024160,6.9
4,",,W,",WSF5,2016-01-06T00:00:00,GHCND:USW00024160,12.1
5,",,W,",WSF5,2016-01-07T00:00:00,GHCND:USW00024160,11.0
6,",,W,",WSF5,2016-01-08T00:00:00,GHCND:USW00024160,6.0
7,",,W,",WSF5,2016-01-09T00:00:00,GHCND:USW00024160,8.9
8,",,W,",WSF5,2016-01-10T00:00:00,GHCND:USW00024160,15.0
9,",,W,",WSF5,2016-01-11T00:00:00,GHCND:USW00024160,13.0
10,",,W,",WSF5,2016-01-12T00:00:00,GHCND:USW00024160,25.1
11,",,W,",WSF5,2016-01-13T00:00:00,GHCND:USW00024160,42.9
12,",,W,",WSF5,2016-01-14T00:00:00,GHCND:USW00024160,21.0
13,",,W,",WSF5,2016-01-15T00:00:00,GHCND:USW00024160,12.1
14,",,W,",WSF5,2016-01-16T00:00:00,GHCND:USW00024160,15.0
15,",,W,",WSF5,2016-01-17T00:00:00,GHCND:USW00024160,13.0
16,",,W,",WSF5,2016-01-18T00:00:00,GHCND:USW00024160,15.0
17,",,W,",WSF5,2016-01-19T00:00:00,GHCND:USW00024160,21.0
18,",,W,",WSF5,2016-01-20T00:00:00,GHCND:USW00024160,25.9
19,",,W,",WSF5,2016-01-21T00:00:00,GHCND:USW00024160,25.1
20,",,W,",WSF5,2016-01-22T00:00:00,GHCND:USW00024160,48.1
21,",,W,",WSF5,2016-01-23T00:00:00,GHCND:USW00024160,23.9
22,",,W,",WSF5,2016-01-24T00:00:00,GHCND:USW00024160,23.0
23,",,W,",WSF5,2016-01-25T00:00:00,GHCND:USW00024160,12.1
24,",,W,",WSF5,2016-01-26T00:00:00,GHCND:USW00024160,14.1
25,",,W,",WSF5,2016-01-27T00:00:00,GHCND:USW00024160,12.1
26,",,W,",WSF5,2016-01-28T00:00:00,GHCND:USW00024160,38.9
27,",,W,",WSF5,2016-01-29T00:00:00,GHCND:USW00024160,49.0
28,",,W,",WSF5,2016-01-30T00:00:00,GHCND:USW00024160,23.0
29,",,W,",WSF5,2016-01-31T00:00:00,GHCND:USW00024160,17.0
30,",,W,",WSF5,2016-02-01T00:00:00,GHCND:USW00024160,25.1
31,",,W,",WSF5,2016-02-02T00:00:00,GHCND:USW00024160,13.0
32,",,W,",WSF5,2016-02-03T00:00:00,GHCND:USW00024160,32.0
33,",,W,",WSF5,2016-02-04T00:00:00,GHCND:USW00024160,32.0
34,",,W,",WSF5,2016-02-05T00:00:00,GHCND:USW00024160,35.1
35,",,W,",WSF5,2016-02-06T00:00:00,GHCND:USW00024160,30.0
36,",,W,",WSF5,2016-02-07T00:00:00,GHCND:USW00024160,11.0
37,",,W,",WSF5,2016-02-08T00:00:00,GHCND:USW00024160,12.1
38,",,W,",WSF5,2016-02-09T00:00:00,GHCND:USW00024160,12.1
39,",,W,",WSF5,2016-02-10T00:00:00,GHCND:USW00024160,11.0
40,",,W,",WSF5,2016-02-11T00:00:00,GHCND:USW00024160,12.1
41,",,W,",WSF5,2016-02-12T00:00:00,GHCND:USW00024160,21.9
42,",,W,",WSF5,2016-02-13T00:00:00,GHCND:USW00024160,25.9
43,",,W,",WSF5,2016-02-14T00:00:00,GHCND:USW00024160,27.1
44,",,W,",WSF5,2016-02-15T00:00:00,GHCND:USW00024160,34.0
45,",,W,",WSF5,2016-02-16T00:00:00,GHCND:USW00024160,19.9
46,",,W,",WSF5,2016-02-17T00:00:00,GHCND:USW00024160,38.0
47,",,W,",WSF5,2016-02-18T00:00:00,GHCND:USW00024160,48.1
48,",,W,",WSF5,2016-02-19T00:00:00,GHCND:USW00024160,42.9
49,",,W,",WSF5,2016-02-20T00:00:00,GHCND:USW00024160,21.9
50,",,W,",WSF5,2016-02-21T00:00:00,GHCND:USW00024160,18.1
51,",,W,",WSF5,2016-02-22T00:00:00,GHCND:USW00024160,21.9
52,",,W,",WSF5,2016-02-23T00:00:00,GHCND:USW00024160,16.1
53,",,W,",WSF5,2016-02-24T00:00:00,GHCND:USW00024160,12.1
