,attributes,datatype,date,station,value
0,",,7,",WDFG,2016-01-01T00:00:00,GHCND:USC00253065,270
1,",,7,",WDFG,2016-01-02T00:00:00,GHCND:USC00253065,250
2,",,7,",WDFG,2016-01-03T00:00:00,GHCND:USC00253065,340
3,",,7,",WDFG,2016-01-04T00:00:00,GHCND:USC00253065,360
4,",,7,",WDFG,2016-01-05T00:00:00,GHCND:USC00253065,180
5,",,7,",WDFG,2016-01-06T00:00:00,GHCND:USC00253065,180
6,",,7,",WDFG,2016-01-07T00:00:00,GHCND:USC00253065,170
7,",,7,",WDFG,2016-01-08T00:00:00,GHCND:USC00253065,340
8,",,7,",WDFG,2016-01-09T00:00:00,GHCND:USC00253065,350
9,",,7,",WDFG,2016-01-10T00:00:00,GHCND:USC00253065,350
10,",,7,",WDFG,2016-01-11T00:00:00,GHCND:USC00253065,210
11,",,7,",WDFG,2016-01-12T00:00:00,GHCND:USC00253065,360
12,",,7,",WDFG,2016-01-13T00:00:00,GHCND:USC00253065,210
13,",,7,",WDFG,2016-01-14T00:00:00,GHCND:USC00253065,210
14,",,7,",WDFG,2016-01-15T00:00:00,GHCND:USC00253065,340
15,",,7,",WDFG,2016-01-16T00:00:00,GHCND:USC00253065,340
16,",,7,",WDFG,2016-01-17T00:00:00,GHCND:USC00253065,10
17,",,7,",WDFG,2016-01-18T00:00:00,GHCND:USC00253065,340
18,",,7,",WDFG,2016-01-19T00:00:00,GHCND:USC00253065,140
19,",,7,",WDFG,2016-01-20T00:00:00,GHCND:USC00253065,110
20,",,7,",WDFG,2016-01-21T00:00:00,GHCND:USC00253065,180
21,",,7,",WDFG,2016-01-22T00:00:00,GHCND:USC00253065,350
22,",,7,",WDFG,2016-01-23T00:00:00,GHCND:USC00253065,180
23,",,7,",WDFG,2016-01-24T00:00:00,GHCND:USC00253065,190
24,",,7,",WDFG,2016-01-25T00:00:00,GHCND:USC00253065,340
25,",,7,",WDFG,2016-01-26T00:00:00,GHCND:USC00253065,330
26,",,7,",WDFG,2016-01-27T00:00:00,GHCND:USC00253065,250
27,",,7,",WDFG,2016-01-28T00:00:00,GHCND:USC00253065,270
28,",,7,",WDFG,2016-01-29T00:00:00,GHCND:USC00253065,320
29,",,7,",WDFG,2016-01-30T00:00:00,GHCND:USC00253065,190
30,",,7,",WDFG,2016-01-31T00:00:00,GHCND:USC00253065,330
31,",,7,",WDFG,2016-02-01T00:00:00,GHCND:USC00253065,310
32,",,7,",WDFG,2016-02-02T00:00:00,GHCND:USC00253065,50
33,",,7,",WDFG,2016-02-03T00:00:00,GHCND:USC00253065,340
34,",,7,",WDFG,2016-02-04T00:00:00,GHCND:USC00253065,330
35,",,7,",WDFG,2016-02-05T00:00:00,GHCND:USC00253065,290
36,",,7,",WDFG,2016-02-06T00:00:00,GHCND:USC00253065,190
37,",,7,",WDFG,2016-02-07T00:00:00,GHCND:USC00253065,210
38,",,7,",WDFG,2016-02-08T00:00:00,GHCND:USC00253065,320
39,",,7,",WDFG,2016-02-09T00:00:00,GHCND:USC00253065,330
40,",,7,",WDFG,2016-02-10T00:00:00,GHCND:USC00253065,340
41,",,7,",WDFG,2016-02-11T00:00:00,GHCND:USC00253065,210
42,",,7,",WDFG,2016-02-12T00:00:00,GHCND:USC00253065,350
43,",,7,",WDFG,2016-02-13T00:00:00,GHCND:USC00253065,360
44,",,7,",WDFG,2016-02-14T00:00:00,GHCND:USC00253065,200
45,",,7,",WDFG,2016-02-15T00:00:00,GHCND:USC00253065,200
46,",,7,",WDFG,2016-02-16T00:00:00,GHCND:USC00253065,310
47,",,7,",WDFG,2016-02-17T00:00:00,GHCND:USC00253065,340
48,",,7,",WDFG,2016-02-18T00:00:00,GHCND:USC00253065,140
49,",,7,",WDFG,2016-02-19T00:00:00,GHCND:USC00253065,290
50,",,7,",WDFG,2016-02-20T00:00:00,GHCND:USC00253065,280
51,",,7,",WDFG,2016-02-21T00:00:00,GHCND:USC00253065,60
52,",,7,",WDFG,2016-02-22T00:00:00,GHCND:USC00253065,320
53,",,7,",WDFG,2016-02-23T00:00:00,GHCND:USC00253065,190
54,",,7,",WDFG,2016-02-24T00:00:00,GHCND:USC00253065,350
55,",,7,",WDFG,2016-02-25T00:00:00,GHCND:USC00253065,320
56,",,7,",WDFG,2016-02-26T00:00:00,GHCND:USC00253065,340
57,",,7,",WDFG,2016-02-27T00:00:00,GHCND:USC00253065,340
58,",,7,",WDFG,2016-02-28T00:00:00,GHCND:USC00253065,220
59,",,7,",WDFG,2016-02-29T00:00:00,GHCND:USC00253065,330
60,",,7,",WDFG,2016-03-01T00:00:00,GHCND:USC00253065,340
61,",,7,",WDFG,2016-03-02T00:00:00,GHCND:USC00253065,350
62,",,7,",WDFG,2016-03-03T00:00:00,GHCND:USC00253065,300
63,",,7,",WDFG,2016-03-04T00:00:00,GHCND:USC00253065,350
64,",,7,",WDFG,2016-03-05T00:00:00,GHCND:USC00253065,180
65,",,7,",WDFG,2016-03-06T00:00:00,GHCND:USC00253065,160
66,",,7,",WDFG,2016-03-07T00:00:00,GHCND:USC00253065,200
67,",,7,",WDFG,2016-03-08T00:00:00,GHCND:USC00253065,170
68,",,7,",WDFG,2016-03-09T00:00:00,GHCND:USC00253065,300
69,",,7,",WDFG,2016-03-10T00:00:00,GHCND:USC00253065,270
70,",,7,",WDFG,2016-03-11T00:00:00,GHCND:USC00253065,200
71,",,7,",WDFG,2016-03-12T00:00:00,GHCND:USC00253065,190
72,",,7,",WDFG,2016-03-13T00:00:00,GHCND:USC00253065,140
73,",,7,",WDFG,2016-03-14T00:00:00,GHCND:USC00253065,240
74,",,7,",WDFG,2016-03-15T00:00:00,GHCND:USC00253065,310
75,",,7,",WDFG,2016-03-16T00:00:00,GHCND:USC00253065,290
76,",,7,",WDFG,2016-03-17T00:00:00,GHCND:USC00253065,290
77,",,7,",WDFG,2016-03-18T00:00:00,GHCND:USC00253065,310
78,",,7,",WDFG,2016-03-19T00:00:00,GHCND:USC00253065,320
79,",,7,",WDFG,2016-03-20T00:00:00,GHCND:USC00253065,350
80,",,7,",WDFG,2016-03-21T00:00:00,GHCND:USC00253065,320
81,",,7,",WDFG,2016-03-22T00:00:00,GHCND:USC00253065,190
82,",,7,",WDFG,2016-03-23T00:00:00,GHCND:USC00253065,80
83,",,7,",WDFG,2016-03-24T00:00:00,GHCND:USC00253065,20
84,",,7,",WDFG,2016-03-25T00:00:00,GHCND:USC00253065,340
85,",,7,",WDFG,2016-03-26T00:00:00,GHCND:USC00253065,180
86,",,7,",WDFG,2016-03-27T00:00:00,GHCND:USC00253065,330
87,",,7,",WDFG,2016-03-28T00:00:00,GHCND:USC00253065,320
88,",,7,",WDFG,2016-03-29T00:00:00,GHCND:USC00253065,180
89,",,7,",WDFG,2016-03-30T00:00:00,GHCND:USC00253065,150
90,",,7,",WDFG,2016-03-31T00:00:00,GHCND:USC00253065,260
91,",,7,",WDFG,2016-04-01T00:00:00,GHCND:USC00253065,310
92,",,7,",WDFG,2016-04-02T00:00:00,GHCND:USC00253065,320
93,",,7,",WDFG,2016-04-03T00:00:00,GHCND:USC00253065,330
