,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00014939,260
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00014939,270
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00014939,10
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00014939,150
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00014939,180
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00014939,170
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00014939,350
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00014939,360
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00014939,340
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00014939,220
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00014939,320
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00014939,350
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00014939,230
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00014939,320
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00014939,340
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00014939,10
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00014939,360
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00014939,120
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00014939,130
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00014939,160
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00014939,360
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00014939,340
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00014939,180
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00014939,150
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00014939,330
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00014939,320
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00014939,230
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00014939,340
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00014939,220
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00014939,180
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00014939,290
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00014939,30
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00014939,360
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00014939,350
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00014939,290
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00014939,190
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00014939,220
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00014939,330
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00014939,340
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00014939,340
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00014939,30
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00014939,190
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00014939,10
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00014939,140
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00014939,180
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00014939,240
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00014939,350
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00014939,140
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00014939,190
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00014939,290
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00014939,40
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00014939,340
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00014939,140
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00014939,360
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00014939,340
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00014939,340
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00014939,340
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00014939,220
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00014939,330
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00014939,360
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00014939,350
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00014939,170
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00014939,300
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00014939,250
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00014939,120
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00014939,200
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00014939,180
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00014939,190
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00014939,140
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00014939,340
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00014939,190
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00014939,130
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00014939,140
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00014939,330
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00014939,310
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00014939,320
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00014939,330
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00014939,340
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00014939,340
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00014939,340
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00014939,200
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00014939,80
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00014939,20
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00014939,360
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00014939,170
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00014939,350
86,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00014939,330
87,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00014939,170
88,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00014939,160
89,",,W,",WDF2,2016-03-30T00:00:00,GHCND:USW00014939,170
90,",,W,",WDF2,2016-03-31T00:00:00,GHCND:USW00014939,310
91,",,W,",WDF2,2016-04-01T00:00:00,GHCND:USW00014939,350
92,",,W,",WDF2,2016-04-02T00:00:00,GHCND:USW00014939,330
93,",,W,",WDF2,2016-04-03T00:00:00,GHCND:USW00014939,270
94,",,W,",WDF2,2016-04-04T00:00:00,GHCND:USW00014939,130
95,",,W,",WDF2,2016-04-05T00:00:00,GHCND:USW00014939,160
96,",,W,",WDF2,2016-04-06T00:00:00,GHCND:USW00014939,330
97,",,W,",WDF2,2016-04-07T00:00:00,GHCND:USW00014939,330
98,",,W,",WDF2,2016-04-08T00:00:00,GHCND:USW00014939,340
99,",,W,",WDF2,2016-04-09T00:00:00,GHCND:USW00014939,160
100,",,W,",WDF2,2016-04-10T00:00:00,GHCND:USW00014939,10
101,",,W,",WDF2,2016-04-11T00:00:00,GHCND:USW00014939,350
102,",,W,",WDF2,2016-04-12T00:00:00,GHCND:USW00014939,180
103,",,W,",WDF2,2016-04-13T00:00:00,GHCND:USW00014939,190
