,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00023277,2.7
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00023277,1.8
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00023277,3.8
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00023277,3.8
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00023277,3.4
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00023277,5.1
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00023277,2.9
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00023277,2.0
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00023277,2.2
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00023277,3.6
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00023277,1.6
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00023277,3.1
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00023277,6.5
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00023277,3.1
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00023277,3.8
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00023277,1.1
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00023277,2.0
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00023277,2.9
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00023277,5.8
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00023277,3.4
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00023277,2.9
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00023277,5.6
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00023277,4.5
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00023277,2.9
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00023277,3.4
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00023277,4.7
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00023277,2.9
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00023277,2.7
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00023277,3.6
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00023277,2.7
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00023277,5.8
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00023277,6.9
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00023277,3.1
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00023277,3.6
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00023277,4.0
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00023277,2.9
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00023277,3.6
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00023277,4.5
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00023277,3.6
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00023277,2.9
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00023277,2.5
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00023277,3.1
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00023277,2.0
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00023277,3.1
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00023277,3.1
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00023277,3.4
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00023277,3.8
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00023277,10.3
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00023277,6.9
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00023277,3.8
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00023277,2.5
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00023277,2.9
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00023277,3.6
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00023277,2.9
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00023277,3.6
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00023277,2.5
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00023277,3.8
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00023277,3.1
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00023277,2.9
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00023277,2.9
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00023277,3.8
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00023277,3.8
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00023277,2.2
