,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00023277,40
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00023277,240
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00023277,100
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00023277,110
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00023277,240
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00023277,130
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00023277,220
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00023277,220
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00023277,40
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00023277,90
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00023277,240
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00023277,210
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00023277,250
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00023277,220
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00023277,200
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00023277,290
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00023277,190
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00023277,210
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00023277,180
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00023277,210
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00023277,270
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00023277,180
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00023277,220
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00023277,120
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00023277,230
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00023277,90
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00023277,300
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00023277,250
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00023277,190
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00023277,200
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00023277,270
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00023277,300
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00023277,300
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00023277,190
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00023277,90
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00023277,80
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00023277,90
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00023277,90
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00023277,100
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00023277,240
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00023277,90
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00023277,260
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00023277,190
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00023277,220
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00023277,210
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00023277,330
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00023277,120
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00023277,200
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00023277,170
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00023277,230
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00023277,250
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00023277,90
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00023277,210
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00023277,260
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00023277,90
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00023277,200
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00023277,220
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00023277,240
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00023277,220
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00023277,120
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00023277,200
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00023277,230
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00023277,240
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00023277,140
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00023277,250
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00023277,190
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00023277,190
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00023277,220
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00023277,240
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00023277,240
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00023277,190
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00023277,210
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00023277,190
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00023277,230
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00023277,240
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00023277,200
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00023277,230
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00023277,180
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00023277,250
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00023277,220
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00023277,200
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00023277,340
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00023277,240
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00023277,180
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00023277,160
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00023277,130
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00023277,180
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00023277,270
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00023277,220
89,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00023277,230
90,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00023277,220
91,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00023277,180
92,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00023277,190
93,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00023277,200
94,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00023277,150
95,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00023277,200
96,",,W,",WDF5,2016-04-06T00:00:00,GHCND:USW00023277,200
97,",,W,",WDF5,2016-04-07T00:00:00,GHCND:USW00023277,270
98,",,W,",WDF5,2016-04-08T00:00:00,GHCND:USW00023277,210
99,",,W,",WDF5,2016-04-09T00:00:00,GHCND:USW00023277,230
100,",,W,",WDF5,2016-04-10T00:00:00,GHCND:USW00023277,190
101,",,W,",WDF5,2016-04-11T00:00:00,GHCND:USW00023277,240
102,",,W,",WDF5,2016-04-12T00:00:00,GHCND:USW00023277,210
103,",,W,",WDF5,2016-04-13T00:00:00,GHCND:USW00023277,230
104,",,W,",WDF5,2016-04-14T00:00:00,GHCND:USW00023277,300
105,",,W,",WDF5,2016-04-15T00:00:00,GHCND:USW00023277,330
106,",,W,",WDF5,2016-04-16T00:00:00,GHCND:USW00023277,240
107,",,W,",WDF5,2016-04-17T00:00:00,GHCND:USW00023277,220
108,",,W,",WDF5,2016-04-18T00:00:00,GHCND:USW00023277,230
109,",,W,",WDF5,2016-04-19T00:00:00,GHCND:USW00023277,210
110,",,W,",WDF5,2016-04-20T00:00:00,GHCND:USW00023277,220
111,",,W,",WDF5,2016-04-21T00:00:00,GHCND:USW00023277,240
112,",,W,",WDF5,2016-04-22T00:00:00,GHCND:USW00023277,190
113,",,W,",WDF5,2016-04-23T00:00:00,GHCND:USW00023277,210
114,",,W,",WDF5,2016-04-24T00:00:00,GHCND:USW00023277,270
115,",,W,",WDF5,2016-04-25T00:00:00,GHCND:USW00023277,250
116,",,W,",WDF5,2016-04-26T00:00:00,GHCND:USW00023277,170
117,",,W,",WDF5,2016-04-27T00:00:00,GHCND:USW00023277,280
118,",,W,",WDF5,2016-04-28T00:00:00,GHCND:USW00023277,90
119,",,W,",WDF5,2016-04-29T00:00:00,GHCND:USW00023277,150
120,",,W,",WDF5,2016-04-30T00:00:00,GHCND:USW00023277,180
121,",,W,",WDF5,2016-05-01T00:00:00,GHCND:USW00023277,250
122,",,W,",WDF5,2016-05-02T00:00:00,GHCND:USW00023277,220
123,",,W,",WDF5,2016-05-03T00:00:00,GHCND:USW00023277,190
124,",,W,",WDF5,2016-05-04T00:00:00,GHCND:USW00023277,250
125,",,W,",WDF5,2016-05-05T00:00:00,GHCND:USW00023277,220
126,",,W,",WDF5,2016-05-06T00:00:00,GHCND:USW00023277,230
127,",,W,",WDF5,2016-05-07T00:00:00,GHCND:USW00023277,250
128,",,W,",WDF5,2016-05-08T00:00:00,GHCND:USW00023277,230
129,",,W,",WDF5,2016-05-09T00:00:00,GHCND:USW00023277,200
130,",,W,",WDF5,2016-05-10T00:00:00,GHCND:USW00023277,210
131,",,W,",WDF5,2016-05-11T00:00:00,GHCND:USW00023277,210
132,",,W,",WDF5,2016-05-12T00:00:00,GHCND:USW00023277,180
133,",,W,",WDF5,2016-05-13T00:00:00,GHCND:USW00023277,240
134,",,W,",WDF5,2016-05-14T00:00:00,GHCND:USW00023277,240
135,",,W,",WDF5,2016-05-15T00:00:00,GHCND:USW00023277,160
136,",,W,",WDF5,2016-05-16T00:00:00,GHCND:USW00023277,200
137,",,W,",WDF5,2016-05-17T00:00:00,GHCND:USW00023277,180
138,",,W,",WDF5,2016-05-18T00:00:00,GHCND:USW00023277,190
139,",,W,",WDF5,2016-05-19T00:00:00,GHCND:USW00023277,260
140,",,W,",WDF5,2016-05-20T00:00:00,GHCND:USW00023277,240
141,",,W,",WDF5,2016-05-21T00:00:00,GHCND:USW00023277,260
142,",,W,",WDF5,2016-05-22T00:00:00,GHCND:USW00023277,240
143,",,W,",WDF5,2016-05-23T00:00:00,GHCND:USW00023277,230
144,",,W,",WDF5,2016-05-24T00:00:00,GHCND:USW00023277,240
145,",,W,",WDF5,2016-05-25T00:00:00,GHCND:USW00023277,210
146,",,W,",WDF5,2016-05-26T00:00:00,GHCND:USW00023277,220
147,",,W,",WDF5,2016-05-27T00:00:00,GHCND:USW00023277,160
148,",,W,",WDF5,2016-05-28T00:00:00,GHCND:USW00023277,220
149,",,W,",WDF5,2016-05-29T00:00:00,GHCND:USW00023277,210
150,",,W,",WDF5,2016-05-30T00:00:00,GHCND:USW00023277,190
151,",,W,",WDF5,2016-05-31T00:00:00,GHCND:USW00023277,220
152,",,W,",WDF5,2016-06-01T00:00:00,GHCND:USW00023277,210
153,",,W,",WDF5,2016-06-02T00:00:00,GHCND:USW00023277,230
154,",,W,",WDF5,2016-06-03T00:00:00,GHCND:USW00023277,170
155,",,W,",WDF5,2016-06-04T00:00:00,GHCND:USW00023277,230
156,",,W,",WDF5,2016-06-05T00:00:00,GHCND:USW00023277,220
157,",,W,",WDF5,2016-06-06T00:00:00,GHCND:USW00023277,230
158,",,W,",WDF5,2016-06-07T00:00:00,GHCND:USW00023277,240
159,",,W,",WDF5,2016-06-08T00:00:00,GHCND:USW00023277,90
160,",,W,",WDF5,2016-06-09T00:00:00,GHCND:USW00023277,190
161,",,W,",WDF5,2016-06-10T00:00:00,GHCND:USW00023277,120
162,",,W,",WDF5,2016-06-11T00:00:00,GHCND:USW00023277,250
163,",,W,",WDF5,2016-06-12T00:00:00,GHCND:USW00023277,220
164,",,W,",WDF5,2016-06-13T00:00:00,GHCND:USW00023277,200
165,",,W,",WDF5,2016-06-14T00:00:00,GHCND:USW00023277,250
166,",,W,",WDF5,2016-06-15T00:00:00,GHCND:USW00023277,250
167,",,W,",WDF5,2016-06-16T00:00:00,GHCND:USW00023277,240
168,",,W,",WDF5,2016-06-17T00:00:00,GHCND:USW00023277,220
169,",,W,",WDF5,2016-06-18T00:00:00,GHCND:USW00023277,190
170,",,W,",WDF5,2016-06-19T00:00:00,GHCND:USW00023277,230
171,",,W,",WDF5,2016-06-20T00:00:00,GHCND:USW00023277,160
172,",,W,",WDF5,2016-06-21T00:00:00,GHCND:USW00023277,150
173,",,W,",WDF5,2016-06-22T00:00:00,GHCND:USW00023277,110
174,",,W,",WDF5,2016-06-23T00:00:00,GHCND:USW00023277,170
175,",,W,",WDF5,2016-06-24T00:00:00,GHCND:USW00023277,150
176,",,W,",WDF5,2016-06-25T00:00:00,GHCND:USW00023277,180
177,",,W,",WDF5,2016-06-26T00:00:00,GHCND:USW00023277,150
178,",,W,",WDF5,2016-06-27T00:00:00,GHCND:USW00023277,180
179,",,W,",WDF5,2016-06-28T00:00:00,GHCND:USW00023277,140
180,",,W,",WDF5,2016-06-29T00:00:00,GHCND:USW00023277,150
181,",,W,",WDF5,2016-06-30T00:00:00,GHCND:USW00023277,210
182,",,W,",WDF5,2016-07-01T00:00:00,GHCND:USW00023277,200
