,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00094224,10.7
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00094224,11.9
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00094224,7.6
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00094224,7.4
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00094224,8.5
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00094224,6.0
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00094224,2.2
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00094224,5.1
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00094224,7.2
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00094224,7.4
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00094224,10.3
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00094224,11.2
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00094224,4.9
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00094224,6.7
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00094224,7.2
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00094224,14.1
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00094224,9.2
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00094224,6.7
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00094224,7.4
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00094224,10.1
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00094224,11.0
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00094224,10.5
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00094224,5.8
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00094224,5.8
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00094224,6.0
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00094224,6.3
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00094224,6.5
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00094224,11.4
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00094224,10.5
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00094224,6.0
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00094224,4.7
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00094224,5.1
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00094224,6.0
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00094224,10.3
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00094224,9.6
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00094224,11.9
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00094224,6.3
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00094224,5.8
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00094224,9.2
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00094224,6.5
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00094224,7.6
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00094224,4.3
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00094224,10.5
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00094224,11.9
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00094224,12.5
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00094224,16.1
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00094224,6.0
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00094224,8.5
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00094224,8.9
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00094224,10.7
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00094224,7.2
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00094224,7.6
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00094224,3.6
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00094224,7.8
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00094224,2.0
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00094224,3.6
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00094224,1.8
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00094224,6.7
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00094224,12.5
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00094224,7.2
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00094224,17.4
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00094224,11.6
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00094224,11.0
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00094224,6.0
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00094224,12.5
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00094224,10.5
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00094224,8.7
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00094224,7.4
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00094224,18.6
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00094224,20.8
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00094224,4.3
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00094224,10.7
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00094224,15.4
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00094224,12.5
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00094224,5.8
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00094224,7.6
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00094224,12.1
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00094224,8.5
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00094224,4.9
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00094224,6.9
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00094224,7.6
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00094224,6.9
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00094224,11.0
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00094224,11.4
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00094224,3.1
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00094224,5.8
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00094224,10.3
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00094224,5.8
88,",,W,",AWND,2016-03-29T00:00:00,GHCND:USW00094224,6.3
89,",,W,",AWND,2016-03-30T00:00:00,GHCND:USW00094224,4.7
90,",,W,",AWND,2016-03-31T00:00:00,GHCND:USW00094224,5.1
91,",,W,",AWND,2016-04-01T00:00:00,GHCND:USW00094224,5.8
92,",,W,",AWND,2016-04-02T00:00:00,GHCND:USW00094224,5.4
93,",,W,",AWND,2016-04-03T00:00:00,GHCND:USW00094224,8.5
94,",,W,",AWND,2016-04-04T00:00:00,GHCND:USW00094224,9.8
95,",,W,",AWND,2016-04-05T00:00:00,GHCND:USW00094224,4.9
96,",,W,",AWND,2016-04-06T00:00:00,GHCND:USW00094224,7.4
97,",,W,",AWND,2016-04-07T00:00:00,GHCND:USW00094224,7.4
98,",,W,",AWND,2016-04-08T00:00:00,GHCND:USW00094224,12.3
99,",,W,",AWND,2016-04-09T00:00:00,GHCND:USW00094224,6.0
100,",,W,",AWND,2016-04-10T00:00:00,GHCND:USW00094224,5.4
101,",,W,",AWND,2016-04-11T00:00:00,GHCND:USW00094224,4.3
102,",,W,",AWND,2016-04-12T00:00:00,GHCND:USW00094224,10.1
103,",,W,",AWND,2016-04-13T00:00:00,GHCND:USW00094224,8.5
104,",,W,",AWND,2016-04-14T00:00:00,GHCND:USW00094224,8.7
105,",,W,",AWND,2016-04-15T00:00:00,GHCND:USW00094224,4.9
106,",,W,",AWND,2016-04-16T00:00:00,GHCND:USW00094224,4.7
107,",,W,",AWND,2016-04-17T00:00:00,GHCND:USW00094224,8.1
108,",,W,",AWND,2016-04-18T00:00:00,GHCND:USW00094224,4.9
109,",,W,",AWND,2016-04-19T00:00:00,GHCND:USW00094224,5.1
110,",,W,",AWND,2016-04-20T00:00:00,GHCND:USW00094224,6.3
111,",,W,",AWND,2016-04-21T00:00:00,GHCND:USW00094224,6.9
112,",,W,",AWND,2016-04-22T00:00:00,GHCND:USW00094224,7.8
113,",,W,",AWND,2016-04-23T00:00:00,GHCND:USW00094224,7.4
114,",,W,",AWND,2016-04-24T00:00:00,GHCND:USW00094224,10.3
115,",,W,",AWND,2016-04-25T00:00:00,GHCND:USW00094224,8.5
116,",,W,",AWND,2016-04-26T00:00:00,GHCND:USW00094224,3.6
117,",,W,",AWND,2016-04-27T00:00:00,GHCND:USW00094224,5.1
118,",,W,",AWND,2016-04-28T00:00:00,GHCND:USW00094224,6.0
119,",,W,",AWND,2016-04-29T00:00:00,GHCND:USW00094224,9.8
120,",,W,",AWND,2016-04-30T00:00:00,GHCND:USW00094224,7.6
121,",,W,",AWND,2016-05-01T00:00:00,GHCND:USW00094224,6.3
122,",,W,",AWND,2016-05-02T00:00:00,GHCND:USW00094224,8.5
123,",,W,",AWND,2016-05-03T00:00:00,GHCND:USW00094224,8.5
124,",,W,",AWND,2016-05-04T00:00:00,GHCND:USW00094224,13.9
125,",,W,",AWND,2016-05-05T00:00:00,GHCND:USW00094224,9.6
