,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00094225,70
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00094225,50
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00094225,40
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00094225,60
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00094225,50
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00094225,80
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00094225,80
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00094225,50
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00094225,50
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00094225,70
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00094225,170
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00094225,190
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00094225,270
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00094225,50
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00094225,50
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00094225,50
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00094225,50
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00094225,130
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00094225,80
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00094225,50
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00094225,150
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00094225,200
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00094225,270
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00094225,250
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00094225,50
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00094225,160
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00094225,160
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00094225,160
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00094225,230
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00094225,300
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00094225,260
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00094225,270
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00094225,80
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00094225,200
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00094225,240
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00094225,150
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00094225,270
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00094225,40
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00094225,80
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00094225,80
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00094225,170
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00094225,50
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00094225,200
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00094225,150
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00094225,190
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00094225,180
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00094225,200
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00094225,50
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00094225,200
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00094225,200
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00094225,170
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00094225,230
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00094225,320
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00094225,50
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00094225,80
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00094225,80
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00094225,80
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00094225,190
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00094225,240
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00094225,40
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00094225,200
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00094225,190
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00094225,170
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00094225,140
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00094225,170
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00094225,170
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00094225,270
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00094225,90
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00094225,160
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00094225,180
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00094225,170
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00094225,170
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00094225,200
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00094225,240
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00094225,190
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00094225,250
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00094225,50
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00094225,50
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00094225,220
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00094225,150
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00094225,210
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00094225,250
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00094225,200
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00094225,270
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00094225,320
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00094225,270
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00094225,270
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00094225,250
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00094225,230
89,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00094225,230
90,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00094225,260
91,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00094225,230
92,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00094225,230
93,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00094225,240
94,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00094225,230
95,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00094225,220
96,",,W,",WDF5,2016-04-06T00:00:00,GHCND:USW00094225,40
97,",,W,",WDF5,2016-04-07T00:00:00,GHCND:USW00094225,80
98,",,W,",WDF5,2016-04-08T00:00:00,GHCND:USW00094225,230
99,",,W,",WDF5,2016-04-09T00:00:00,GHCND:USW00094225,250
100,",,W,",WDF5,2016-04-10T00:00:00,GHCND:USW00094225,230
101,",,W,",WDF5,2016-04-11T00:00:00,GHCND:USW00094225,240
102,",,W,",WDF5,2016-04-12T00:00:00,GHCND:USW00094225,210
103,",,W,",WDF5,2016-04-13T00:00:00,GHCND:USW00094225,170
104,",,W,",WDF5,2016-04-14T00:00:00,GHCND:USW00094225,270
105,",,W,",WDF5,2016-04-15T00:00:00,GHCND:USW00094225,230
106,",,W,",WDF5,2016-04-16T00:00:00,GHCND:USW00094225,250
107,",,W,",WDF5,2016-04-17T00:00:00,GHCND:USW00094225,70
108,",,W,",WDF5,2016-04-18T00:00:00,GHCND:USW00094225,220
109,",,W,",WDF5,2016-04-19T00:00:00,GHCND:USW00094225,230
110,",,W,",WDF5,2016-04-20T00:00:00,GHCND:USW00094225,190
111,",,W,",WDF5,2016-04-30T00:00:00,GHCND:USW00094225,250
