,attributes,datatype,date,station,value
0,",,W,",WSF5,2016-01-01T00:00:00,GHCND:USW00094225,31.1
1,",,W,",WSF5,2016-01-02T00:00:00,GHCND:USW00094225,25.1
2,",,W,",WSF5,2016-01-03T00:00:00,GHCND:USW00094225,25.9
3,",,W,",WSF5,2016-01-04T00:00:00,GHCND:USW00094225,23.0
4,",,W,",WSF5,2016-01-05T00:00:00,GHCND:USW00094225,25.1
5,",,W,",WSF5,2016-01-06T00:00:00,GHCND:USW00094225,18.1
6,",,W,",WSF5,2016-01-07T00:00:00,GHCND:USW00094225,15.0
7,",,W,",WSF5,2016-01-08T00:00:00,GHCND:USW00094225,19.9
8,",,W,",WSF5,2016-01-09T00:00:00,GHCND:USW00094225,19.9
9,",,W,",WSF5,2016-01-10T00:00:00,GHCND:USW00094225,23.0
10,",,W,",WSF5,2016-01-11T00:00:00,GHCND:USW00094225,28.0
11,",,W,",WSF5,2016-01-12T00:00:00,GHCND:USW00094225,25.1
12,",,W,",WSF5,2016-01-13T00:00:00,GHCND:USW00094225,25.9
13,",,W,",WSF5,2016-01-14T00:00:00,GHCND:USW00094225,23.0
14,",,W,",WSF5,2016-01-15T00:00:00,GHCND:USW00094225,25.9
15,",,W,",WSF5,2016-01-16T00:00:00,GHCND:USW00094225,33.1
16,",,W,",WSF5,2016-01-17T00:00:00,GHCND:USW00094225,29.1
17,",,W,",WSF5,2016-01-18T00:00:00,GHCND:USW00094225,38.9
18,",,W,",WSF5,2016-01-19T00:00:00,GHCND:USW00094225,16.1
19,",,W,",WSF5,2016-01-20T00:00:00,GHCND:USW00094225,34.0
20,",,W,",WSF5,2016-01-21T00:00:00,GHCND:USW00094225,40.0
21,",,W,",WSF5,2016-01-22T00:00:00,GHCND:USW00094225,27.1
22,",,W,",WSF5,2016-01-23T00:00:00,GHCND:USW00094225,18.1
23,",,W,",WSF5,2016-01-24T00:00:00,GHCND:USW00094225,17.0
24,",,W,",WSF5,2016-01-25T00:00:00,GHCND:USW00094225,17.0
25,",,W,",WSF5,2016-01-26T00:00:00,GHCND:USW00094225,30.0
26,",,W,",WSF5,2016-01-27T00:00:00,GHCND:USW00094225,50.1
27,",,W,",WSF5,2016-01-28T00:00:00,GHCND:USW00094225,52.1
28,",,W,",WSF5,2016-01-29T00:00:00,GHCND:USW00094225,40.0
29,",,W,",WSF5,2016-01-30T00:00:00,GHCND:USW00094225,25.1
30,",,W,",WSF5,2016-01-31T00:00:00,GHCND:USW00094225,21.0
31,",,W,",WSF5,2016-02-01T00:00:00,GHCND:USW00094225,23.9
32,",,W,",WSF5,2016-02-02T00:00:00,GHCND:USW00094225,18.1
33,",,W,",WSF5,2016-02-03T00:00:00,GHCND:USW00094225,42.9
34,",,W,",WSF5,2016-02-04T00:00:00,GHCND:USW00094225,25.9
35,",,W,",WSF5,2016-02-05T00:00:00,GHCND:USW00094225,51.0
36,",,W,",WSF5,2016-02-06T00:00:00,GHCND:USW00094225,35.1
37,",,W,",WSF5,2016-02-07T00:00:00,GHCND:USW00094225,19.9
38,",,W,",WSF5,2016-02-08T00:00:00,GHCND:USW00094225,23.9
39,",,W,",WSF5,2016-02-09T00:00:00,GHCND:USW00094225,21.0
40,",,W,",WSF5,2016-02-10T00:00:00,GHCND:USW00094225,30.0
41,",,W,",WSF5,2016-02-11T00:00:00,GHCND:USW00094225,23.9
42,",,W,",WSF5,2016-02-12T00:00:00,GHCND:USW00094225,46.1
43,",,W,",WSF5,2016-02-13T00:00:00,GHCND:USW00094225,36.9
44,",,W,",WSF5,2016-02-14T00:00:00,GHCND:USW00094225,29.1
45,",,W,",WSF5,2016-02-15T00:00:00,GHCND:USW00094225,35.1
46,",,W,",WSF5,2016-02-16T00:00:00,GHCND:USW00094225,19.9
47,",,W,",WSF5,2016-02-17T00:00:00,GHCND:USW00094225,32.0
48,",,W,",WSF5,2016-02-18T00:00:00,GHCND:USW00094225,36.0
49,",,W,",WSF5,2016-02-19T00:00:00,GHCND:USW00094225,44.1
50,",,W,",WSF5,2016-02-20T00:00:00,GHCND:USW00094225,21.9
51,",,W,",WSF5,2016-02-21T00:00:00,GHCND:USW00094225,29.1
