,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00053144,1323
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00053144,1620
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00053144,1447
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00053144,1834
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00053144,2306
5,",,W,",PGTM,2016-02-06T00:00:00,GHCND:USW00053144,1422
6,",,W,",PGTM,2016-02-08T00:00:00,GHCND:USW00053144,1308
7,",,W,",PGTM,2016-02-09T00:00:00,GHCND:USW00053144,1947
8,",,W,",PGTM,2016-02-10T00:00:00,GHCND:USW00053144,1837
9,",,W,",PGTM,2016-02-11T00:00:00,GHCND:USW00053144,1914
10,",,W,",PGTM,2016-02-12T00:00:00,GHCND:USW00053144,1928
11,",,W,",PGTM,2016-02-13T00:00:00,GHCND:USW00053144,1918
12,",,W,",PGTM,2016-02-14T00:00:00,GHCND:USW00053144,1459
13,",,W,",PGTM,2016-02-15T00:00:00,GHCND:USW00053144,1617
14,",,W,",PGTM,2016-02-16T00:00:00,GHCND:USW00053144,2047
15,",,W,",PGTM,2016-02-17T00:00:00,GHCND:USW00053144,1524
16,",,W,",PGTM,2016-02-18T00:00:00,GHCND:USW00053144,914
17,",,W,",PGTM,2016-02-19T00:00:00,GHCND:USW00053144,1625
18,",,W,",PGTM,2016-02-20T00:00:00,GHCND:USW00053144,1922
19,",,W,",PGTM,2016-02-21T00:00:00,GHCND:USW00053144,1651
20,",,W,",PGTM,2016-02-22T00:00:00,GHCND:USW00053144,1254
21,",,W,",PGTM,2016-02-24T00:00:00,GHCND:USW00053144,1322
22,",,W,",PGTM,2016-02-25T00:00:00,GHCND:USW00053144,1913
23,",,W,",PGTM,2016-02-26T00:00:00,GHCND:USW00053144,2050
24,",,W,",PGTM,2016-02-27T00:00:00,GHCND:USW00053144,1705
25,",,W,",PGTM,2016-02-28T00:00:00,GHCND:USW00053144,1957
26,",,W,",PGTM,2016-02-29T00:00:00,GHCND:USW00053144,1702
27,",,W,",PGTM,2016-03-01T00:00:00,GHCND:USW00053144,1636
28,",,W,",PGTM,2016-03-02T00:00:00,GHCND:USW00053144,1752
29,",,W,",PGTM,2016-03-03T00:00:00,GHCND:USW00053144,1713
30,",,W,",PGTM,2016-03-04T00:00:00,GHCND:USW00053144,1803
