,attributes,datatype,date,station,value
0,",,W,",WSF2,2016-01-01T00:00:00,GHCND:USW00094949,21.0
1,",,W,",WSF2,2016-01-02T00:00:00,GHCND:USW00094949,13.0
2,",,W,",WSF2,2016-01-03T00:00:00,GHCND:USW00094949,13.0
3,",,W,",WSF2,2016-01-04T00:00:00,GHCND:USW00094949,16.1
4,",,W,",WSF2,2016-01-05T00:00:00,GHCND:USW00094949,21.0
5,",,W,",WSF2,2016-01-06T00:00:00,GHCND:USW00094949,17.0
6,",,W,",WSF2,2016-01-07T00:00:00,GHCND:USW00094949,17.0
7,",,W,",WSF2,2016-01-08T00:00:00,GHCND:USW00094949,21.9
8,",,W,",WSF2,2016-01-09T00:00:00,GHCND:USW00094949,28.0
9,",,W,",WSF2,2016-01-10T00:00:00,GHCND:USW00094949,13.0
10,",,W,",WSF2,2016-01-11T00:00:00,GHCND:USW00094949,16.1
11,",,W,",WSF2,2016-01-12T00:00:00,GHCND:USW00094949,17.0
12,",,W,",WSF2,2016-01-13T00:00:00,GHCND:USW00094949,15.0
13,",,W,",WSF2,2016-01-14T00:00:00,GHCND:USW00094949,19.9
14,",,W,",WSF2,2016-01-15T00:00:00,GHCND:USW00094949,31.1
15,",,W,",WSF2,2016-01-16T00:00:00,GHCND:USW00094949,23.0
16,",,W,",WSF2,2016-01-17T00:00:00,GHCND:USW00094949,19.9
17,",,W,",WSF2,2016-01-18T00:00:00,GHCND:USW00094949,16.1
18,",,W,",WSF2,2016-01-19T00:00:00,GHCND:USW00094949,16.1
19,",,W,",WSF2,2016-01-20T00:00:00,GHCND:USW00094949,16.1
20,",,W,",WSF2,2016-01-21T00:00:00,GHCND:USW00094949,19.9
21,",,W,",WSF2,2016-01-22T00:00:00,GHCND:USW00094949,16.1
22,",,W,",WSF2,2016-01-23T00:00:00,GHCND:USW00094949,21.0
23,",,W,",WSF2,2016-01-24T00:00:00,GHCND:USW00094949,14.1
24,",,W,",WSF2,2016-01-25T00:00:00,GHCND:USW00094949,29.1
25,",,W,",WSF2,2016-01-26T00:00:00,GHCND:USW00094949,15.0
26,",,W,",WSF2,2016-01-27T00:00:00,GHCND:USW00094949,17.0
27,",,W,",WSF2,2016-01-28T00:00:00,GHCND:USW00094949,15.0
28,",,W,",WSF2,2016-01-29T00:00:00,GHCND:USW00094949,23.9
29,",,W,",WSF2,2016-01-30T00:00:00,GHCND:USW00094949,19.9
30,",,W,",WSF2,2016-01-31T00:00:00,GHCND:USW00094949,23.0
31,",,W,",WSF2,2016-02-01T00:00:00,GHCND:USW00094949,23.9
32,",,W,",WSF2,2016-02-02T00:00:00,GHCND:USW00094949,42.9
33,",,W,",WSF2,2016-02-03T00:00:00,GHCND:USW00094949,36.9
34,",,W,",WSF2,2016-02-04T00:00:00,GHCND:USW00094949,13.0
35,",,W,",WSF2,2016-02-05T00:00:00,GHCND:USW00094949,19.9
36,",,W,",WSF2,2016-02-06T00:00:00,GHCND:USW00094949,17.0
37,",,W,",WSF2,2016-02-07T00:00:00,GHCND:USW00094949,47.0
38,",,W,",WSF2,2016-02-08T00:00:00,GHCND:USW00094949,36.9
39,",,W,",WSF2,2016-02-09T00:00:00,GHCND:USW00094949,23.9
40,",,W,",WSF2,2016-02-10T00:00:00,GHCND:USW00094949,18.1
41,",,W,",WSF2,2016-02-11T00:00:00,GHCND:USW00094949,17.0
42,",,W,",WSF2,2016-02-12T00:00:00,GHCND:USW00094949,19.9
43,",,W,",WSF2,2016-02-13T00:00:00,GHCND:USW00094949,17.0
44,",,W,",WSF2,2016-02-14T00:00:00,GHCND:USW00094949,16.1
45,",,W,",WSF2,2016-02-15T00:00:00,GHCND:USW00094949,16.1
46,",,W,",WSF2,2016-02-16T00:00:00,GHCND:USW00094949,32.0
47,",,W,",WSF2,2016-02-17T00:00:00,GHCND:USW00094949,16.1
48,",,W,",WSF2,2016-02-18T00:00:00,GHCND:USW00094949,15.0
49,",,W,",WSF2,2016-02-19T00:00:00,GHCND:USW00094949,38.0
50,",,W,",WSF2,2016-02-20T00:00:00,GHCND:USW00094949,14.1
51,",,W,",WSF2,2016-02-21T00:00:00,GHCND:USW00094949,21.0
52,",,W,",WSF2,2016-02-22T00:00:00,GHCND:USW00094949,13.0
53,",,W,",WSF2,2016-02-23T00:00:00,GHCND:USW00094949,30.0
54,",,W,",WSF2,2016-02-24T00:00:00,GHCND:USW00094949,33.1
55,",,W,",WSF2,2016-02-25T00:00:00,GHCND:USW00094949,25.1
56,",,W,",WSF2,2016-02-26T00:00:00,GHCND:USW00094949,23.9
57,",,W,",WSF2,2016-02-27T00:00:00,GHCND:USW00094949,21.9
58,",,W,",WSF2,2016-02-28T00:00:00,GHCND:USW00094949,38.0
59,",,W,",WSF2,2016-02-29T00:00:00,GHCND:USW00094949,28.0
60,",,W,",WSF2,2016-03-01T00:00:00,GHCND:USW00094949,18.1
61,",,W,",WSF2,2016-03-02T00:00:00,GHCND:USW00094949,23.0
62,",,W,",WSF2,2016-03-03T00:00:00,GHCND:USW00094949,21.9
63,",,W,",WSF2,2016-03-04T00:00:00,GHCND:USW00094949,28.0
64,",,W,",WSF2,2016-03-05T00:00:00,GHCND:USW00094949,16.1
65,",,W,",WSF2,2016-03-06T00:00:00,GHCND:USW00094949,23.0
66,",,W,",WSF2,2016-03-07T00:00:00,GHCND:USW00094949,25.9
67,",,W,",WSF2,2016-03-08T00:00:00,GHCND:USW00094949,18.1
