,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00014941,260
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00014941,290
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00014941,360
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00014941,170
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00014941,180
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00014941,180
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00014941,340
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00014941,330
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00014941,330
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00014941,210
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00014941,320
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00014941,340
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00014941,210
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00014941,310
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00014941,320
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00014941,340
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00014941,310
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00014941,120
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00014941,150
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00014941,170
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00014941,330
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00014941,340
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00014941,200
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00014941,110
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00014941,320
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00014941,320
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00014941,270
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00014941,320
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00014941,200
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00014941,200
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00014941,300
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00014941,70
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00014941,10
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00014941,330
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00014941,330
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00014941,180
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00014941,200
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00014941,330
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00014941,340
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00014941,340
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00014941,40
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00014941,150
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00014941,360
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00014941,140
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00014941,170
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00014941,190
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00014941,330
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00014941,130
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00014941,150
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00014941,300
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00014941,340
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00014941,320
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00014941,160
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00014941,340
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00014941,310
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00014941,330
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00014941,320
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00014941,220
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00014941,330
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00014941,40
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00014941,320
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00014941,140
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00014941,330
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00014941,330
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00014941,150
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00014941,210
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00014941,170
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00014941,290
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00014941,250
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00014941,120
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00014941,190
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00014941,140
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00014941,170
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00014941,220
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00014941,320
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00014941,290
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00014941,320
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00014941,310
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00014941,350
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00014941,330
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00014941,190
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00014941,200
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00014941,40
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00014941,10
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00014941,170
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00014941,330
86,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00014941,290
87,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00014941,170
88,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00014941,150
89,",,W,",WDF2,2016-03-30T00:00:00,GHCND:USW00014941,160
90,",,W,",WDF2,2016-03-31T00:00:00,GHCND:USW00014941,300
91,",,W,",WDF2,2016-04-01T00:00:00,GHCND:USW00014941,310
92,",,W,",WDF2,2016-04-02T00:00:00,GHCND:USW00014941,190
93,",,W,",WDF2,2016-04-03T00:00:00,GHCND:USW00014941,310
94,",,W,",WDF2,2016-04-04T00:00:00,GHCND:USW00014941,120
95,",,W,",WDF2,2016-04-05T00:00:00,GHCND:USW00014941,170
96,",,W,",WDF2,2016-04-06T00:00:00,GHCND:USW00014941,320
97,",,W,",WDF2,2016-04-07T00:00:00,GHCND:USW00014941,320
98,",,W,",WDF2,2016-04-08T00:00:00,GHCND:USW00014941,330
