,attributes,datatype,date,station,value
0,",,W,",WSF5,2016-01-01T00:00:00,GHCND:USW00094991,30.0
1,",,W,",WSF5,2016-01-02T00:00:00,GHCND:USW00094991,17.0
2,",,W,",WSF5,2016-01-03T00:00:00,GHCND:USW00094991,19.9
3,",,W,",WSF5,2016-01-04T00:00:00,GHCND:USW00094991,17.0
4,",,W,",WSF5,2016-01-05T00:00:00,GHCND:USW00094991,25.9
5,",,W,",WSF5,2016-01-06T00:00:00,GHCND:USW00094991,19.9
6,",,W,",WSF5,2016-01-07T00:00:00,GHCND:USW00094991,11.0
7,",,W,",WSF5,2016-01-08T00:00:00,GHCND:USW00094991,23.0
8,",,W,",WSF5,2016-01-09T00:00:00,GHCND:USW00094991,35.1
9,",,W,",WSF5,2016-01-10T00:00:00,GHCND:USW00094991,25.9
10,",,W,",WSF5,2016-01-11T00:00:00,GHCND:USW00094991,31.1
11,",,W,",WSF5,2016-01-12T00:00:00,GHCND:USW00094991,44.1
12,",,W,",WSF5,2016-01-13T00:00:00,GHCND:USW00094991,21.0
13,",,W,",WSF5,2016-01-14T00:00:00,GHCND:USW00094991,32.0
14,",,W,",WSF5,2016-01-15T00:00:00,GHCND:USW00094991,33.1
15,",,W,",WSF5,2016-01-16T00:00:00,GHCND:USW00094991,23.0
16,",,W,",WSF5,2016-01-17T00:00:00,GHCND:USW00094991,25.1
17,",,W,",WSF5,2016-01-18T00:00:00,GHCND:USW00094991,13.0
18,",,W,",WSF5,2016-01-19T00:00:00,GHCND:USW00094991,15.0
19,",,W,",WSF5,2016-01-20T00:00:00,GHCND:USW00094991,12.1
20,",,W,",WSF5,2016-01-21T00:00:00,GHCND:USW00094991,18.1
21,",,W,",WSF5,2016-01-22T00:00:00,GHCND:USW00094991,21.0
22,",,W,",WSF5,2016-01-23T00:00:00,GHCND:USW00094991,21.0
23,",,W,",WSF5,2016-01-24T00:00:00,GHCND:USW00094991,18.1
24,",,W,",WSF5,2016-01-25T00:00:00,GHCND:USW00094991,34.0
25,",,W,",WSF5,2016-01-26T00:00:00,GHCND:USW00094991,32.0
26,",,W,",WSF5,2016-01-27T00:00:00,GHCND:USW00094991,25.1
27,",,W,",WSF5,2016-01-28T00:00:00,GHCND:USW00094991,28.0
28,",,W,",WSF5,2016-01-29T00:00:00,GHCND:USW00094991,25.9
29,",,W,",WSF5,2016-01-30T00:00:00,GHCND:USW00094991,19.0
30,",,W,",WSF5,2016-01-31T00:00:00,GHCND:USW00094991,25.9
31,",,W,",WSF5,2016-02-01T00:00:00,GHCND:USW00094991,19.0
32,",,W,",WSF5,2016-02-02T00:00:00,GHCND:USW00094991,40.0
33,",,W,",WSF5,2016-02-03T00:00:00,GHCND:USW00094991,40.0
34,",,W,",WSF5,2016-02-04T00:00:00,GHCND:USW00094991,25.1
35,",,W,",WSF5,2016-02-05T00:00:00,GHCND:USW00094991,15.0
36,",,W,",WSF5,2016-02-06T00:00:00,GHCND:USW00094991,21.0
37,",,W,",WSF5,2016-02-07T00:00:00,GHCND:USW00094991,50.1
38,",,W,",WSF5,2016-02-08T00:00:00,GHCND:USW00094991,48.1
39,",,W,",WSF5,2016-02-09T00:00:00,GHCND:USW00094991,38.9
40,",,W,",WSF5,2016-02-10T00:00:00,GHCND:USW00094991,17.0
41,",,W,",WSF5,2016-02-11T00:00:00,GHCND:USW00094991,18.1
42,",,W,",WSF5,2016-02-12T00:00:00,GHCND:USW00094991,31.1
43,",,W,",WSF5,2016-02-13T00:00:00,GHCND:USW00094991,19.0
44,",,W,",WSF5,2016-02-14T00:00:00,GHCND:USW00094991,25.1
45,",,W,",WSF5,2016-02-15T00:00:00,GHCND:USW00094991,16.1
46,",,W,",WSF5,2016-02-16T00:00:00,GHCND:USW00094991,28.0
47,",,W,",WSF5,2016-02-17T00:00:00,GHCND:USW00094991,16.1
48,",,W,",WSF5,2016-02-18T00:00:00,GHCND:USW00094991,36.9
49,",,W,",WSF5,2016-02-19T00:00:00,GHCND:USW00094991,48.1
50,",,W,",WSF5,2016-02-20T00:00:00,GHCND:USW00094991,21.9
51,",,W,",WSF5,2016-02-21T00:00:00,GHCND:USW00094991,23.9
52,",,W,",WSF5,2016-02-22T00:00:00,GHCND:USW00094991,14.1
53,",,W,",WSF5,2016-02-23T00:00:00,GHCND:USW00094991,29.1
54,",,W,",WSF5,2016-02-24T00:00:00,GHCND:USW00094991,32.0
55,",,W,",WSF5,2016-02-25T00:00:00,GHCND:USW00094991,35.1
56,",,W,",WSF5,2016-02-26T00:00:00,GHCND:USW00094991,28.0
57,",,W,",WSF5,2016-02-27T00:00:00,GHCND:USW00094991,32.0
58,",,W,",WSF5,2016-02-28T00:00:00,GHCND:USW00094991,49.0
59,",,W,",WSF5,2016-02-29T00:00:00,GHCND:USW00094991,30.0
60,",,W,",WSF5,2016-03-01T00:00:00,GHCND:USW00094991,33.1
61,",,W,",WSF5,2016-03-02T00:00:00,GHCND:USW00094991,25.9
