,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00023091,60
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00023091,330
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00023091,280
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00023091,120
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00023091,140
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00023091,320
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00023091,270
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00023091,240
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00023091,300
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00023091,160
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00023091,160
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00023091,230
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00023091,230
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00023091,300
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00023091,240
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00023091,320
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00023091,320
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00023091,160
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00023091,290
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00023091,190
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00023091,320
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00023091,170
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00023091,170
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00023091,240
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00023091,50
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00023091,50
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00023091,210
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00023091,230
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00023091,220
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00023091,270
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00023091,280
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00023091,320
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00023091,310
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00023091,280
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00023091,170
