,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00094055,16.8
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00094055,7.8
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00094055,4.9
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00094055,8.1
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00094055,4.5
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00094055,8.5
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00094055,9.4
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00094055,10.3
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00094055,4.9
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00094055,11.4
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00094055,17.2
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00094055,9.6
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00094055,7.6
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00094055,15.2
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00094055,9.2
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00094055,7.8
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00094055,4.3
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00094055,13.2
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00094055,7.4
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00094055,6.0
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00094055,6.9
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00094055,11.2
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00094055,7.8
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00094055,7.6
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00094055,14.5
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00094055,7.6
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00094055,15.7
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00094055,8.5
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00094055,14.1
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00094055,11.0
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00094055,12.5
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00094055,3.8
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00094055,2.9
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00094055,9.6
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00094055,7.6
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00094055,13.9
