,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00024022,160
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00024022,300
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00024022,160
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00024022,200
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00024022,190
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00024022,210
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00024022,50
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00024022,160
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00024022,220
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00024022,230
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00024022,250
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00024022,270
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00024022,220
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00024022,260
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00024022,240
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00024022,240
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00024022,290
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00024022,250
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00024022,210
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00024022,260
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00024022,300
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00024022,240
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00024022,240
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00024022,320
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00024022,320
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00024022,240
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00024022,20
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00024022,230
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00024022,230
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00024022,220
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00024022,150
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00024022,140
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00024022,70
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00024022,250
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00024022,240
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00024022,230
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00024022,270
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00024022,270
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00024022,310
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00024022,320
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00024022,280
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00024022,280
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00024022,220
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00024022,280
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00024022,270
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00024022,260
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00024022,290
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00024022,240
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00024022,220
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00024022,270
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00024022,280
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00024022,310
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00024022,360
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00024022,340
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00024022,330
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00024022,290
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00024022,230
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00024022,280
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00024022,240
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00024022,270
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00024022,240
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00024022,270
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00024022,260
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00024022,320
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00024022,220
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00024022,230
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00024022,330
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00024022,310
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00024022,260
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00024022,230
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00024022,220
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00024022,290
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00024022,290
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00024022,290
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00024022,280
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00024022,300
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00024022,360
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00024022,40
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00024022,360
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00024022,230
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00024022,260
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00024022,230
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00024022,330
