,attributes,datatype,date,station,value
0,",,7,",TMIN,2016-05-01T00:00:00,GHCND:USC00106844,39.0
1,",,7,",TMIN,2016-05-02T00:00:00,GHCND:USC00106844,41.0
2,",,7,",TMIN,2016-05-03T00:00:00,GHCND:USC00106844,41.0
3,",,7,",TMIN,2016-05-04T00:00:00,GHCND:USC00106844,49.0
4,",,7,",TMIN,2016-05-05T00:00:00,GHCND:USC00106844,52.0
5,",,7,",TMIN,2016-05-06T00:00:00,GHCND:USC00106844,56.0
6,",,7,",TMIN,2016-05-07T00:00:00,GHCND:USC00106844,50.0
7,",,7,",TMIN,2016-05-08T00:00:00,GHCND:USC00106844,54.0
8,",,7,",TMIN,2016-05-09T00:00:00,GHCND:USC00106844,49.0
9,",,7,",TMIN,2016-05-10T00:00:00,GHCND:USC00106844,41.0
10,",,7,",TMIN,2016-05-11T00:00:00,GHCND:USC00106844,36.0
11,",,7,",TMIN,2016-05-12T00:00:00,GHCND:USC00106844,45.0
12,",,7,",TMIN,2016-05-13T00:00:00,GHCND:USC00106844,46.0
13,",,7,",TMIN,2016-05-14T00:00:00,GHCND:USC00106844,57.0
14,",,7,",TMIN,2016-05-15T00:00:00,GHCND:USC00106844,52.0
15,",,7,",TMIN,2016-05-16T00:00:00,GHCND:USC00106844,50.0
16,",,7,",TMIN,2016-05-17T00:00:00,GHCND:USC00106844,51.0
17,",,7,",TMIN,2016-05-18T00:00:00,GHCND:USC00106844,52.0
18,",,7,",TMIN,2016-05-19T00:00:00,GHCND:USC00106844,53.0
19,",,7,",TMIN,2016-05-20T00:00:00,GHCND:USC00106844,44.0
20,",,7,",TMIN,2016-05-21T00:00:00,GHCND:USC00106844,42.0
21,",,7,",TMIN,2016-05-22T00:00:00,GHCND:USC00106844,43.0
22,",,7,",TMIN,2016-05-23T00:00:00,GHCND:USC00106844,40.0
23,",,7,",TMIN,2016-05-24T00:00:00,GHCND:USC00106844,44.0
24,",,7,",TMIN,2016-05-25T00:00:00,GHCND:USC00106844,49.0
25,",,7,",TMIN,2016-05-26T00:00:00,GHCND:USC00106844,49.0
26,",,7,",TMIN,2016-05-27T00:00:00,GHCND:USC00106844,49.0
27,",,7,",TMIN,2016-05-28T00:00:00,GHCND:USC00106844,42.0
28,",,7,",TMIN,2016-05-29T00:00:00,GHCND:USC00106844,40.0
29,",,7,",TMIN,2016-05-30T00:00:00,GHCND:USC00106844,51.0
30,",,7,",TMIN,2016-05-31T00:00:00,GHCND:USC00106844,46.0
31,",,7,",TMIN,2016-06-01T00:00:00,GHCND:USC00106844,46.0
32,",,7,",TMIN,2016-06-02T00:00:00,GHCND:USC00106844,53.0
33,",,7,",TMIN,2016-06-03T00:00:00,GHCND:USC00106844,53.0
34,",,7,",TMIN,2016-06-04T00:00:00,GHCND:USC00106844,54.0
35,",,7,",TMIN,2016-06-05T00:00:00,GHCND:USC00106844,57.0
36,",,7,",TMIN,2016-06-06T00:00:00,GHCND:USC00106844,64.0
37,",,7,",TMIN,2016-06-07T00:00:00,GHCND:USC00106844,60.0
38,",,7,",TMIN,2016-06-08T00:00:00,GHCND:USC00106844,60.0
39,",,7,",TMIN,2016-06-09T00:00:00,GHCND:USC00106844,57.0
40,",,7,",TMIN,2016-06-10T00:00:00,GHCND:USC00106844,53.0
41,",,7,",TMIN,2016-06-11T00:00:00,GHCND:USC00106844,46.0
42,",,7,",TMIN,2016-06-12T00:00:00,GHCND:USC00106844,44.0
43,",,7,",TMIN,2016-06-13T00:00:00,GHCND:USC00106844,40.0
44,",,7,",TMIN,2016-06-14T00:00:00,GHCND:USC00106844,51.0
45,",,7,",TMIN,2016-06-15T00:00:00,GHCND:USC00106844,46.0
46,",,7,",TMIN,2016-06-16T00:00:00,GHCND:USC00106844,40.0
47,",,7,",TMIN,2016-06-17T00:00:00,GHCND:USC00106844,43.0
48,",,7,",TMIN,2016-06-18T00:00:00,GHCND:USC00106844,48.0
49,",,7,",TMIN,2016-06-19T00:00:00,GHCND:USC00106844,41.0
50,",,7,",TMIN,2016-06-20T00:00:00,GHCND:USC00106844,45.0
51,",,7,",TMIN,2016-06-21T00:00:00,GHCND:USC00106844,56.0
52,",,7,",TMIN,2016-06-22T00:00:00,GHCND:USC00106844,48.0
53,",,7,",TMIN,2016-06-23T00:00:00,GHCND:USC00106844,57.0
54,",,7,",TMIN,2016-06-24T00:00:00,GHCND:USC00106844,59.0
55,",,7,",TMIN,2016-06-25T00:00:00,GHCND:USC00106844,44.0
56,",,7,",TMIN,2016-06-26T00:00:00,GHCND:USC00106844,48.0
57,",,7,",TMIN,2016-06-27T00:00:00,GHCND:USC00106844,55.0
58,",,7,",TMIN,2016-06-28T00:00:00,GHCND:USC00106844,60.0
59,",,7,",TMIN,2016-06-29T00:00:00,GHCND:USC00106844,62.0
60,",,7,",TMIN,2016-06-30T00:00:00,GHCND:USC00106844,63.0
61,",,7,",TMIN,2016-07-01T00:00:00,GHCND:USC00106844,58.0
62,",,7,",TMIN,2016-07-02T00:00:00,GHCND:USC00106844,53.0
63,",,7,",TMIN,2016-07-03T00:00:00,GHCND:USC00106844,64.0
64,",,7,",TMIN,2016-07-04T00:00:00,GHCND:USC00106844,53.0
65,",,7,",TMIN,2016-07-05T00:00:00,GHCND:USC00106844,53.0
66,",,7,",TMIN,2016-07-06T00:00:00,GHCND:USC00106844,54.0
67,",,7,",TMIN,2016-07-07T00:00:00,GHCND:USC00106844,50.0
68,",,7,",TMIN,2016-07-08T00:00:00,GHCND:USC00106844,57.0
69,",,7,",TMIN,2016-07-09T00:00:00,GHCND:USC00106844,59.0
70,",,7,",TMIN,2016-07-10T00:00:00,GHCND:USC00106844,50.0
