,attributes,datatype,date,station,value
0,",,W,",WSF5,2016-01-01T00:00:00,GHCND:USW00024162,11.0
1,",,W,",WSF5,2016-01-02T00:00:00,GHCND:USW00024162,16.1
2,",,W,",WSF5,2016-01-03T00:00:00,GHCND:USW00024162,14.1
3,",,W,",WSF5,2016-01-04T00:00:00,GHCND:USW00024162,14.1
4,",,W,",WSF5,2016-01-05T00:00:00,GHCND:USW00024162,12.1
5,",,W,",WSF5,2016-01-06T00:00:00,GHCND:USW00024162,13.0
6,",,W,",WSF5,2016-01-07T00:00:00,GHCND:USW00024162,13.0
7,",,W,",WSF5,2016-01-08T00:00:00,GHCND:USW00024162,8.9
8,",,W,",WSF5,2016-01-09T00:00:00,GHCND:USW00024162,8.9
9,",,W,",WSF5,2016-01-10T00:00:00,GHCND:USW00024162,6.9
10,",,W,",WSF5,2016-01-11T00:00:00,GHCND:USW00024162,13.0
11,",,W,",WSF5,2016-01-12T00:00:00,GHCND:USW00024162,21.9
12,",,W,",WSF5,2016-01-13T00:00:00,GHCND:USW00024162,23.0
13,",,W,",WSF5,2016-01-14T00:00:00,GHCND:USW00024162,16.1
14,",,W,",WSF5,2016-01-15T00:00:00,GHCND:USW00024162,11.0
15,",,W,",WSF5,2016-01-16T00:00:00,GHCND:USW00024162,8.1
16,",,W,",WSF5,2016-01-17T00:00:00,GHCND:USW00024162,12.1
17,",,W,",WSF5,2016-01-18T00:00:00,GHCND:USW00024162,13.0
18,",,W,",WSF5,2016-01-19T00:00:00,GHCND:USW00024162,35.1
19,",,W,",WSF5,2016-01-20T00:00:00,GHCND:USW00024162,23.9
20,",,W,",WSF5,2016-01-21T00:00:00,GHCND:USW00024162,13.0
21,",,W,",WSF5,2016-01-22T00:00:00,GHCND:USW00024162,16.1
22,",,W,",WSF5,2016-01-23T00:00:00,GHCND:USW00024162,18.1
23,",,W,",WSF5,2016-01-24T00:00:00,GHCND:USW00024162,19.0
24,",,W,",WSF5,2016-01-25T00:00:00,GHCND:USW00024162,11.0
25,",,W,",WSF5,2016-01-26T00:00:00,GHCND:USW00024162,13.0
26,",,W,",WSF5,2016-01-27T00:00:00,GHCND:USW00024162,10.1
