,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00003981,360
1,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00003981,10
2,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00003981,130
3,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00003981,160
4,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00003981,230
5,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00003981,20
6,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00003981,350
7,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00003981,30
8,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00003981,240
9,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00003981,190
10,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00003981,230
11,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00003981,210
12,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00003981,60
13,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00003981,30
14,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00003981,10
15,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00003981,10
16,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00003981,360
17,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00003981,140
18,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00003981,350
19,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00003981,360
20,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00003981,140
21,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00003981,200
22,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00003981,320
23,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00003981,20
24,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00003981,230
25,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00003981,310
26,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00003981,200
27,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00003981,210
28,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00003981,350
29,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00003981,310
30,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00003981,290
31,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00003981,350
32,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00003981,220
33,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00003981,200
34,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00003981,340
35,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00003981,360
36,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00003981,340
37,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00003981,340
38,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00003981,220
39,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00003981,20
40,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00003981,50
41,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00003981,160
42,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00003981,360
43,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00003981,330
44,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00003981,10
45,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00003981,190
46,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00003981,200
47,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00003981,210
48,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00003981,40
49,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00003981,10
50,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00003981,70
51,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00003981,10
52,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00003981,310
53,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00003981,360
54,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00003981,220
55,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00003981,210
56,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00003981,360
57,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00003981,180
58,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00003981,10
59,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00003981,180
60,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00003981,10
61,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00003981,160
62,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00003981,120
63,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00003981,160
64,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00003981,150
65,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00003981,30
66,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00003981,30
67,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00003981,10
68,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00003981,100
69,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00003981,110
70,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00003981,300
71,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00003981,260
72,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00003981,350
73,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00003981,60
74,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00003981,110
75,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00003981,10
76,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00003981,20
77,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00003981,330
78,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00003981,190
79,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00003981,180
80,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00003981,320
81,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00003981,320
82,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00003981,150
83,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00003981,360
84,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00003981,360
