,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00093986,360
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00093986,280
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00093986,360
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00093986,60
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00093986,180
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00093986,170
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00093986,270
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00093986,50
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00093986,360
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00093986,30
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00093986,270
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00093986,200
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00093986,190
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00093986,200
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00093986,360
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00093986,70
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00093986,40
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00093986,60
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00093986,360
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00093986,160
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00093986,340
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00093986,360
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00093986,180
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00093986,200
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00093986,290
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00093986,30
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00093986,220
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00093986,330
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00093986,220
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00093986,190
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00093986,360
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00093986,290
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00093986,310
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00093986,340
