,attributes,datatype,date,station,value
0,",,7,",TMAX,2016-05-02T00:00:00,GHCND:USC00142686,62.0
1,",,7,",TMAX,2016-05-03T00:00:00,GHCND:USC00142686,61.0
2,",,7,",TMAX,2016-05-04T00:00:00,GHCND:USC00142686,72.0
3,",,7,",TMAX,2016-05-05T00:00:00,GHCND:USC00142686,71.0
4,",,7,",TMAX,2016-05-06T00:00:00,GHCND:USC00142686,79.0
5,",,7,",TMAX,2016-05-09T00:00:00,GHCND:USC00142686,84.0
6,",,7,",TMAX,2016-05-10T00:00:00,GHCND:USC00142686,77.0
7,",,7,",TMAX,2016-05-11T00:00:00,GHCND:USC00142686,83.0
8,",,7,",TMAX,2016-05-12T00:00:00,GHCND:USC00142686,78.0
9,",,7,",TMAX,2016-05-13T00:00:00,GHCND:USC00142686,74.0
10,",,7,",TMAX,2016-05-16T00:00:00,GHCND:USC00142686,70.0
11,",,7,",TMAX,2016-05-17T00:00:00,GHCND:USC00142686,56.0
12,",,7,",TMAX,2016-05-18T00:00:00,GHCND:USC00142686,59.0
13,",,7,",TMAX,2016-05-19T00:00:00,GHCND:USC00142686,67.0
14,",,7,",TMAX,2016-05-20T00:00:00,GHCND:USC00142686,62.0
15,",,7,",TMAX,2016-05-23T00:00:00,GHCND:USC00142686,81.0
16,",,7,",TMAX,2016-05-24T00:00:00,GHCND:USC00142686,70.0
17,",,7,",TMAX,2016-05-25T00:00:00,GHCND:USC00142686,82.0
18,",,7,",TMAX,2016-05-26T00:00:00,GHCND:USC00142686,84.0
19,",,7,",TMAX,2016-05-27T00:00:00,GHCND:USC00142686,85.0
20,",,7,",TMAX,2016-05-28T00:00:00,GHCND:USC00142686,84.0
21,",,7,",TMAX,2016-06-01T00:00:00,GHCND:USC00142686,79.0
22,",,7,",TMAX,2016-06-02T00:00:00,GHCND:USC00142686,81.0
23,",,7,",TMAX,2016-06-03T00:00:00,GHCND:USC00142686,82.0
24,",,7,",TMAX,2016-06-06T00:00:00,GHCND:USC00142686,83.0
25,",,7,",TMAX,2016-06-07T00:00:00,GHCND:USC00142686,88.0
26,",,7,",TMAX,2016-06-08T00:00:00,GHCND:USC00142686,82.0
27,",,7,",TMAX,2016-06-09T00:00:00,GHCND:USC00142686,89.0
28,",,7,",TMAX,2016-06-10T00:00:00,GHCND:USC00142686,88.0
29,",,7,",TMAX,2016-06-14T00:00:00,GHCND:USC00142686,86.0
30,",,7,",TMAX,2016-06-21T00:00:00,GHCND:USC00142686,95.0
31,",,7,",TMAX,2016-06-22T00:00:00,GHCND:USC00142686,96.0
32,",,7,",TMAX,2016-06-23T00:00:00,GHCND:USC00142686,99.0
33,",,7,",TMAX,2016-06-27T00:00:00,GHCND:USC00142686,93.0
34,",,7,",TMAX,2016-07-05T00:00:00,GHCND:USC00142686,89.0
35,",,7,",TMAX,2016-07-06T00:00:00,GHCND:USC00142686,94.0
36,",,7,",TMAX,2016-07-07T00:00:00,GHCND:USC00142686,91.0
37,",,7,",TMAX,2016-07-11T00:00:00,GHCND:USC00142686,91.0
38,",,7,",TMAX,2016-07-19T00:00:00,GHCND:USC00142686,92.0
39,",,7,",TMAX,2016-07-20T00:00:00,GHCND:USC00142686,92.0
40,",,7,",TMAX,2016-07-21T00:00:00,GHCND:USC00142686,94.0
41,",,7,",TMAX,2016-07-22T00:00:00,GHCND:USC00142686,95.0
42,",,7,",TMAX,2016-07-25T00:00:00,GHCND:USC00142686,98.0
43,",,7,",TMAX,2016-07-26T00:00:00,GHCND:USC00142686,83.0
44,",,7,",TMAX,2016-09-01T00:00:00,GHCND:USC00142686,90.0
45,",,7,",TMAX,2016-09-02T00:00:00,GHCND:USC00142686,90.0
46,",,7,",TMAX,2016-09-06T00:00:00,GHCND:USC00142686,91.0
47,",,7,",TMAX,2016-09-07T00:00:00,GHCND:USC00142686,91.0
48,",,7,",TMAX,2016-09-08T00:00:00,GHCND:USC00142686,91.0
49,",,7,",TMAX,2016-09-09T00:00:00,GHCND:USC00142686,90.0
50,",,7,",TMAX,2016-09-13T00:00:00,GHCND:USC00142686,91.0
51,",,7,",TMAX,2016-09-14T00:00:00,GHCND:USC00142686,91.0
52,",,7,",TMAX,2016-09-15T00:00:00,GHCND:USC00142686,91.0
53,",,7,",TMAX,2016-09-16T00:00:00,GHCND:USC00142686,91.0
54,",,7,",TMAX,2016-09-19T00:00:00,GHCND:USC00142686,87.0
55,",,7,",TMAX,2016-09-21T00:00:00,GHCND:USC00142686,93.0
56,",,7,",TMAX,2016-09-22T00:00:00,GHCND:USC00142686,90.0
57,",,7,",TMAX,2016-09-26T00:00:00,GHCND:USC00142686,89.0
58,",,7,",TMAX,2016-09-27T00:00:00,GHCND:USC00142686,89.0
59,",,7,",TMAX,2016-09-28T00:00:00,GHCND:USC00142686,89.0
60,",,7,",TMAX,2016-09-29T00:00:00,GHCND:USC00142686,72.0
61,",,7,",TMAX,2016-09-30T00:00:00,GHCND:USC00142686,71.0
