,attributes,datatype,date,station,value
0,",,7,",TMIN,2016-05-02T00:00:00,GHCND:USC00142686,43.0
1,",,7,",TMIN,2016-05-03T00:00:00,GHCND:USC00142686,41.0
2,",,7,",TMIN,2016-05-04T00:00:00,GHCND:USC00142686,41.0
3,",,7,",TMIN,2016-05-05T00:00:00,GHCND:USC00142686,44.0
4,",,7,",TMIN,2016-05-06T00:00:00,GHCND:USC00142686,44.0
5,",,7,",TMIN,2016-05-09T00:00:00,GHCND:USC00142686,53.0
6,",,7,",TMIN,2016-05-10T00:00:00,GHCND:USC00142686,53.0
7,",,7,",TMIN,2016-05-11T00:00:00,GHCND:USC00142686,54.0
8,",,7,",TMIN,2016-05-12T00:00:00,GHCND:USC00142686,56.0
9,",,7,",TMIN,2016-05-13T00:00:00,GHCND:USC00142686,50.0
10,",,7,",TMIN,2016-05-17T00:00:00,GHCND:USC00142686,49.0
11,",,7,",TMIN,2016-05-18T00:00:00,GHCND:USC00142686,46.0
12,",,7,",TMIN,2016-05-19T00:00:00,GHCND:USC00142686,47.0
13,",,7,",TMIN,2016-05-20T00:00:00,GHCND:USC00142686,51.0
14,",,7,",TMIN,2016-05-23T00:00:00,GHCND:USC00142686,50.0
15,",,7,",TMIN,2016-05-24T00:00:00,GHCND:USC00142686,65.0
16,",,7,",TMIN,2016-05-25T00:00:00,GHCND:USC00142686,62.0
17,",,7,",TMIN,2016-05-26T00:00:00,GHCND:USC00142686,65.0
18,",,7,",TMIN,2016-05-27T00:00:00,GHCND:USC00142686,58.0
19,",,7,",TMIN,2016-05-28T00:00:00,GHCND:USC00142686,57.0
20,",,7,",TMIN,2016-06-01T00:00:00,GHCND:USC00142686,61.0
21,",,7,",TMIN,2016-06-02T00:00:00,GHCND:USC00142686,62.0
22,",,7,",TMIN,2016-06-03T00:00:00,GHCND:USC00142686,60.0
23,",,7,",TMIN,2016-06-06T00:00:00,GHCND:USC00142686,57.0
24,",,7,",TMIN,2016-06-07T00:00:00,GHCND:USC00142686,60.0
25,",,7,",TMIN,2016-06-08T00:00:00,GHCND:USC00142686,60.0
26,",,7,",TMIN,2016-06-09T00:00:00,GHCND:USC00142686,63.0
27,",,7,",TMIN,2016-06-10T00:00:00,GHCND:USC00142686,68.0
28,",,7,",TMIN,2016-06-14T00:00:00,GHCND:USC00142686,70.0
29,",,7,",TMIN,2016-06-21T00:00:00,GHCND:USC00142686,68.0
30,",,7,",TMIN,2016-06-22T00:00:00,GHCND:USC00142686,72.0
31,",,7,",TMIN,2016-06-23T00:00:00,GHCND:USC00142686,75.0
32,",,7,",TMIN,2016-06-27T00:00:00,GHCND:USC00142686,71.0
33,",,7,",TMIN,2016-07-06T00:00:00,GHCND:USC00142686,67.0
34,",,7,",TMIN,2016-07-19T00:00:00,GHCND:USC00142686,65.0
35,",,7,",TMIN,2016-07-20T00:00:00,GHCND:USC00142686,73.0
36,",,7,",TMIN,2016-07-21T00:00:00,GHCND:USC00142686,73.0
37,",,7,",TMIN,2016-07-22T00:00:00,GHCND:USC00142686,74.0
38,",,7,",TMIN,2016-07-25T00:00:00,GHCND:USC00142686,72.0
39,",,7,",TMIN,2016-07-26T00:00:00,GHCND:USC00142686,69.0
40,",,7,",TMIN,2016-09-01T00:00:00,GHCND:USC00142686,68.0
41,",,7,",TMIN,2016-09-02T00:00:00,GHCND:USC00142686,61.0
42,",,7,",TMIN,2016-09-06T00:00:00,GHCND:USC00142686,57.0
43,",,7,",TMIN,2016-09-07T00:00:00,GHCND:USC00142686,57.0
44,",,7,",TMIN,2016-09-08T00:00:00,GHCND:USC00142686,57.0
45,",,7,",TMIN,2016-09-09T00:00:00,GHCND:USC00142686,56.0
46,",,7,",TMIN,2016-09-13T00:00:00,GHCND:USC00142686,52.0
47,",,7,",TMIN,2016-09-14T00:00:00,GHCND:USC00142686,52.0
48,",,7,",TMIN,2016-09-15T00:00:00,GHCND:USC00142686,52.0
49,",,7,",TMIN,2016-09-16T00:00:00,GHCND:USC00142686,52.0
50,",,7,",TMIN,2016-09-19T00:00:00,GHCND:USC00142686,58.0
51,",,7,",TMIN,2016-09-21T00:00:00,GHCND:USC00142686,66.0
52,",,7,",TMIN,2016-09-22T00:00:00,GHCND:USC00142686,66.0
53,",,7,",TMIN,2016-09-26T00:00:00,GHCND:USC00142686,52.0
54,",,7,",TMIN,2016-09-27T00:00:00,GHCND:USC00142686,49.0
55,",,7,",TMIN,2016-09-28T00:00:00,GHCND:USC00142686,49.0
56,",,7,",TMIN,2016-09-29T00:00:00,GHCND:USC00142686,51.0
57,",,7,",TMIN,2016-09-30T00:00:00,GHCND:USC00142686,47.0
