,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00003974,220
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00003974,260
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00003974,340
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00003974,130
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00003974,170
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00003974,170
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00003974,160
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00003974,350
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00003974,350
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00003974,350
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00003974,220
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00003974,30
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00003974,200
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00003974,190
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00003974,340
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00003974,220
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00003974,30
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00003974,150
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00003974,110
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00003974,100
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00003974,350
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00003974,360
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00003974,180
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00003974,190
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00003974,310
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00003974,330
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00003974,200
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00003974,340
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00003974,200
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00003974,170
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00003974,340
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00003974,80
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00003974,310
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00003974,330
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00003974,250
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00003974,300
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00003974,210
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00003974,330
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00003974,330
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00003974,340
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00003974,220
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00003974,30
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00003974,360
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00003974,130
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00003974,350
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00003974,320
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00003974,330
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00003974,200
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00003974,200
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00003974,200
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00003974,360
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00003974,360
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00003974,120
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00003974,340
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00003974,340
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00003974,350
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00003974,200
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00003974,200
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00003974,340
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00003974,340
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00003974,360
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00003974,210
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00003974,350
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00003974,220
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00003974,150
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00003974,190
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00003974,190
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00003974,180
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00003974,90
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00003974,90
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00003974,90
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00003974,160
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00003974,140
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00003974,170
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00003974,330
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00003974,290
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00003974,20
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00003974,30
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00003974,320
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00003974,330
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00003974,210
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00003974,180
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00003974,200
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00003974,340
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00003974,150
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00003974,340
86,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00003974,360
87,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00003974,170
88,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00003974,160
89,",,W,",WDF2,2016-03-30T00:00:00,GHCND:USW00003974,170
90,",,W,",WDF2,2016-03-31T00:00:00,GHCND:USW00003974,310
91,",,W,",WDF2,2016-04-01T00:00:00,GHCND:USW00003974,320
92,",,W,",WDF2,2016-04-02T00:00:00,GHCND:USW00003974,310
93,",,W,",WDF2,2016-04-03T00:00:00,GHCND:USW00003974,220
94,",,W,",WDF2,2016-04-04T00:00:00,GHCND:USW00003974,60
95,",,W,",WDF2,2016-04-05T00:00:00,GHCND:USW00003974,200
96,",,W,",WDF2,2016-04-06T00:00:00,GHCND:USW00003974,310
97,",,W,",WDF2,2016-04-07T00:00:00,GHCND:USW00003974,330
98,",,W,",WDF2,2016-04-08T00:00:00,GHCND:USW00003974,260
99,",,W,",WDF2,2016-04-09T00:00:00,GHCND:USW00003974,180
100,",,W,",WDF2,2016-04-10T00:00:00,GHCND:USW00003974,180
101,",,W,",WDF2,2016-04-11T00:00:00,GHCND:USW00003974,40
102,",,W,",WDF2,2016-04-12T00:00:00,GHCND:USW00003974,150
103,",,W,",WDF2,2016-04-13T00:00:00,GHCND:USW00003974,160
104,",,W,",WDF2,2016-04-14T00:00:00,GHCND:USW00003974,170
105,",,W,",WDF2,2016-04-15T00:00:00,GHCND:USW00003974,150
106,",,W,",WDF2,2016-04-16T00:00:00,GHCND:USW00003974,130
107,",,W,",WDF2,2016-04-17T00:00:00,GHCND:USW00003974,140
108,",,W,",WDF2,2016-04-18T00:00:00,GHCND:USW00003974,310
109,",,W,",WDF2,2016-04-19T00:00:00,GHCND:USW00003974,350
110,",,W,",WDF2,2016-04-20T00:00:00,GHCND:USW00003974,350
111,",,W,",WDF2,2016-04-21T00:00:00,GHCND:USW00003974,320
112,",,W,",WDF2,2016-04-22T00:00:00,GHCND:USW00003974,330
113,",,W,",WDF2,2016-04-23T00:00:00,GHCND:USW00003974,170
114,",,W,",WDF2,2016-04-24T00:00:00,GHCND:USW00003974,170
115,",,W,",WDF2,2016-04-25T00:00:00,GHCND:USW00003974,190
116,",,W,",WDF2,2016-04-26T00:00:00,GHCND:USW00003974,260
117,",,W,",WDF2,2016-04-27T00:00:00,GHCND:USW00003974,300
118,",,W,",WDF2,2016-04-28T00:00:00,GHCND:USW00003974,330
119,",,W,",WDF2,2016-04-29T00:00:00,GHCND:USW00003974,280
120,",,W,",WDF2,2016-04-30T00:00:00,GHCND:USW00003974,290
121,",,W,",WDF2,2016-05-01T00:00:00,GHCND:USW00003974,330
122,",,W,",WDF2,2016-05-02T00:00:00,GHCND:USW00003974,350
123,",,W,",WDF2,2016-05-03T00:00:00,GHCND:USW00003974,220
124,",,W,",WDF2,2016-05-04T00:00:00,GHCND:USW00003974,340
125,",,W,",WDF2,2016-05-05T00:00:00,GHCND:USW00003974,330
126,",,W,",WDF2,2016-05-06T00:00:00,GHCND:USW00003974,180
127,",,W,",WDF2,2016-05-07T00:00:00,GHCND:USW00003974,210
128,",,W,",WDF2,2016-05-08T00:00:00,GHCND:USW00003974,150
129,",,W,",WDF2,2016-05-09T00:00:00,GHCND:USW00003974,250
130,",,W,",WDF2,2016-05-10T00:00:00,GHCND:USW00003974,160
131,",,W,",WDF2,2016-05-11T00:00:00,GHCND:USW00003974,350
132,",,W,",WDF2,2016-05-12T00:00:00,GHCND:USW00003974,350
133,",,W,",WDF2,2016-05-13T00:00:00,GHCND:USW00003974,330
134,",,W,",WDF2,2016-05-14T00:00:00,GHCND:USW00003974,10
135,",,W,",WDF2,2016-05-15T00:00:00,GHCND:USW00003974,130
136,",,W,",WDF2,2016-05-16T00:00:00,GHCND:USW00003974,60
137,",,W,",WDF2,2016-05-17T00:00:00,GHCND:USW00003974,30
138,",,W,",WDF2,2016-05-18T00:00:00,GHCND:USW00003974,120
139,",,W,",WDF2,2016-05-19T00:00:00,GHCND:USW00003974,130
140,",,W,",WDF2,2016-05-20T00:00:00,GHCND:USW00003974,120
141,",,W,",WDF2,2016-05-21T00:00:00,GHCND:USW00003974,120
142,",,W,",WDF2,2016-05-22T00:00:00,GHCND:USW00003974,150
143,",,W,",WDF2,2016-05-23T00:00:00,GHCND:USW00003974,150
144,",,W,",WDF2,2016-05-24T00:00:00,GHCND:USW00003974,330
