,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00013932,1249
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00013932,1453
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00013932,1249
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00013932,1939
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00013932,937
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00013932,1302
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00013932,203
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00013932,2129
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00013932,942
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00013932,12
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00013932,1243
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00013932,923
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00013932,210
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00013932,1506
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00013932,946
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00013932,530
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00013932,559
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00013932,1617
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00013932,709
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00013932,1610
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00013932,2345
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00013932,1022
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00013932,1531
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00013932,2335
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00013932,1013
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00013932,1404
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00013932,1528
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00013932,1546
28,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00013932,1254
29,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00013932,2119
30,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00013932,941
31,",,W,",PGTM,2016-02-01T00:00:00,GHCND:USW00013932,1235
32,",,W,",PGTM,2016-02-02T00:00:00,GHCND:USW00013932,1446
33,",,W,",PGTM,2016-02-03T00:00:00,GHCND:USW00013932,19
34,",,W,",PGTM,2016-02-04T00:00:00,GHCND:USW00013932,1547
35,",,W,",PGTM,2016-02-05T00:00:00,GHCND:USW00013932,2230
36,",,W,",PGTM,2016-02-06T00:00:00,GHCND:USW00013932,1410
37,",,W,",PGTM,2016-02-07T00:00:00,GHCND:USW00013932,1604
38,",,W,",PGTM,2016-02-08T00:00:00,GHCND:USW00013932,1517
39,",,W,",PGTM,2016-02-09T00:00:00,GHCND:USW00013932,1405
40,",,W,",PGTM,2016-02-10T00:00:00,GHCND:USW00013932,1432
41,",,W,",PGTM,2016-02-11T00:00:00,GHCND:USW00013932,432
42,",,W,",PGTM,2016-02-12T00:00:00,GHCND:USW00013932,902
