,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00014771,13.2
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00014771,11.4
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00014771,13.6
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00014771,10.1
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00014771,4.7
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00014771,3.1
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00014771,2.9
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00014771,6.9
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00014771,9.2
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00014771,18.1
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00014771,19.9
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00014771,15.0
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00014771,13.9
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00014771,10.3
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00014771,7.6
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00014771,10.7
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00014771,8.5
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00014771,18.1
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00014771,16.3
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00014771,5.6
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00014771,5.1
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00014771,2.2
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00014771,4.7
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00014771,2.9
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00014771,6.5
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00014771,14.3
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00014771,11.0
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00014771,9.6
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00014771,13.4
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00014771,10.5
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00014771,6.9
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00014771,11.9
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00014771,6.9
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00014771,11.9
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00014771,10.3
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00014771,9.4
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00014771,7.8
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00014771,4.3
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00014771,10.5
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00014771,6.5
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00014771,14.3
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00014771,16.1
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00014771,13.2
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00014771,14.3
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00014771,3.4
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00014771,10.1
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00014771,9.8
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00014771,10.1
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00014771,5.8
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00014771,12.8
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00014771,12.8
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00014771,7.6
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00014771,6.7
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00014771,6.7
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00014771,11.0
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00014771,10.5
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00014771,15.9
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00014771,12.1
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00014771,11.4
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00014771,18.3
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00014771,9.4
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00014771,18.8
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00014771,5.6
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00014771,5.4
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00014771,1.6
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00014771,2.7
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00014771,6.3
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00014771,3.1
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00014771,10.5
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00014771,7.4
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00014771,8.1
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00014771,5.4
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00014771,6.5
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00014771,11.4
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00014771,6.0
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00014771,5.8
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00014771,12.3
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00014771,11.6
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00014771,6.7
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00014771,2.9
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00014771,13.9
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00014771,8.7
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00014771,6.5
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00014771,12.8
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00014771,11.9
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00014771,3.8
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00014771,8.5
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00014771,15.9
88,",,W,",AWND,2016-03-29T00:00:00,GHCND:USW00014771,15.0
89,",,W,",AWND,2016-03-30T00:00:00,GHCND:USW00014771,10.1
90,",,W,",AWND,2016-03-31T00:00:00,GHCND:USW00014771,14.3
91,",,W,",AWND,2016-04-01T00:00:00,GHCND:USW00014771,13.4
92,",,W,",AWND,2016-04-02T00:00:00,GHCND:USW00014771,8.5
93,",,W,",AWND,2016-04-03T00:00:00,GHCND:USW00014771,15.9
94,",,W,",AWND,2016-04-04T00:00:00,GHCND:USW00014771,10.5
95,",,W,",AWND,2016-04-05T00:00:00,GHCND:USW00014771,5.4
96,",,W,",AWND,2016-04-06T00:00:00,GHCND:USW00014771,9.8
97,",,W,",AWND,2016-04-07T00:00:00,GHCND:USW00014771,11.0
98,",,W,",AWND,2016-04-08T00:00:00,GHCND:USW00014771,14.3
99,",,W,",AWND,2016-04-09T00:00:00,GHCND:USW00014771,9.8
100,",,W,",AWND,2016-04-10T00:00:00,GHCND:USW00014771,5.8
101,",,W,",AWND,2016-04-11T00:00:00,GHCND:USW00014771,10.3
102,",,W,",AWND,2016-04-12T00:00:00,GHCND:USW00014771,12.8
103,",,W,",AWND,2016-04-13T00:00:00,GHCND:USW00014771,6.3
104,",,W,",AWND,2016-04-14T00:00:00,GHCND:USW00014771,2.9
105,",,W,",AWND,2016-04-15T00:00:00,GHCND:USW00014771,5.6
106,",,W,",AWND,2016-04-16T00:00:00,GHCND:USW00014771,4.9
107,",,W,",AWND,2016-04-17T00:00:00,GHCND:USW00014771,3.8
108,",,W,",AWND,2016-04-18T00:00:00,GHCND:USW00014771,5.8
109,",,W,",AWND,2016-04-19T00:00:00,GHCND:USW00014771,11.4
110,",,W,",AWND,2016-04-20T00:00:00,GHCND:USW00014771,4.0
111,",,W,",AWND,2016-04-21T00:00:00,GHCND:USW00014771,5.6
112,",,W,",AWND,2016-04-22T00:00:00,GHCND:USW00014771,8.5
113,",,W,",AWND,2016-04-23T00:00:00,GHCND:USW00014771,11.2
114,",,W,",AWND,2016-04-24T00:00:00,GHCND:USW00014771,4.3
115,",,W,",AWND,2016-04-25T00:00:00,GHCND:USW00014771,3.6
116,",,W,",AWND,2016-04-26T00:00:00,GHCND:USW00014771,6.7
117,",,W,",AWND,2016-04-27T00:00:00,GHCND:USW00014771,4.7
118,",,W,",AWND,2016-04-28T00:00:00,GHCND:USW00014771,4.0
119,",,W,",AWND,2016-04-29T00:00:00,GHCND:USW00014771,3.1
120,",,W,",AWND,2016-04-30T00:00:00,GHCND:USW00014771,4.0
121,",,W,",AWND,2016-05-01T00:00:00,GHCND:USW00014771,8.9
