,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00014771,240
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00014771,250
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00014771,250
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00014771,330
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00014771,280
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00014771,130
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00014771,90
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00014771,150
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00014771,150
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00014771,250
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00014771,240
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00014771,250
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00014771,250
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00014771,260
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00014771,50
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00014771,270
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00014771,280
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00014771,260
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00014771,280
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00014771,300
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00014771,300
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00014771,330
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00014771,310
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00014771,250
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00014771,150
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00014771,250
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00014771,250
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00014771,180
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00014771,270
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00014771,210
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00014771,180
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00014771,280
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00014771,80
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00014771,150
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00014771,250
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00014771,280
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00014771,220
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00014771,130
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00014771,130
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00014771,90
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00014771,250
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00014771,260
