,attributes,datatype,date,station,value
0,",,W,",PGTM,2016-01-01T00:00:00,GHCND:USW00026409,2324
1,",,W,",PGTM,2016-01-02T00:00:00,GHCND:USW00026409,1342
2,",,W,",PGTM,2016-01-03T00:00:00,GHCND:USW00026409,119
3,",,W,",PGTM,2016-01-04T00:00:00,GHCND:USW00026409,709
4,",,W,",PGTM,2016-01-05T00:00:00,GHCND:USW00026409,601
5,",,W,",PGTM,2016-01-06T00:00:00,GHCND:USW00026409,1311
6,",,W,",PGTM,2016-01-07T00:00:00,GHCND:USW00026409,1009
7,",,W,",PGTM,2016-01-08T00:00:00,GHCND:USW00026409,2345
8,",,W,",PGTM,2016-01-09T00:00:00,GHCND:USW00026409,1410
9,",,W,",PGTM,2016-01-10T00:00:00,GHCND:USW00026409,1702
10,",,W,",PGTM,2016-01-11T00:00:00,GHCND:USW00026409,223
11,",,W,",PGTM,2016-01-12T00:00:00,GHCND:USW00026409,1627
12,",,W,",PGTM,2016-01-13T00:00:00,GHCND:USW00026409,2358
13,",,W,",PGTM,2016-01-14T00:00:00,GHCND:USW00026409,1908
14,",,W,",PGTM,2016-01-15T00:00:00,GHCND:USW00026409,1323
15,",,W,",PGTM,2016-01-16T00:00:00,GHCND:USW00026409,514
16,",,W,",PGTM,2016-01-17T00:00:00,GHCND:USW00026409,500
17,",,W,",PGTM,2016-01-18T00:00:00,GHCND:USW00026409,2115
18,",,W,",PGTM,2016-01-19T00:00:00,GHCND:USW00026409,1334
19,",,W,",PGTM,2016-01-20T00:00:00,GHCND:USW00026409,1056
20,",,W,",PGTM,2016-01-21T00:00:00,GHCND:USW00026409,802
21,",,W,",PGTM,2016-01-22T00:00:00,GHCND:USW00026409,1232
22,",,W,",PGTM,2016-01-23T00:00:00,GHCND:USW00026409,1741
23,",,W,",PGTM,2016-01-24T00:00:00,GHCND:USW00026409,413
24,",,W,",PGTM,2016-01-25T00:00:00,GHCND:USW00026409,746
25,",,W,",PGTM,2016-01-26T00:00:00,GHCND:USW00026409,1856
26,",,W,",PGTM,2016-01-27T00:00:00,GHCND:USW00026409,727
27,",,W,",PGTM,2016-01-28T00:00:00,GHCND:USW00026409,2005
28,",,W,",PGTM,2016-01-29T00:00:00,GHCND:USW00026409,240
29,",,W,",PGTM,2016-01-30T00:00:00,GHCND:USW00026409,534
30,",,W,",PGTM,2016-01-31T00:00:00,GHCND:USW00026409,1527
31,",,W,",PGTM,2016-02-01T00:00:00,GHCND:USW00026409,1124
32,",,W,",PGTM,2016-02-02T00:00:00,GHCND:USW00026409,1524
33,",,W,",PGTM,2016-02-03T00:00:00,GHCND:USW00026409,913
34,",,W,",PGTM,2016-02-04T00:00:00,GHCND:USW00026409,2000
35,",,W,",PGTM,2016-02-05T00:00:00,GHCND:USW00026409,19
36,",,W,",PGTM,2016-02-06T00:00:00,GHCND:USW00026409,755
37,",,W,",PGTM,2016-02-07T00:00:00,GHCND:USW00026409,39
38,",,W,",PGTM,2016-02-08T00:00:00,GHCND:USW00026409,1236
39,",,W,",PGTM,2016-02-09T00:00:00,GHCND:USW00026409,1936
40,",,W,",PGTM,2016-02-10T00:00:00,GHCND:USW00026409,1412
41,",,W,",PGTM,2016-02-11T00:00:00,GHCND:USW00026409,123
42,",,W,",PGTM,2016-02-12T00:00:00,GHCND:USW00026409,1358
43,",,W,",PGTM,2016-02-13T00:00:00,GHCND:USW00026409,514
44,",,W,",PGTM,2016-02-14T00:00:00,GHCND:USW00026409,2015
45,",,W,",PGTM,2016-02-15T00:00:00,GHCND:USW00026409,1659
46,",,W,",PGTM,2016-02-16T00:00:00,GHCND:USW00026409,1540
47,",,W,",PGTM,2016-02-17T00:00:00,GHCND:USW00026409,1424
48,",,W,",PGTM,2016-02-18T00:00:00,GHCND:USW00026409,214
49,",,W,",PGTM,2016-02-19T00:00:00,GHCND:USW00026409,1218
50,",,W,",PGTM,2016-02-20T00:00:00,GHCND:USW00026409,1857
51,",,W,",PGTM,2016-02-21T00:00:00,GHCND:USW00026409,1558
52,",,W,",PGTM,2016-02-22T00:00:00,GHCND:USW00026409,1926
53,",,W,",PGTM,2016-02-23T00:00:00,GHCND:USW00026409,6
54,",,W,",PGTM,2016-02-24T00:00:00,GHCND:USW00026409,948
55,",,W,",PGTM,2016-02-25T00:00:00,GHCND:USW00026409,505
56,",,W,",PGTM,2016-02-26T00:00:00,GHCND:USW00026409,2335
57,",,W,",PGTM,2016-02-27T00:00:00,GHCND:USW00026409,256
58,",,W,",PGTM,2016-02-28T00:00:00,GHCND:USW00026409,2206
59,",,W,",PGTM,2016-02-29T00:00:00,GHCND:USW00026409,105
60,",,W,",PGTM,2016-03-01T00:00:00,GHCND:USW00026409,244
61,",,W,",PGTM,2016-03-02T00:00:00,GHCND:USW00026409,1506
62,",,W,",PGTM,2016-03-03T00:00:00,GHCND:USW00026409,1250
63,",,W,",PGTM,2016-03-04T00:00:00,GHCND:USW00026409,701
64,",,W,",PGTM,2016-03-05T00:00:00,GHCND:USW00026409,423
65,",,W,",PGTM,2016-03-06T00:00:00,GHCND:USW00026409,1435
66,",,W,",PGTM,2016-03-07T00:00:00,GHCND:USW00026409,918
67,",,W,",PGTM,2016-03-08T00:00:00,GHCND:USW00026409,1611
68,",,W,",PGTM,2016-03-09T00:00:00,GHCND:USW00026409,1524
69,",,W,",PGTM,2016-03-10T00:00:00,GHCND:USW00026409,1243
70,",,W,",PGTM,2016-03-11T00:00:00,GHCND:USW00026409,740
71,",,W,",PGTM,2016-03-12T00:00:00,GHCND:USW00026409,1518
72,",,W,",PGTM,2016-03-13T00:00:00,GHCND:USW00026409,1450
73,",,W,",PGTM,2016-03-14T00:00:00,GHCND:USW00026409,1400
74,",,W,",PGTM,2016-03-15T00:00:00,GHCND:USW00026409,1501
75,",,W,",PGTM,2016-03-16T00:00:00,GHCND:USW00026409,956
76,",,W,",PGTM,2016-03-17T00:00:00,GHCND:USW00026409,1817
77,",,W,",PGTM,2016-03-18T00:00:00,GHCND:USW00026409,2247
78,",,W,",PGTM,2016-03-19T00:00:00,GHCND:USW00026409,228
79,",,W,",PGTM,2016-03-20T00:00:00,GHCND:USW00026409,352
80,",,W,",PGTM,2016-03-21T00:00:00,GHCND:USW00026409,1606
81,",,W,",PGTM,2016-03-22T00:00:00,GHCND:USW00026409,905
82,",,W,",PGTM,2016-03-23T00:00:00,GHCND:USW00026409,1155
83,",,W,",PGTM,2016-03-24T00:00:00,GHCND:USW00026409,1646
84,",,W,",PGTM,2016-03-25T00:00:00,GHCND:USW00026409,1539
85,",,W,",PGTM,2016-03-26T00:00:00,GHCND:USW00026409,1526
86,",,W,",PGTM,2016-03-27T00:00:00,GHCND:USW00026409,1233
87,",,W,",PGTM,2016-03-28T00:00:00,GHCND:USW00026409,1801
88,",,W,",PGTM,2016-03-29T00:00:00,GHCND:USW00026409,1139
89,",,W,",PGTM,2016-03-30T00:00:00,GHCND:USW00026409,1611
90,",,W,",PGTM,2016-03-31T00:00:00,GHCND:USW00026409,1323
91,",,W,",PGTM,2016-04-01T00:00:00,GHCND:USW00026409,1648
92,",,W,",PGTM,2016-04-02T00:00:00,GHCND:USW00026409,1439
93,",,W,",PGTM,2016-04-03T00:00:00,GHCND:USW00026409,1546
94,",,W,",PGTM,2016-04-04T00:00:00,GHCND:USW00026409,1506
