,attributes,datatype,date,station,value
0,",,W,",TMAX,2016-01-01T00:00:00,GHCND:USW00026409,40.0
1,",,W,",TMAX,2016-01-02T00:00:00,GHCND:USW00026409,46.0
2,",,W,",TMAX,2016-01-03T00:00:00,GHCND:USW00026409,44.0
3,",,W,",TMAX,2016-01-04T00:00:00,GHCND:USW00026409,35.0
4,",,W,",TMAX,2016-01-05T00:00:00,GHCND:USW00026409,47.0
5,",,W,",TMAX,2016-01-06T00:00:00,GHCND:USW00026409,29.0
6,",,W,",TMAX,2016-01-07T00:00:00,GHCND:USW00026409,25.0
7,",,W,",TMAX,2016-01-08T00:00:00,GHCND:USW00026409,25.0
8,",,W,",TMAX,2016-01-09T00:00:00,GHCND:USW00026409,41.0
9,",,W,",TMAX,2016-01-10T00:00:00,GHCND:USW00026409,36.0
10,",,W,",TMAX,2016-01-11T00:00:00,GHCND:USW00026409,36.0
11,",,W,",TMAX,2016-01-12T00:00:00,GHCND:USW00026409,31.0
12,",,W,",TMAX,2016-01-13T00:00:00,GHCND:USW00026409,31.0
13,",,W,",TMAX,2016-01-14T00:00:00,GHCND:USW00026409,30.0
14,",,W,",TMAX,2016-01-15T00:00:00,GHCND:USW00026409,22.0
15,",,W,",TMAX,2016-01-16T00:00:00,GHCND:USW00026409,22.0
16,",,W,",TMAX,2016-01-17T00:00:00,GHCND:USW00026409,24.0
17,",,W,",TMAX,2016-01-18T00:00:00,GHCND:USW00026409,28.0
18,",,W,",TMAX,2016-01-19T00:00:00,GHCND:USW00026409,28.0
19,",,W,",TMAX,2016-01-20T00:00:00,GHCND:USW00026409,25.0
20,",,W,",TMAX,2016-01-21T00:00:00,GHCND:USW00026409,26.0
21,",,W,",TMAX,2016-01-22T00:00:00,GHCND:USW00026409,25.0
22,",,W,",TMAX,2016-01-23T00:00:00,GHCND:USW00026409,26.0
23,",,W,",TMAX,2016-01-25T00:00:00,GHCND:USW00026409,35.0
24,",,W,",TMAX,2016-01-26T00:00:00,GHCND:USW00026409,33.0
25,",,W,",TMAX,2016-01-27T00:00:00,GHCND:USW00026409,45.0
26,",,W,",TMAX,2016-01-28T00:00:00,GHCND:USW00026409,38.0
27,",,W,",TMAX,2016-01-29T00:00:00,GHCND:USW00026409,39.0
28,",,W,",TMAX,2016-01-30T00:00:00,GHCND:USW00026409,33.0
29,",,W,",TMAX,2016-01-31T00:00:00,GHCND:USW00026409,28.0
30,",,W,",TMAX,2016-02-01T00:00:00,GHCND:USW00026409,23.0
31,",,W,",TMAX,2016-02-02T00:00:00,GHCND:USW00026409,24.0
32,",,W,",TMAX,2016-02-03T00:00:00,GHCND:USW00026409,30.0
33,",,W,",TMAX,2016-02-04T00:00:00,GHCND:USW00026409,43.0
34,",,W,",TMAX,2016-02-05T00:00:00,GHCND:USW00026409,37.0
35,",,W,",TMAX,2016-02-06T00:00:00,GHCND:USW00026409,33.0
36,",,W,",TMAX,2016-02-07T00:00:00,GHCND:USW00026409,29.0
37,",,W,",TMAX,2016-02-08T00:00:00,GHCND:USW00026409,35.0
38,",,W,",TMAX,2016-02-09T00:00:00,GHCND:USW00026409,33.0
39,",,W,",TMAX,2016-02-10T00:00:00,GHCND:USW00026409,35.0
40,",,W,",TMAX,2016-02-11T00:00:00,GHCND:USW00026409,36.0
41,",,W,",TMAX,2016-02-12T00:00:00,GHCND:USW00026409,38.0
42,",,W,",TMAX,2016-02-13T00:00:00,GHCND:USW00026409,37.0
43,",,W,",TMAX,2016-02-14T00:00:00,GHCND:USW00026409,36.0
44,",,W,",TMAX,2016-02-15T00:00:00,GHCND:USW00026409,41.0
45,",,W,",TMAX,2016-02-16T00:00:00,GHCND:USW00026409,34.0
46,",,W,",TMAX,2016-02-17T00:00:00,GHCND:USW00026409,30.0
47,",,W,",TMAX,2016-02-18T00:00:00,GHCND:USW00026409,28.0
48,",,W,",TMAX,2016-02-19T00:00:00,GHCND:USW00026409,25.0
49,",,W,",TMAX,2016-02-20T00:00:00,GHCND:USW00026409,31.0
50,",,W,",TMAX,2016-02-21T00:00:00,GHCND:USW00026409,45.0
51,",,W,",TMAX,2016-02-22T00:00:00,GHCND:USW00026409,45.0
52,",,W,",TMAX,2016-02-23T00:00:00,GHCND:USW00026409,38.0
53,",,W,",TMAX,2016-02-24T00:00:00,GHCND:USW00026409,47.0
54,",,W,",TMAX,2016-02-25T00:00:00,GHCND:USW00026409,48.0
55,",,W,",TMAX,2016-02-26T00:00:00,GHCND:USW00026409,42.0
56,",,W,",TMAX,2016-02-27T00:00:00,GHCND:USW00026409,43.0
57,",,W,",TMAX,2016-02-28T00:00:00,GHCND:USW00026409,47.0
58,",,W,",TMAX,2016-02-29T00:00:00,GHCND:USW00026409,43.0
59,",,W,",TMAX,2016-03-01T00:00:00,GHCND:USW00026409,43.0
60,",,W,",TMAX,2016-03-02T00:00:00,GHCND:USW00026409,42.0
61,",,W,",TMAX,2016-03-03T00:00:00,GHCND:USW00026409,38.0
62,",,W,",TMAX,2016-03-04T00:00:00,GHCND:USW00026409,29.0
63,",,W,",TMAX,2016-03-05T00:00:00,GHCND:USW00026409,36.0
64,",,W,",TMAX,2016-03-06T00:00:00,GHCND:USW00026409,42.0
65,",,W,",TMAX,2016-03-07T00:00:00,GHCND:USW00026409,36.0
66,",,W,",TMAX,2016-03-08T00:00:00,GHCND:USW00026409,42.0
67,",,W,",TMAX,2016-03-09T00:00:00,GHCND:USW00026409,43.0
68,",,W,",TMAX,2016-03-10T00:00:00,GHCND:USW00026409,42.0
69,",S,W,",TMAX,2016-03-11T00:00:00,GHCND:USW00026409,66.0
70,",,W,",TMAX,2016-03-12T00:00:00,GHCND:USW00026409,47.0
71,",,W,",TMAX,2016-03-13T00:00:00,GHCND:USW00026409,46.0
72,",,W,",TMAX,2016-03-14T00:00:00,GHCND:USW00026409,41.0
73,",,W,",TMAX,2016-03-15T00:00:00,GHCND:USW00026409,42.0
74,",,W,",TMAX,2016-03-16T00:00:00,GHCND:USW00026409,38.0
75,",,W,",TMAX,2016-03-17T00:00:00,GHCND:USW00026409,34.0
76,",,W,",TMAX,2016-03-18T00:00:00,GHCND:USW00026409,35.0
77,",,W,",TMAX,2016-03-19T00:00:00,GHCND:USW00026409,26.0
78,",,W,",TMAX,2016-03-20T00:00:00,GHCND:USW00026409,39.0
79,",,W,",TMAX,2016-03-21T00:00:00,GHCND:USW00026409,49.0
80,",,W,",TMAX,2016-03-22T00:00:00,GHCND:USW00026409,50.0
81,",,W,",TMAX,2016-03-23T00:00:00,GHCND:USW00026409,51.0
82,",,W,",TMAX,2016-03-24T00:00:00,GHCND:USW00026409,54.0
83,",,W,",TMAX,2016-03-25T00:00:00,GHCND:USW00026409,45.0
84,",,W,",TMAX,2016-03-26T00:00:00,GHCND:USW00026409,41.0
85,",,W,",TMAX,2016-03-27T00:00:00,GHCND:USW00026409,44.0
86,",,W,",TMAX,2016-03-28T00:00:00,GHCND:USW00026409,39.0
87,",,W,",TMAX,2016-03-29T00:00:00,GHCND:USW00026409,46.0
88,",,W,",TMAX,2016-03-30T00:00:00,GHCND:USW00026409,51.0
89,",,W,",TMAX,2016-03-31T00:00:00,GHCND:USW00026409,54.0
90,",,W,",TMAX,2016-04-01T00:00:00,GHCND:USW00026409,57.0
91,",,W,",TMAX,2016-04-02T00:00:00,GHCND:USW00026409,50.0
92,",,W,",TMAX,2016-04-03T00:00:00,GHCND:USW00026409,50.0
93,",,W,",TMAX,2016-04-04T00:00:00,GHCND:USW00026409,47.0
94,",,W,",TMAX,2016-04-05T00:00:00,GHCND:USW00026409,53.0
95,",,W,",TMAX,2016-04-06T00:00:00,GHCND:USW00026409,47.0
96,",,W,",TMAX,2016-04-07T00:00:00,GHCND:USW00026409,54.0
97,",,W,",TMAX,2016-04-08T00:00:00,GHCND:USW00026409,53.0
98,",,W,",TMAX,2016-04-09T00:00:00,GHCND:USW00026409,47.0
99,",,W,",TMAX,2016-04-10T00:00:00,GHCND:USW00026409,55.0
100,",,W,",TMAX,2016-04-11T00:00:00,GHCND:USW00026409,53.0
101,",,W,",TMAX,2016-04-12T00:00:00,GHCND:USW00026409,58.0
102,",,W,",TMAX,2016-04-13T00:00:00,GHCND:USW00026409,53.0
103,",,W,",TMAX,2016-04-14T00:00:00,GHCND:USW00026409,57.0
104,",,W,",TMAX,2016-04-15T00:00:00,GHCND:USW00026409,53.0
105,",,W,",TMAX,2016-04-16T00:00:00,GHCND:USW00026409,54.0
106,",,W,",TMAX,2016-04-17T00:00:00,GHCND:USW00026409,56.0
107,",,W,",TMAX,2016-04-18T00:00:00,GHCND:USW00026409,53.0
108,",,W,",TMAX,2016-04-19T00:00:00,GHCND:USW00026409,54.0
109,",,W,",TMAX,2016-04-20T00:00:00,GHCND:USW00026409,54.0
110,",,W,",TMAX,2016-04-21T00:00:00,GHCND:USW00026409,59.0
111,",,W,",TMAX,2016-04-22T00:00:00,GHCND:USW00026409,57.0
112,",,W,",TMAX,2016-04-23T00:00:00,GHCND:USW00026409,59.0
113,",,W,",TMAX,2016-04-24T00:00:00,GHCND:USW00026409,57.0
114,",,W,",TMAX,2016-04-25T00:00:00,GHCND:USW00026409,53.0
115,",,W,",TMAX,2016-04-26T00:00:00,GHCND:USW00026409,58.0
116,",,W,",TMAX,2016-04-27T00:00:00,GHCND:USW00026409,55.0
117,",,W,",TMAX,2016-04-28T00:00:00,GHCND:USW00026409,51.0
118,",,W,",TMAX,2016-04-29T00:00:00,GHCND:USW00026409,55.0
119,",,W,",TMAX,2016-04-30T00:00:00,GHCND:USW00026409,55.0
120,",,W,",TMAX,2016-05-01T00:00:00,GHCND:USW00026409,53.0
121,",,W,",TMAX,2016-05-02T00:00:00,GHCND:USW00026409,57.0
122,",,W,",TMAX,2016-05-03T00:00:00,GHCND:USW00026409,54.0
123,",,W,",TMAX,2016-05-04T00:00:00,GHCND:USW00026409,57.0
124,",,W,",TMAX,2016-05-05T00:00:00,GHCND:USW00026409,52.0
125,",,W,",TMAX,2016-05-06T00:00:00,GHCND:USW00026409,57.0
126,",,W,",TMAX,2016-05-07T00:00:00,GHCND:USW00026409,56.0
127,",,W,",TMAX,2016-05-08T00:00:00,GHCND:USW00026409,52.0
128,",,W,",TMAX,2016-05-09T00:00:00,GHCND:USW00026409,53.0
129,",,W,",TMAX,2016-05-10T00:00:00,GHCND:USW00026409,60.0
130,",,W,",TMAX,2016-05-11T00:00:00,GHCND:USW00026409,61.0
131,",,W,",TMAX,2016-05-12T00:00:00,GHCND:USW00026409,65.0
132,",,W,",TMAX,2016-05-13T00:00:00,GHCND:USW00026409,72.0
133,",,W,",TMAX,2016-05-14T00:00:00,GHCND:USW00026409,72.0
134,",,W,",TMAX,2016-05-15T00:00:00,GHCND:USW00026409,74.0
135,",,W,",TMAX,2016-05-16T00:00:00,GHCND:USW00026409,69.0
136,",,W,",TMAX,2016-05-17T00:00:00,GHCND:USW00026409,60.0
137,",,W,",TMAX,2016-05-18T00:00:00,GHCND:USW00026409,56.0
138,",,W,",TMAX,2016-05-19T00:00:00,GHCND:USW00026409,63.0
139,",,W,",TMAX,2016-05-20T00:00:00,GHCND:USW00026409,60.0
140,",,W,",TMAX,2016-05-21T00:00:00,GHCND:USW00026409,53.0
141,",,W,",TMAX,2016-05-22T00:00:00,GHCND:USW00026409,57.0
142,",,W,",TMAX,2016-05-23T00:00:00,GHCND:USW00026409,60.0
143,",,W,",TMAX,2016-05-24T00:00:00,GHCND:USW00026409,63.0
144,",,W,",TMAX,2016-05-25T00:00:00,GHCND:USW00026409,65.0
145,",,W,",TMAX,2016-05-26T00:00:00,GHCND:USW00026409,70.0
146,",,W,",TMAX,2016-05-27T00:00:00,GHCND:USW00026409,72.0
147,",,W,",TMAX,2016-05-28T00:00:00,GHCND:USW00026409,72.0
148,",,W,",TMAX,2016-05-29T00:00:00,GHCND:USW00026409,73.0
149,",,W,",TMAX,2016-05-30T00:00:00,GHCND:USW00026409,68.0
150,",,W,",TMAX,2016-05-31T00:00:00,GHCND:USW00026409,69.0
151,",,W,",TMAX,2016-06-01T00:00:00,GHCND:USW00026409,69.0
152,",,W,",TMAX,2016-06-02T00:00:00,GHCND:USW00026409,69.0
153,",,W,",TMAX,2016-06-03T00:00:00,GHCND:USW00026409,65.0
154,",,W,",TMAX,2016-06-04T00:00:00,GHCND:USW00026409,63.0
155,",,W,",TMAX,2016-06-05T00:00:00,GHCND:USW00026409,64.0
156,",,W,",TMAX,2016-06-06T00:00:00,GHCND:USW00026409,54.0
157,",,W,",TMAX,2016-06-07T00:00:00,GHCND:USW00026409,65.0
158,",,W,",TMAX,2016-06-08T00:00:00,GHCND:USW00026409,67.0
159,",,W,",TMAX,2016-06-09T00:00:00,GHCND:USW00026409,69.0
160,",,W,",TMAX,2016-06-10T00:00:00,GHCND:USW00026409,61.0
161,",,W,",TMAX,2016-06-11T00:00:00,GHCND:USW00026409,60.0
162,",,W,",TMAX,2016-06-12T00:00:00,GHCND:USW00026409,61.0
163,",,W,",TMAX,2016-06-13T00:00:00,GHCND:USW00026409,69.0
164,",,W,",TMAX,2016-06-14T00:00:00,GHCND:USW00026409,75.0
165,",,W,",TMAX,2016-06-15T00:00:00,GHCND:USW00026409,76.0
166,",,W,",TMAX,2016-06-16T00:00:00,GHCND:USW00026409,79.0
167,",,W,",TMAX,2016-06-17T00:00:00,GHCND:USW00026409,76.0
168,",,W,",TMAX,2016-06-18T00:00:00,GHCND:USW00026409,72.0
169,",,W,",TMAX,2016-06-19T00:00:00,GHCND:USW00026409,64.0
170,",,W,",TMAX,2016-06-20T00:00:00,GHCND:USW00026409,65.0
171,",,W,",TMAX,2016-06-21T00:00:00,GHCND:USW00026409,72.0
172,",,W,",TMAX,2016-06-22T00:00:00,GHCND:USW00026409,77.0
173,",,W,",TMAX,2016-06-23T00:00:00,GHCND:USW00026409,68.0
174,",,W,",TMAX,2016-06-24T00:00:00,GHCND:USW00026409,66.0
175,",,W,",TMAX,2016-06-25T00:00:00,GHCND:USW00026409,70.0
176,",,W,",TMAX,2016-06-26T00:00:00,GHCND:USW00026409,70.0
177,",,W,",TMAX,2016-06-27T00:00:00,GHCND:USW00026409,70.0
178,",,W,",TMAX,2016-06-28T00:00:00,GHCND:USW00026409,72.0
