,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00026451,150
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00026451,150
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00026451,150
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00026451,330
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00026451,150
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00026451,350
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00026451,50
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00026451,10
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00026451,120
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00026451,20
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00026451,40
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00026451,60
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00026451,20
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00026451,50
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00026451,50
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00026451,350
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00026451,360
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00026451,340
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00026451,50
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00026451,360
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00026451,360
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00026451,20
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00026451,360
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00026451,340
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00026451,300
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00026451,300
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00026451,20
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00026451,130
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00026451,190
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00026451,30
