,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00026491,5.8
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00026491,9.8
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00026491,6.0
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00026491,5.1
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00026491,5.8
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00026491,2.7
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00026491,4.0
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00026491,7.8
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00026491,4.5
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00026491,5.4
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00026491,3.1
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00026491,2.0
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00026491,1.1
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00026491,4.3
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00026491,5.8
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00026491,5.8
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00026491,3.6
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00026491,1.8
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00026491,5.1
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00026491,3.8
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00026491,2.0
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00026491,4.7
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00026491,4.3
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00026491,2.2
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00026491,3.6
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00026491,2.2
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00026491,7.8
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00026491,2.9
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00026491,1.8
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00026491,2.9
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00026491,4.0
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00026491,4.9
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00026491,4.9
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00026491,7.6
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00026491,10.5
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00026491,4.5
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00026491,2.2
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00026491,1.8
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00026491,2.0
