,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00094957,260
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00094957,250
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00094957,350
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00094957,150
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00094957,190
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00094957,170
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00094957,160
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00094957,350
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00094957,350
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00094957,330
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00094957,310
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00094957,330
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00094957,210
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00094957,250
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00094957,320
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00094957,360
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00094957,330
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00094957,120
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00094957,90
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00094957,110
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00094957,30
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00094957,350
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00094957,170
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00094957,170
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00094957,310
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00094957,310
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00094957,230
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00094957,320
