,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00094991,250
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00094991,230
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00094991,350
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00094991,30
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00094991,180
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00094991,160
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00094991,150
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00094991,340
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00094991,350
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00094991,320
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00094991,300
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00094991,310
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00094991,250
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00094991,210
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00094991,320
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00094991,360
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00094991,350
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00094991,260
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00094991,70
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00094991,160
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00094991,40
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00094991,360
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00094991,180
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00094991,220
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00094991,310
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00094991,300
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00094991,220
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00094991,320
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00094991,150
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00094991,340
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00094991,300
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00094991,70
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00094991,60
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00094991,330
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00094991,220
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00094991,180
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00094991,200
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00094991,320
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00094991,330
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00094991,350
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00094991,90
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00094991,40
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00094991,340
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00094991,100
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00094991,140
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00094991,170
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00094991,310
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00094991,120
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00094991,200
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00094991,270
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00094991,250
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00094991,320
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00094991,50
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00094991,360
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00094991,350
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00094991,350
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00094991,220
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00094991,230
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00094991,310
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00094991,240
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00094991,340
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00094991,140
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00094991,30
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00094991,170
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00094991,360
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00094991,180
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00094991,210
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00094991,190
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00094991,350
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00094991,20
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00094991,130
71,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00094991,150
72,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00094991,180
73,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00094991,250
74,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00094991,270
75,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00094991,280
76,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00094991,310
77,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00094991,290
78,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00094991,300
79,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00094991,200
80,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00094991,200
81,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00094991,30
82,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00094991,20
83,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00094991,190
84,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00094991,290
85,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00094991,310
86,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00094991,210
87,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00094991,150
88,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00094991,190
89,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00094991,300
90,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00094991,310
91,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00094991,320
92,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00094991,260
93,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00094991,30
94,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00094991,150
95,",,W,",WDF5,2016-04-06T00:00:00,GHCND:USW00094991,290
96,",,W,",WDF5,2016-04-07T00:00:00,GHCND:USW00094991,320
97,",,W,",WDF5,2016-04-08T00:00:00,GHCND:USW00094991,320
98,",,W,",WDF5,2016-04-09T00:00:00,GHCND:USW00094991,150
99,",,W,",WDF5,2016-04-10T00:00:00,GHCND:USW00094991,190
100,",,W,",WDF5,2016-04-11T00:00:00,GHCND:USW00094991,310
101,",,W,",WDF5,2016-04-12T00:00:00,GHCND:USW00094991,180
102,",,W,",WDF5,2016-04-13T00:00:00,GHCND:USW00094991,130
103,",,W,",WDF5,2016-04-14T00:00:00,GHCND:USW00094991,160
104,",,W,",WDF5,2016-04-15T00:00:00,GHCND:USW00094991,150
105,",,W,",WDF5,2016-04-16T00:00:00,GHCND:USW00094991,130
106,",,W,",WDF5,2016-04-17T00:00:00,GHCND:USW00094991,150
107,",,W,",WDF5,2016-04-18T00:00:00,GHCND:USW00094991,160
108,",,W,",WDF5,2016-04-19T00:00:00,GHCND:USW00094991,320
109,",,W,",WDF5,2016-04-20T00:00:00,GHCND:USW00094991,230
110,",,W,",WDF5,2016-04-21T00:00:00,GHCND:USW00094991,320
111,",,W,",WDF5,2016-04-22T00:00:00,GHCND:USW00094991,360
112,",,W,",WDF5,2016-04-23T00:00:00,GHCND:USW00094991,190
113,",,W,",WDF5,2016-04-24T00:00:00,GHCND:USW00094991,240
114,",,W,",WDF5,2016-04-25T00:00:00,GHCND:USW00094991,190
115,",,W,",WDF5,2016-04-26T00:00:00,GHCND:USW00094991,120
116,",,W,",WDF5,2016-04-27T00:00:00,GHCND:USW00094991,240
117,",,W,",WDF5,2016-04-28T00:00:00,GHCND:USW00094991,280
118,",,W,",WDF5,2016-04-29T00:00:00,GHCND:USW00094991,60
119,",,W,",WDF5,2016-04-30T00:00:00,GHCND:USW00094991,90
120,",,W,",WDF5,2016-05-01T00:00:00,GHCND:USW00094991,50
121,",,W,",WDF5,2016-05-02T00:00:00,GHCND:USW00094991,50
122,",,W,",WDF5,2016-05-03T00:00:00,GHCND:USW00094991,250
123,",,W,",WDF5,2016-05-04T00:00:00,GHCND:USW00094991,350
124,",,W,",WDF5,2016-05-05T00:00:00,GHCND:USW00094991,40
