,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00004840,10.3
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00004840,9.2
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00004840,9.4
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00004840,7.2
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00004840,12.3
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00004840,10.5
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00004840,6.9
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00004840,5.1
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00004840,11.6
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00004840,16.6
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00004840,6.0
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00004840,14.5
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00004840,6.9
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00004840,5.1
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00004840,9.6
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00004840,12.3
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00004840,15.0
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00004840,9.4
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00004840,2.9
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00004840,3.6
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00004840,6.7
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00004840,8.3
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00004840,6.9
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00004840,6.7
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00004840,4.0
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00004840,12.3
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00004840,13.0
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00004840,13.6
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00004840,8.1
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00004840,9.6
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00004840,6.3
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00004840,3.6
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00004840,11.4
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00004840,11.6
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00004840,7.4
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00004840,6.3
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00004840,9.8
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00004840,12.1
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00004840,11.2
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00004840,15.4
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00004840,9.6
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00004840,8.1
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00004840,15.2
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00004840,9.2
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00004840,9.2
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00004840,5.4
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00004840,5.8
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00004840,3.8
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00004840,15.9
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00004840,19.0
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00004840,10.7
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00004840,4.7
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00004840,4.3
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00004840,2.0
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00004840,15.2
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00004840,15.9
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00004840,8.5
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00004840,14.5
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00004840,13.4
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00004840,12.3
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00004840,13.4
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00004840,5.4
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00004840,3.4
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00004840,8.1
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00004840,7.4
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00004840,16.1
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00004840,11.4
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00004840,14.1
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00004840,8.1
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00004840,5.8
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00004840,6.7
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00004840,7.6
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00004840,6.7
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00004840,4.5
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00004840,9.8
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00004840,19.0
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00004840,9.2
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00004840,8.5
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00004840,7.6
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00004840,8.3
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00004840,7.8
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00004840,11.0
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00004840,17.2
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00004840,19.0
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00004840,6.3
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00004840,7.2
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00004840,7.6
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00004840,7.8
88,",,W,",AWND,2016-03-29T00:00:00,GHCND:USW00004840,10.1
89,",,W,",AWND,2016-03-30T00:00:00,GHCND:USW00004840,8.7
90,",,W,",AWND,2016-03-31T00:00:00,GHCND:USW00004840,11.0
91,",,W,",AWND,2016-04-01T00:00:00,GHCND:USW00004840,8.7
92,",,W,",AWND,2016-04-02T00:00:00,GHCND:USW00004840,13.0
93,",,W,",AWND,2016-04-03T00:00:00,GHCND:USW00004840,14.5
94,",,W,",AWND,2016-04-04T00:00:00,GHCND:USW00004840,11.4
95,",,W,",AWND,2016-04-05T00:00:00,GHCND:USW00004840,11.4
96,",,W,",AWND,2016-04-06T00:00:00,GHCND:USW00004840,7.8
97,",,W,",AWND,2016-04-07T00:00:00,GHCND:USW00004840,11.6
98,",,W,",AWND,2016-04-08T00:00:00,GHCND:USW00004840,11.9
99,",,W,",AWND,2016-04-09T00:00:00,GHCND:USW00004840,10.1
100,",,W,",AWND,2016-04-10T00:00:00,GHCND:USW00004840,14.3
101,",,W,",AWND,2016-04-11T00:00:00,GHCND:USW00004840,14.3
102,",,W,",AWND,2016-04-12T00:00:00,GHCND:USW00004840,6.7
103,",,W,",AWND,2016-04-13T00:00:00,GHCND:USW00004840,11.0
104,",,W,",AWND,2016-04-14T00:00:00,GHCND:USW00004840,9.6
105,",,W,",AWND,2016-04-15T00:00:00,GHCND:USW00004840,10.3
106,",,W,",AWND,2016-04-16T00:00:00,GHCND:USW00004840,7.6
107,",,W,",AWND,2016-04-17T00:00:00,GHCND:USW00004840,5.6
108,",,W,",AWND,2016-04-18T00:00:00,GHCND:USW00004840,7.4
109,",,W,",AWND,2016-04-19T00:00:00,GHCND:USW00004840,9.4
110,",,W,",AWND,2016-04-20T00:00:00,GHCND:USW00004840,12.3
111,",,W,",AWND,2016-04-21T00:00:00,GHCND:USW00004840,4.9
112,",,W,",AWND,2016-04-22T00:00:00,GHCND:USW00004840,12.3
113,",,W,",AWND,2016-04-23T00:00:00,GHCND:USW00004840,6.7
114,",,W,",AWND,2016-04-24T00:00:00,GHCND:USW00004840,7.8
115,",,W,",AWND,2016-04-25T00:00:00,GHCND:USW00004840,9.6
116,",,W,",AWND,2016-04-26T00:00:00,GHCND:USW00004840,13.6
117,",,W,",AWND,2016-04-27T00:00:00,GHCND:USW00004840,14.3
118,",,W,",AWND,2016-04-28T00:00:00,GHCND:USW00004840,11.4
119,",,W,",AWND,2016-04-29T00:00:00,GHCND:USW00004840,6.9
120,",,W,",AWND,2016-04-30T00:00:00,GHCND:USW00004840,9.2
121,",,W,",AWND,2016-05-01T00:00:00,GHCND:USW00004840,13.4
122,",,W,",AWND,2016-05-02T00:00:00,GHCND:USW00004840,6.3
123,",,W,",AWND,2016-05-03T00:00:00,GHCND:USW00004840,10.5
124,",,W,",AWND,2016-05-04T00:00:00,GHCND:USW00004840,16.3
125,",,W,",AWND,2016-05-05T00:00:00,GHCND:USW00004840,7.2
126,",,W,",AWND,2016-05-06T00:00:00,GHCND:USW00004840,8.1
127,",,W,",AWND,2016-05-07T00:00:00,GHCND:USW00004840,11.2
128,",,W,",AWND,2016-05-08T00:00:00,GHCND:USW00004840,8.5
129,",,W,",AWND,2016-05-09T00:00:00,GHCND:USW00004840,10.7
130,",,W,",AWND,2016-05-10T00:00:00,GHCND:USW00004840,12.3
131,",,W,",AWND,2016-05-11T00:00:00,GHCND:USW00004840,7.2
132,",,W,",AWND,2016-05-12T00:00:00,GHCND:USW00004840,10.7
133,",,W,",AWND,2016-05-13T00:00:00,GHCND:USW00004840,11.9
134,",,W,",AWND,2016-05-14T00:00:00,GHCND:USW00004840,14.1
135,",,W,",AWND,2016-05-15T00:00:00,GHCND:USW00004840,11.4
136,",,W,",AWND,2016-05-16T00:00:00,GHCND:USW00004840,11.0
137,",,W,",AWND,2016-05-17T00:00:00,GHCND:USW00004840,8.9
138,",,W,",AWND,2016-05-18T00:00:00,GHCND:USW00004840,5.1
139,",,W,",AWND,2016-05-19T00:00:00,GHCND:USW00004840,5.8
140,",,W,",AWND,2016-05-20T00:00:00,GHCND:USW00004840,4.5
141,",,W,",AWND,2016-05-21T00:00:00,GHCND:USW00004840,4.5
142,",,W,",AWND,2016-05-22T00:00:00,GHCND:USW00004840,4.5
143,",,W,",AWND,2016-05-23T00:00:00,GHCND:USW00004840,9.4
144,",,W,",AWND,2016-05-24T00:00:00,GHCND:USW00004840,7.6
145,",,W,",AWND,2016-05-25T00:00:00,GHCND:USW00004840,8.1
146,",,W,",AWND,2016-05-26T00:00:00,GHCND:USW00004840,7.6
147,",,W,",AWND,2016-05-27T00:00:00,GHCND:USW00004840,5.8
148,",,W,",AWND,2016-05-28T00:00:00,GHCND:USW00004840,13.6
149,",,W,",AWND,2016-05-29T00:00:00,GHCND:USW00004840,9.6
150,",,W,",AWND,2016-05-30T00:00:00,GHCND:USW00004840,4.0
151,",,W,",AWND,2016-05-31T00:00:00,GHCND:USW00004840,8.9
152,",,W,",AWND,2016-06-01T00:00:00,GHCND:USW00004840,7.8
153,",,W,",AWND,2016-06-02T00:00:00,GHCND:USW00004840,5.8
154,",,W,",AWND,2016-06-03T00:00:00,GHCND:USW00004840,6.9
155,",,W,",AWND,2016-06-04T00:00:00,GHCND:USW00004840,7.2
156,",,W,",AWND,2016-06-05T00:00:00,GHCND:USW00004840,10.5
157,",,W,",AWND,2016-06-06T00:00:00,GHCND:USW00004840,12.1
158,",,W,",AWND,2016-06-07T00:00:00,GHCND:USW00004840,9.2
159,",,W,",AWND,2016-06-08T00:00:00,GHCND:USW00004840,6.5
160,",,W,",AWND,2016-06-09T00:00:00,GHCND:USW00004840,6.9
161,",,W,",AWND,2016-06-10T00:00:00,GHCND:USW00004840,12.1
162,",,W,",AWND,2016-06-11T00:00:00,GHCND:USW00004840,7.2
163,",,W,",AWND,2016-06-12T00:00:00,GHCND:USW00004840,6.9
164,",,W,",AWND,2016-06-13T00:00:00,GHCND:USW00004840,6.0
165,",,W,",AWND,2016-06-14T00:00:00,GHCND:USW00004840,8.9
166,",,W,",AWND,2016-06-15T00:00:00,GHCND:USW00004840,6.9
167,",,W,",AWND,2016-06-16T00:00:00,GHCND:USW00004840,10.5
168,",,W,",AWND,2016-06-17T00:00:00,GHCND:USW00004840,3.1
169,",,W,",AWND,2016-06-18T00:00:00,GHCND:USW00004840,4.9
170,",,W,",AWND,2016-06-19T00:00:00,GHCND:USW00004840,9.6
171,",,W,",AWND,2016-06-20T00:00:00,GHCND:USW00004840,12.5
172,",,W,",AWND,2016-06-21T00:00:00,GHCND:USW00004840,9.4
173,",,W,",AWND,2016-06-22T00:00:00,GHCND:USW00004840,7.2
174,",,W,",AWND,2016-06-23T00:00:00,GHCND:USW00004840,6.9
175,",,W,",AWND,2016-06-24T00:00:00,GHCND:USW00004840,5.4
176,",,W,",AWND,2016-06-25T00:00:00,GHCND:USW00004840,12.3
177,",,W,",AWND,2016-06-26T00:00:00,GHCND:USW00004840,8.7
178,",,W,",AWND,2016-06-27T00:00:00,GHCND:USW00004840,12.1
179,",,W,",AWND,2016-06-28T00:00:00,GHCND:USW00004840,8.3
180,",,W,",AWND,2016-06-29T00:00:00,GHCND:USW00004840,4.9
181,",,W,",AWND,2016-06-30T00:00:00,GHCND:USW00004840,7.4
182,",,W,",AWND,2016-07-01T00:00:00,GHCND:USW00004840,9.2
183,",,W,",AWND,2016-07-02T00:00:00,GHCND:USW00004840,5.1
184,",,W,",AWND,2016-07-03T00:00:00,GHCND:USW00004840,4.9
185,",,W,",AWND,2016-07-04T00:00:00,GHCND:USW00004840,4.0
186,",,W,",AWND,2016-07-05T00:00:00,GHCND:USW00004840,7.6
187,",,W,",AWND,2016-07-06T00:00:00,GHCND:USW00004840,6.3
188,",,W,",AWND,2016-07-07T00:00:00,GHCND:USW00004840,7.2
189,",,W,",AWND,2016-07-08T00:00:00,GHCND:USW00004840,10.5
190,",,W,",AWND,2016-07-09T00:00:00,GHCND:USW00004840,8.1
191,",,W,",AWND,2016-07-10T00:00:00,GHCND:USW00004840,8.1
192,",,W,",AWND,2016-07-11T00:00:00,GHCND:USW00004840,13.6
193,",,W,",AWND,2016-07-12T00:00:00,GHCND:USW00004840,11.0
194,",,W,",AWND,2016-07-13T00:00:00,GHCND:USW00004840,9.6
195,",,W,",AWND,2016-07-14T00:00:00,GHCND:USW00004840,11.9
196,",,W,",AWND,2016-07-15T00:00:00,GHCND:USW00004840,7.4
197,",,W,",AWND,2016-07-16T00:00:00,GHCND:USW00004840,5.8
198,",,W,",AWND,2016-07-17T00:00:00,GHCND:USW00004840,12.8
199,",,W,",AWND,2016-07-18T00:00:00,GHCND:USW00004840,5.4
200,",,W,",AWND,2016-07-19T00:00:00,GHCND:USW00004840,5.1
201,",,W,",AWND,2016-07-20T00:00:00,GHCND:USW00004840,9.4
202,",,W,",AWND,2016-07-21T00:00:00,GHCND:USW00004840,10.5
203,",,W,",AWND,2016-07-22T00:00:00,GHCND:USW00004840,3.8
204,",,W,",AWND,2016-07-23T00:00:00,GHCND:USW00004840,4.9
205,",,W,",AWND,2016-07-24T00:00:00,GHCND:USW00004840,9.2
206,",,W,",AWND,2016-07-25T00:00:00,GHCND:USW00004840,7.8
207,",,W,",AWND,2016-07-26T00:00:00,GHCND:USW00004840,3.8
208,",,W,",AWND,2016-07-27T00:00:00,GHCND:USW00004840,6.0
209,",,W,",AWND,2016-07-28T00:00:00,GHCND:USW00004840,10.3
210,",,W,",AWND,2016-07-29T00:00:00,GHCND:USW00004840,8.5
211,",,W,",AWND,2016-07-30T00:00:00,GHCND:USW00004840,6.3
212,",,W,",AWND,2016-07-31T00:00:00,GHCND:USW00004840,4.0
213,",,W,",AWND,2016-08-01T00:00:00,GHCND:USW00004840,3.8
214,",,W,",AWND,2016-08-02T00:00:00,GHCND:USW00004840,5.4
215,",,W,",AWND,2016-08-03T00:00:00,GHCND:USW00004840,5.1
216,",,W,",AWND,2016-08-04T00:00:00,GHCND:USW00004840,10.3
217,",,W,",AWND,2016-08-05T00:00:00,GHCND:USW00004840,9.2
218,",,W,",AWND,2016-08-06T00:00:00,GHCND:USW00004840,4.9
219,",,W,",AWND,2016-08-07T00:00:00,GHCND:USW00004840,4.9
220,",,W,",AWND,2016-08-08T00:00:00,GHCND:USW00004840,4.7
221,",,W,",AWND,2016-08-09T00:00:00,GHCND:USW00004840,7.6
222,",,W,",AWND,2016-08-10T00:00:00,GHCND:USW00004840,5.6
