,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00094855,310
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00094855,210
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00094855,360
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00094855,30
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00094855,190
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00094855,200
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00094855,140
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00094855,140
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00094855,330
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00094855,330
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00094855,200
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00094855,290
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00094855,200
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00094855,40
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00094855,330
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00094855,290
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00094855,290
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00094855,290
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00094855,300
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00094855,190
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00094855,330
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00094855,350
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00094855,200
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00094855,290
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00094855,110
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00094855,290
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00094855,190
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00094855,340
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00094855,190
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00094855,200
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00094855,180
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00094855,290
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00094855,90
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00094855,310
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00094855,200
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00094855,200
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00094855,200
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00094855,190
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00094855,290
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00094855,330
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00094855,350
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00094855,290
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00094855,320
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00094855,300
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00094855,140
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00094855,180
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00094855,340
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00094855,350
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00094855,150
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00094855,210
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00094855,280
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00094855,50
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00094855,80
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00094855,140
