,attributes,datatype,date,station,value
0,",,7,",AWND,2016-01-01T00:00:00,GHCND:USC00116344,14.1
1,",,7,",AWND,2016-01-02T00:00:00,GHCND:USC00116344,6.0
2,",,7,",AWND,2016-01-03T00:00:00,GHCND:USC00116344,6.0
3,",,7,",AWND,2016-01-04T00:00:00,GHCND:USC00116344,11.0
4,",,7,",AWND,2016-01-05T00:00:00,GHCND:USC00116344,11.0
5,",,7,",AWND,2016-01-06T00:00:00,GHCND:USC00116344,6.9
6,",,7,",AWND,2016-01-07T00:00:00,GHCND:USC00116344,6.9
7,",,7,",AWND,2016-01-08T00:00:00,GHCND:USC00116344,8.1
8,",,7,",AWND,2016-01-09T00:00:00,GHCND:USC00116344,8.1
9,",,7,",AWND,2016-01-10T00:00:00,GHCND:USC00116344,25.1
10,",,7,",AWND,2016-01-11T00:00:00,GHCND:USC00116344,6.9
11,",,7,",AWND,2016-01-12T00:00:00,GHCND:USC00116344,16.1
12,",,7,",AWND,2016-01-13T00:00:00,GHCND:USC00116344,2.9
13,",,7,",AWND,2016-01-14T00:00:00,GHCND:USC00116344,6.0
14,",,7,",AWND,2016-01-15T00:00:00,GHCND:USC00116344,14.1
15,",,7,",AWND,2016-01-16T00:00:00,GHCND:USC00116344,16.1
16,",,7,",AWND,2016-01-17T00:00:00,GHCND:USC00116344,17.0
17,",,7,",AWND,2016-01-18T00:00:00,GHCND:USC00116344,13.0
18,",,7,",AWND,2016-01-19T00:00:00,GHCND:USC00116344,6.0
19,",,7,",AWND,2016-01-20T00:00:00,GHCND:USC00116344,6.0
20,",,7,",AWND,2016-01-21T00:00:00,GHCND:USC00116344,0.0
21,",,7,",AWND,2016-01-22T00:00:00,GHCND:USC00116344,14.1
22,",,7,",AWND,2016-01-23T00:00:00,GHCND:USC00116344,10.1
23,",,7,",AWND,2016-01-24T00:00:00,GHCND:USC00116344,6.9
24,",,7,",AWND,2016-01-25T00:00:00,GHCND:USC00116344,15.0
25,",,7,",AWND,2016-01-26T00:00:00,GHCND:USC00116344,23.0
26,",,7,",AWND,2016-01-27T00:00:00,GHCND:USC00116344,8.9
27,",,7,",AWND,2016-01-28T00:00:00,GHCND:USC00116344,15.0
28,",,7,",AWND,2016-01-29T00:00:00,GHCND:USC00116344,6.0
29,",,7,",AWND,2016-01-30T00:00:00,GHCND:USC00116344,14.1
30,",,7,",AWND,2016-01-31T00:00:00,GHCND:USC00116344,15.0
31,",,7,",AWND,2016-02-01T00:00:00,GHCND:USC00116344,6.0
32,",,7,",AWND,2016-02-02T00:00:00,GHCND:USC00116344,15.0
33,",,7,",AWND,2016-02-03T00:00:00,GHCND:USC00116344,17.0
34,",,7,",AWND,2016-02-04T00:00:00,GHCND:USC00116344,11.0
35,",,7,",AWND,2016-02-05T00:00:00,GHCND:USC00116344,6.0
36,",,7,",AWND,2016-02-06T00:00:00,GHCND:USC00116344,6.9
37,",,7,",AWND,2016-02-07T00:00:00,GHCND:USC00116344,12.1
38,",,7,",AWND,2016-02-08T00:00:00,GHCND:USC00116344,8.1
39,",,7,",AWND,2016-02-09T00:00:00,GHCND:USC00116344,10.1
40,",,7,",AWND,2016-02-10T00:00:00,GHCND:USC00116344,8.9
41,",,7,",AWND,2016-02-11T00:00:00,GHCND:USC00116344,4.9
42,",,7,",AWND,2016-02-12T00:00:00,GHCND:USC00116344,4.9
43,",,7,",AWND,2016-02-13T00:00:00,GHCND:USC00116344,13.0
44,",,7,",AWND,2016-02-14T00:00:00,GHCND:USC00116344,12.1
45,",,7,",AWND,2016-02-15T00:00:00,GHCND:USC00116344,8.1
46,",,7,",AWND,2016-02-16T00:00:00,GHCND:USC00116344,4.9
47,",,7,",AWND,2016-02-17T00:00:00,GHCND:USC00116344,4.0
48,",,7,",AWND,2016-02-18T00:00:00,GHCND:USC00116344,8.9
49,",,7,",AWND,2016-02-19T00:00:00,GHCND:USC00116344,21.0
50,",,7,",AWND,2016-02-20T00:00:00,GHCND:USC00116344,8.9
51,",,7,",AWND,2016-02-21T00:00:00,GHCND:USC00116344,10.1
52,",,7,",AWND,2016-02-22T00:00:00,GHCND:USC00116344,4.9
53,",,7,",AWND,2016-02-23T00:00:00,GHCND:USC00116344,10.1
54,",,7,",AWND,2016-02-24T00:00:00,GHCND:USC00116344,27.1
55,",,7,",AWND,2016-02-25T00:00:00,GHCND:USC00116344,15.0
56,",,7,",AWND,2016-02-26T00:00:00,GHCND:USC00116344,10.1
57,",,7,",AWND,2016-02-27T00:00:00,GHCND:USC00116344,11.0
58,",,7,",AWND,2016-02-28T00:00:00,GHCND:USC00116344,14.1
59,",,7,",AWND,2016-02-29T00:00:00,GHCND:USC00116344,8.9
60,",,7,",AWND,2016-03-01T00:00:00,GHCND:USC00116344,12.1
61,",,7,",AWND,2016-03-02T00:00:00,GHCND:USC00116344,8.1
62,",,7,",AWND,2016-03-03T00:00:00,GHCND:USC00116344,6.9
63,",,7,",AWND,2016-03-04T00:00:00,GHCND:USC00116344,6.9
64,",,7,",AWND,2016-03-05T00:00:00,GHCND:USC00116344,12.1
65,",,7,",AWND,2016-03-06T00:00:00,GHCND:USC00116344,10.1
66,",,7,",AWND,2016-03-07T00:00:00,GHCND:USC00116344,15.0
67,",,7,",AWND,2016-03-08T00:00:00,GHCND:USC00116344,12.1
68,",,7,",AWND,2016-03-09T00:00:00,GHCND:USC00116344,11.0
69,",,7,",AWND,2016-03-10T00:00:00,GHCND:USC00116344,6.9
70,",,7,",AWND,2016-03-11T00:00:00,GHCND:USC00116344,4.9
71,",,7,",AWND,2016-03-12T00:00:00,GHCND:USC00116344,4.0
72,",,7,",AWND,2016-03-13T00:00:00,GHCND:USC00116344,6.0
73,",,7,",AWND,2016-03-14T00:00:00,GHCND:USC00116344,0.0
74,",,7,",AWND,2016-03-15T00:00:00,GHCND:USC00116344,4.9
75,",,7,",AWND,2016-03-16T00:00:00,GHCND:USC00116344,19.0
76,",,7,",AWND,2016-03-17T00:00:00,GHCND:USC00116344,4.9
77,",,7,",AWND,2016-03-18T00:00:00,GHCND:USC00116344,6.0
78,",,7,",AWND,2016-03-19T00:00:00,GHCND:USC00116344,6.9
79,",,7,",AWND,2016-03-20T00:00:00,GHCND:USC00116344,6.9
80,",,7,",AWND,2016-03-21T00:00:00,GHCND:USC00116344,6.9
81,",,7,",AWND,2016-03-22T00:00:00,GHCND:USC00116344,16.1
82,",,7,",AWND,2016-03-23T00:00:00,GHCND:USC00116344,17.9
83,",,7,",AWND,2016-03-24T00:00:00,GHCND:USC00116344,16.1
84,",,7,",AWND,2016-03-25T00:00:00,GHCND:USC00116344,14.1
85,",,7,",AWND,2016-03-26T00:00:00,GHCND:USC00116344,10.1
86,",,7,",AWND,2016-03-27T00:00:00,GHCND:USC00116344,4.0
87,",,7,",AWND,2016-03-28T00:00:00,GHCND:USC00116344,17.0
88,",,7,",AWND,2016-03-29T00:00:00,GHCND:USC00116344,0.0
89,",,7,",AWND,2016-03-30T00:00:00,GHCND:USC00116344,13.0
90,",,7,",AWND,2016-03-31T00:00:00,GHCND:USC00116344,15.0
91,",,7,",AWND,2016-04-01T00:00:00,GHCND:USC00116344,2.9
92,",,7,",AWND,2016-04-02T00:00:00,GHCND:USC00116344,10.1
93,",,7,",AWND,2016-04-03T00:00:00,GHCND:USC00116344,2.9
94,",,7,",AWND,2016-04-04T00:00:00,GHCND:USC00116344,21.0
95,",,7,",AWND,2016-04-05T00:00:00,GHCND:USC00116344,6.0
96,",,7,",AWND,2016-04-06T00:00:00,GHCND:USC00116344,25.1
97,",,7,",AWND,2016-04-07T00:00:00,GHCND:USC00116344,16.1
98,",,7,",AWND,2016-04-08T00:00:00,GHCND:USC00116344,10.1
99,",,7,",AWND,2016-04-09T00:00:00,GHCND:USC00116344,15.0
100,",,7,",AWND,2016-04-10T00:00:00,GHCND:USC00116344,13.0
101,",,7,",AWND,2016-04-11T00:00:00,GHCND:USC00116344,6.9
102,",,7,",AWND,2016-04-12T00:00:00,GHCND:USC00116344,4.9
103,",,7,",AWND,2016-04-13T00:00:00,GHCND:USC00116344,4.9
104,",,7,",AWND,2016-04-14T00:00:00,GHCND:USC00116344,8.1
105,",,7,",AWND,2016-04-15T00:00:00,GHCND:USC00116344,13.0
106,",,7,",AWND,2016-04-16T00:00:00,GHCND:USC00116344,10.1
107,",,7,",AWND,2016-04-17T00:00:00,GHCND:USC00116344,4.9
108,",,7,",AWND,2016-04-18T00:00:00,GHCND:USC00116344,4.0
109,",,7,",AWND,2016-04-19T00:00:00,GHCND:USC00116344,0.0
110,",,7,",AWND,2016-04-20T00:00:00,GHCND:USC00116344,12.1
111,",,7,",AWND,2016-04-21T00:00:00,GHCND:USC00116344,2.9
112,",,7,",AWND,2016-04-22T00:00:00,GHCND:USC00116344,0.0
113,",,7,",AWND,2016-04-23T00:00:00,GHCND:USC00116344,6.0
114,",,7,",AWND,2016-04-24T00:00:00,GHCND:USC00116344,4.0
115,",,7,",AWND,2016-04-25T00:00:00,GHCND:USC00116344,11.0
116,",,7,",AWND,2016-04-26T00:00:00,GHCND:USC00116344,4.0
117,",,7,",AWND,2016-04-27T00:00:00,GHCND:USC00116344,14.1
118,",,7,",AWND,2016-04-28T00:00:00,GHCND:USC00116344,6.9
119,",,7,",AWND,2016-04-29T00:00:00,GHCND:USC00116344,2.0
120,",,7,",AWND,2016-04-30T00:00:00,GHCND:USC00116344,11.0
121,",,7,",AWND,2016-05-01T00:00:00,GHCND:USC00116344,2.9
122,",,7,",AWND,2016-05-02T00:00:00,GHCND:USC00116344,11.0
123,",,7,",AWND,2016-05-03T00:00:00,GHCND:USC00116344,4.0
124,",,7,",AWND,2016-05-04T00:00:00,GHCND:USC00116344,11.0
125,",,7,",AWND,2016-05-05T00:00:00,GHCND:USC00116344,16.1
126,",,7,",AWND,2016-05-06T00:00:00,GHCND:USC00116344,4.9
127,",,7,",AWND,2016-05-07T00:00:00,GHCND:USC00116344,16.1
128,",,7,",AWND,2016-05-08T00:00:00,GHCND:USC00116344,4.0
129,",,7,",AWND,2016-05-09T00:00:00,GHCND:USC00116344,12.1
130,",,7,",AWND,2016-05-10T00:00:00,GHCND:USC00116344,14.1
131,",,7,",AWND,2016-05-11T00:00:00,GHCND:USC00116344,0.0
132,",,7,",AWND,2016-05-12T00:00:00,GHCND:USC00116344,4.9
133,",,7,",AWND,2016-05-13T00:00:00,GHCND:USC00116344,14.1
134,",,7,",AWND,2016-05-14T00:00:00,GHCND:USC00116344,13.0
135,",,7,",AWND,2016-05-15T00:00:00,GHCND:USC00116344,6.9
136,",,7,",AWND,2016-05-16T00:00:00,GHCND:USC00116344,10.1
137,",,7,",AWND,2016-05-17T00:00:00,GHCND:USC00116344,4.0
138,",,7,",AWND,2016-05-18T00:00:00,GHCND:USC00116344,11.0
139,",,7,",AWND,2016-05-19T00:00:00,GHCND:USC00116344,10.1
140,",,7,",AWND,2016-05-20T00:00:00,GHCND:USC00116344,12.1
141,",,7,",AWND,2016-05-21T00:00:00,GHCND:USC00116344,10.1
142,",,7,",AWND,2016-05-22T00:00:00,GHCND:USC00116344,4.0
143,",,7,",AWND,2016-05-23T00:00:00,GHCND:USC00116344,0.0
144,",,7,",AWND,2016-05-24T00:00:00,GHCND:USC00116344,10.1
145,",,7,",AWND,2016-05-25T00:00:00,GHCND:USC00116344,11.0
146,",,7,",AWND,2016-05-26T00:00:00,GHCND:USC00116344,8.9
147,",,7,",AWND,2016-05-27T00:00:00,GHCND:USC00116344,13.0
148,",,7,",AWND,2016-05-28T00:00:00,GHCND:USC00116344,11.0
149,",,7,",AWND,2016-05-29T00:00:00,GHCND:USC00116344,10.1
150,",,7,",AWND,2016-05-30T00:00:00,GHCND:USC00116344,2.9
151,",,7,",AWND,2016-05-31T00:00:00,GHCND:USC00116344,0.0
152,",,7,",AWND,2016-06-01T00:00:00,GHCND:USC00116344,4.0
153,",,7,",AWND,2016-06-02T00:00:00,GHCND:USC00116344,10.1
154,",,7,",AWND,2016-06-03T00:00:00,GHCND:USC00116344,2.9
155,",,7,",AWND,2016-06-04T00:00:00,GHCND:USC00116344,2.9
156,",,7,",AWND,2016-06-05T00:00:00,GHCND:USC00116344,4.0
157,",,7,",AWND,2016-06-06T00:00:00,GHCND:USC00116344,12.1
158,",,7,",AWND,2016-06-07T00:00:00,GHCND:USC00116344,6.0
159,",,7,",AWND,2016-06-08T00:00:00,GHCND:USC00116344,10.1
160,",,7,",AWND,2016-06-09T00:00:00,GHCND:USC00116344,0.0
161,",,7,",AWND,2016-06-10T00:00:00,GHCND:USC00116344,10.1
162,",,7,",AWND,2016-06-11T00:00:00,GHCND:USC00116344,11.0
163,",,7,",AWND,2016-06-12T00:00:00,GHCND:USC00116344,2.9
164,",,7,",AWND,2016-06-13T00:00:00,GHCND:USC00116344,4.9
165,",,7,",AWND,2016-06-14T00:00:00,GHCND:USC00116344,0.0
166,",,7,",AWND,2016-06-15T00:00:00,GHCND:USC00116344,21.0
167,",,7,",AWND,2016-06-16T00:00:00,GHCND:USC00116344,4.9
168,",,7,",AWND,2016-06-17T00:00:00,GHCND:USC00116344,14.1
169,",,7,",AWND,2016-06-18T00:00:00,GHCND:USC00116344,4.9
170,",,7,",AWND,2016-06-19T00:00:00,GHCND:USC00116344,11.0
171,",,7,",AWND,2016-06-20T00:00:00,GHCND:USC00116344,8.9
172,",,7,",AWND,2016-06-21T00:00:00,GHCND:USC00116344,8.9
173,",,7,",AWND,2016-06-22T00:00:00,GHCND:USC00116344,6.9
174,",,7,",AWND,2016-06-23T00:00:00,GHCND:USC00116344,11.0
175,",,7,",AWND,2016-06-24T00:00:00,GHCND:USC00116344,4.0
176,",,7,",AWND,2016-06-25T00:00:00,GHCND:USC00116344,4.0
177,",,7,",AWND,2016-06-26T00:00:00,GHCND:USC00116344,2.9
178,",,7,",AWND,2016-06-27T00:00:00,GHCND:USC00116344,0.0
179,",,7,",AWND,2016-06-28T00:00:00,GHCND:USC00116344,0.0
180,",,7,",AWND,2016-06-29T00:00:00,GHCND:USC00116344,4.9
181,",,7,",AWND,2016-06-30T00:00:00,GHCND:USC00116344,0.0
182,",,7,",AWND,2016-07-01T00:00:00,GHCND:USC00116344,4.9
183,",,7,",AWND,2016-07-02T00:00:00,GHCND:USC00116344,0.0
184,",,7,",AWND,2016-07-03T00:00:00,GHCND:USC00116344,0.0
185,",,7,",AWND,2016-07-04T00:00:00,GHCND:USC00116344,4.9
186,",,7,",AWND,2016-07-05T00:00:00,GHCND:USC00116344,0.0
187,",,7,",AWND,2016-07-06T00:00:00,GHCND:USC00116344,10.1
188,",,7,",AWND,2016-07-07T00:00:00,GHCND:USC00116344,2.9
189,",,7,",AWND,2016-07-08T00:00:00,GHCND:USC00116344,2.9
190,",,7,",AWND,2016-07-09T00:00:00,GHCND:USC00116344,4.0
191,",,7,",AWND,2016-07-10T00:00:00,GHCND:USC00116344,0.0
192,",,7,",AWND,2016-07-11T00:00:00,GHCND:USC00116344,4.9
193,",,7,",AWND,2016-07-12T00:00:00,GHCND:USC00116344,11.0
194,",,7,",AWND,2016-07-13T00:00:00,GHCND:USC00116344,2.9
195,",,7,",AWND,2016-07-14T00:00:00,GHCND:USC00116344,11.0
196,",,7,",AWND,2016-07-15T00:00:00,GHCND:USC00116344,4.9
197,",,7,",AWND,2016-07-16T00:00:00,GHCND:USC00116344,2.9
198,",,7,",AWND,2016-07-17T00:00:00,GHCND:USC00116344,2.9
199,",,7,",AWND,2016-07-18T00:00:00,GHCND:USC00116344,8.9
200,",,7,",AWND,2016-07-19T00:00:00,GHCND:USC00116344,0.0
201,",,7,",AWND,2016-07-20T00:00:00,GHCND:USC00116344,4.9
202,",,7,",AWND,2016-07-21T00:00:00,GHCND:USC00116344,0.0
203,",,7,",AWND,2016-07-22T00:00:00,GHCND:USC00116344,6.9
204,",,7,",AWND,2016-07-23T00:00:00,GHCND:USC00116344,2.9
205,",,7,",AWND,2016-07-24T00:00:00,GHCND:USC00116344,2.9
206,",,7,",AWND,2016-07-25T00:00:00,GHCND:USC00116344,10.1
207,",,7,",AWND,2016-07-26T00:00:00,GHCND:USC00116344,2.9
208,",,7,",AWND,2016-07-27T00:00:00,GHCND:USC00116344,2.0
209,",,7,",AWND,2016-07-28T00:00:00,GHCND:USC00116344,2.0
210,",,7,",AWND,2016-07-29T00:00:00,GHCND:USC00116344,2.0
211,",,7,",AWND,2016-07-30T00:00:00,GHCND:USC00116344,4.0
212,",,7,",AWND,2016-07-31T00:00:00,GHCND:USC00116344,0.0
213,",,7,",AWND,2016-08-01T00:00:00,GHCND:USC00116344,2.9
214,",,7,",AWND,2016-08-02T00:00:00,GHCND:USC00116344,2.9
215,",,7,",AWND,2016-08-03T00:00:00,GHCND:USC00116344,2.9
216,",,7,",AWND,2016-08-04T00:00:00,GHCND:USC00116344,0.0
217,",,7,",AWND,2016-08-05T00:00:00,GHCND:USC00116344,6.0
218,",,7,",AWND,2016-08-06T00:00:00,GHCND:USC00116344,2.0
219,",,7,",AWND,2016-08-07T00:00:00,GHCND:USC00116344,4.9
220,",,7,",AWND,2016-08-08T00:00:00,GHCND:USC00116344,4.0
221,",,7,",AWND,2016-08-09T00:00:00,GHCND:USC00116344,4.0
222,",,7,",AWND,2016-08-10T00:00:00,GHCND:USC00116344,0.0
223,",,7,",AWND,2016-08-11T00:00:00,GHCND:USC00116344,4.0
224,",,7,",AWND,2016-08-12T00:00:00,GHCND:USC00116344,2.0
225,",,7,",AWND,2016-08-13T00:00:00,GHCND:USC00116344,4.9
