,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00014925,290
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00014925,280
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00014925,340
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00014925,180
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00014925,190
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00014925,190
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00014925,170
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00014925,320
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00014925,330
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00014925,330
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00014925,320
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00014925,330
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00014925,190
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00014925,360
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00014925,320
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00014925,290
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00014925,300
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00014925,300
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00014925,170
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00014925,200
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00014925,330
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00014925,20
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00014925,190
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00014925,220
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00014925,310
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00014925,310
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00014925,220
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00014925,300
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00014925,160
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00014925,220
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00014925,300
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00014925,240
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00014925,30
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00014925,330
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00014925,310
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00014925,220
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00014925,200
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00014925,310
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00014925,320
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00014925,340
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00014925,320
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00014925,190
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00014925,320
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00014925,160
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00014925,150
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00014925,160
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00014925,310
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00014925,150
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00014925,140
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00014925,270
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00014925,300
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00014925,310
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00014925,220
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00014925,190
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00014925,360
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00014925,340
