,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00053120,3.6
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00053120,2.9
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00053120,3.6
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00053120,3.8
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00053120,8.1
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00053120,6.9
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00053120,7.4
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00053120,2.5
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00053120,3.6
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00053120,3.4
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00053120,6.5
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00053120,3.6
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00053120,2.5
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00053120,2.9
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00053120,3.1
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00053120,2.9
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00053120,4.3
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00053120,3.4
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00053120,4.3
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00053120,3.1
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00053120,5.8
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00053120,2.9
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00053120,4.3
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00053120,2.2
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00053120,4.0
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00053120,11.0
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00053120,4.7
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00053120,2.9
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00053120,2.5
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00053120,3.8
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00053120,17.4
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00053120,9.8
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00053120,2.7
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00053120,6.5
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00053120,8.9
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00053120,15.2
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00053120,12.8
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00053120,11.6
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00053120,11.4
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00053120,4.5
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00053120,2.7
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00053120,3.6
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00053120,3.8
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00053120,2.9
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00053120,3.6
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00053120,5.1
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00053120,2.2
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00053120,5.4
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00053120,4.7
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00053120,3.1
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00053120,3.4
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00053120,3.1
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00053120,3.1
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00053120,8.1
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00053120,8.1
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00053120,3.1
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00053120,3.6
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00053120,3.1
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00053120,3.6
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00053120,4.7
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00053120,3.1
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00053120,3.1
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00053120,2.7
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00053120,4.3
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00053120,4.0
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00053120,8.1
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00053120,8.3
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00053120,4.9
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00053120,2.7
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00053120,3.4
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00053120,8.3
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00053120,3.6
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00053120,3.8
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00053120,4.5
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00053120,3.1
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00053120,4.0
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00053120,3.8
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00053120,4.0
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00053120,3.8
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00053120,3.4
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00053120,4.7
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00053120,6.9
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00053120,5.8
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00053120,4.7
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00053120,3.8
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00053120,3.4
